,>ENST00000586795.1,>ENST00000503365.1,>ENST00000457967.1,>ENST00000553649.2,ENSG00000197428.2,>ENST00000433885.2,>ENST00000518155.1,>ENST00000405321.2,>ENST00000562547.3,ENSG00000212049.1,>ENST00000428247.1,>ENST00000455818.3,>ENST00000441817.2,>ENST00000476365.2,>ENST00000603386.1,>ENST00000456833.1,>ENST00000414193.2,>ENST00000475870.1,>ENST00000449509.1,>ENST00000528754.1,>ENST00000611983.1,>ENST00000583797.1,>ENST00000398583.3
>ENST00000586795.1,0.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,7.0,9.0,9.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,8.0,10.0,9.0
>ENST00000503365.1,11.0,0.0,9.0,9.0,9.0,12.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0,8.0,11.0,10.0,8.0,11.0
>ENST00000457967.1,9.0,9.0,0.0,10.0,10.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,11.0,11.0,8.0,7.0,9.0,9.0,13.0,9.0,10.0,10.0,10.0
>ENST00000553649.2,9.0,9.0,10.0,0.0,11.0,10.0,9.0,11.0,11.0,8.0,8.0,10.0,10.0,11.0,9.0,8.0,10.0,10.0,10.0,12.0,10.0,9.0,12.0
ENSG00000197428.2,9.0,9.0,10.0,11.0,0.0,9.0,9.0,9.0,10.0,8.0,8.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,12.0,9.0,13.0,11.0,10.0
>ENST00000433885.2,9.0,12.0,8.0,10.0,9.0,0.0,9.0,8.0,9.0,8.0,8.0,11.0,12.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,11.0
>ENST00000518155.1,11.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,8.0,7.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0
>ENST00000405321.2,9.0,9.0,8.0,11.0,9.0,8.0,9.0,0.0,13.0,7.0,7.0,9.0,9.0,11.0,9.0,11.0,8.0,10.0,9.0,9.0,11.0,9.0,9.0
>ENST00000562547.3,8.0,10.0,10.0,11.0,10.0,9.0,8.0,13.0,0.0,8.0,8.0,9.0,9.0,12.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0
ENSG00000212049.1,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,0.0,7.0,7.0,8.0,6.0,8.0,6.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0
>ENST00000428247.1,9.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,8.0,7.0,0.0,10.0,9.0,9.0,10.0,7.0,8.0,9.0,9.0,13.0,8.0,8.0,10.0
>ENST00000455818.3,9.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,7.0,10.0,0.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0
>ENST00000441817.2,12.0,9.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,8.0,9.0,8.0,0.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0
>ENST00000476365.2,10.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,12.0,6.0,9.0,9.0,9.0,0.0,8.0,11.0,9.0,10.0,12.0,11.0,10.0,11.0,12.0
>ENST00000603386.1,10.0,10.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,11.0,8.0,0.0,10.0,11.0,10.0,8.0,9.0,9.0,8.0,10.0
>ENST00000456833.1,10.0,9.0,7.0,8.0,9.0,9.0,8.0,11.0,8.0,6.0,7.0,8.0,9.0,11.0,10.0,0.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0
>ENST00000414193.2,10.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,11.0,8.0,0.0,8.0,8.0,10.0,10.0,9.0,12.0
>ENST00000475870.1,10.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,7.0,9.0,10.0,11.0,10.0,10.0,9.0,8.0,0.0,10.0,10.0,9.0,9.0,10.0
>ENST00000449509.1,12.0,8.0,13.0,10.0,12.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,12.0,8.0,9.0,8.0,10.0,0.0,9.0,9.0,10.0,10.0
>ENST00000528754.1,10.0,11.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0,9.0,13.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,0.0,10.0,13.0,13.0
>ENST00000611983.1,8.0,10.0,10.0,10.0,13.0,9.0,9.0,11.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,0.0,8.0,10.0
>ENST00000583797.1,10.0,8.0,10.0,9.0,11.0,8.0,9.0,9.0,8.0,7.0,8.0,10.0,10.0,11.0,8.0,8.0,9.0,9.0,10.0,13.0,8.0,0.0,10.0
>ENST00000398583.3,9.0,11.0,10.0,12.0,10.0,11.0,11.0,9.0,9.0,8.0,10.0,10.0,9.0,12.0,10.0,8.0,12.0,10.0,10.0,13.0,10.0,10.0,0.0
