,>ENST00000412047.1,>ENST00000555293.1,>ENST00000456184.1,>ENST00000508433.1,>ENST00000512793.1,>ENST00000554807.1,>ENST00000443911.1,ENSG00000239471.3,>ENST00000422915.1,>ENST00000521432.2,>ENST00000531132.1,>ENST00000546707.1,>ENST00000600135.1,>ENST00000494283.1,>ENST00000603629.1,>ENST00000584914.1,>ENST00000566845.1,>ENST00000451203.1,>ENST00000437305.1,>ENST00000582941.1,>ENST00000514501.1,>ENST00000527463.1,>ENST00000421675.1,>ENST00000515870.1,>ENST00000450068.1,>ENST00000587677.1,>ENST00000529936.1,>ENST00000510345.2
>ENST00000412047.1,0.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0,11.0,9.0,7.0,9.0,6.0,9.0,8.0,8.0,9.0,8.0,12.0,10.0,8.0,10.0,9.0,10.0,7.0,10.0
>ENST00000555293.1,7.0,0.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,7.0,10.0,6.0,9.0,7.0,7.0,11.0,7.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0
>ENST00000456184.1,9.0,7.0,0.0,9.0,9.0,8.0,13.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,11.0,8.0,9.0,8.0,10.0,13.0,10.0,10.0,10.0,7.0,8.0,9.0
>ENST00000508433.1,8.0,9.0,9.0,0.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,12.0,9.0,9.0,9.0
>ENST00000512793.1,10.0,8.0,9.0,10.0,0.0,9.0,11.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,12.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0
>ENST00000554807.1,8.0,8.0,8.0,10.0,9.0,0.0,7.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,10.0,11.0,9.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,10.0,8.0,11.0,11.0
>ENST00000443911.1,8.0,9.0,13.0,10.0,11.0,7.0,0.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,7.0,10.0,9.0,9.0,10.0,10.0,11.0,8.0,11.0
ENSG00000239471.3,8.0,8.0,7.0,9.0,11.0,9.0,9.0,0.0,9.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,15.0,8.0,8.0,10.0
>ENST00000422915.1,7.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,0.0,9.0,12.0,11.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,12.0,8.0,9.0,10.0
>ENST00000521432.2,8.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,13.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,13.0,10.0,9.0,10.0
>ENST00000531132.1,11.0,9.0,9.0,9.0,9.0,7.0,10.0,8.0,12.0,10.0,0.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,10.0,9.0,9.0,12.0,9.0,9.0,9.0
>ENST00000546707.1,9.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,11.0,10.0,9.0,0.0,8.0,9.0,10.0,9.0,9.0,7.0,10.0,7.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0,11.0
>ENST00000600135.1,7.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,10.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,8.0,10.0,10.0,10.0,11.0,10.0,22.0
>ENST00000494283.1,9.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,8.0,9.0,10.0,12.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,112.0
>ENST00000603629.1,6.0,6.0,10.0,10.0,8.0,10.0,9.0,7.0,8.0,10.0,9.0,10.0,9.0,8.0,0.0,8.0,8.0,8.0,8.0,9.0,11.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0
>ENST00000584914.1,9.0,9.0,9.0,11.0,10.0,11.0,11.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0,12.0,8.0,11.0,11.0,9.0,11.0,9.0,12.0,10.0,12.0,10.0,11.0
>ENST00000566845.1,8.0,7.0,11.0,9.0,10.0,9.0,8.0,8.0,9.0,13.0,9.0,9.0,9.0,10.0,8.0,12.0,0.0,9.0,10.0,11.0,10.0,10.0,12.0,11.0,11.0,8.0,8.0,11.0
>ENST00000451203.1,8.0,7.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,7.0,9.0,12.0,8.0,8.0,9.0,0.0,9.0,9.0,10.0,12.0,8.0,8.0,11.0,10.0,9.0,13.0
>ENST00000437305.1,9.0,11.0,9.0,10.0,12.0,8.0,8.0,10.0,10.0,11.0,10.0,10.0,8.0,8.0,8.0,11.0,10.0,9.0,0.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0
>ENST00000582941.1,8.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,7.0,9.0,8.0,9.0,11.0,11.0,9.0,11.0,0.0,8.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0
>ENST00000514501.1,12.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,12.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,8.0,0.0,11.0,11.0,9.0,12.0,9.0,9.0,12.0
>ENST00000527463.1,10.0,9.0,13.0,11.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,11.0,10.0,12.0,10.0,10.0,11.0,0.0,10.0,9.0,10.0,9.0,10.0,11.0
>ENST00000421675.1,8.0,9.0,10.0,9.0,10.0,7.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,7.0,9.0,12.0,8.0,10.0,8.0,11.0,10.0,0.0,10.0,11.0,9.0,9.0,11.0
>ENST00000515870.1,10.0,8.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,12.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,0.0,13.0,12.0,9.0,12.0
>ENST00000450068.1,9.0,10.0,10.0,12.0,10.0,10.0,10.0,15.0,12.0,13.0,12.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,12.0,10.0,11.0,13.0,0.0,15.0,10.0,10.0
>ENST00000587677.1,10.0,9.0,7.0,9.0,9.0,8.0,11.0,8.0,8.0,10.0,9.0,8.0,11.0,10.0,9.0,12.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,12.0,15.0,0.0,8.0,10.0
>ENST00000529936.1,7.0,9.0,8.0,9.0,11.0,11.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,0.0,10.0
>ENST00000510345.2,10.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,22.0,112.0,10.0,11.0,11.0,13.0,10.0,9.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,0.0
