,>ENST00000471945.1,>ENST00000423835.1,>ENST00000476047.1,>ENST00000603741.1,>ENST00000605661.1,>ENST00000522485.1,>ENST00000404721.2,>ENST00000593394.1,>ENST00000451072.1,>ENST00000611529.1,>ENST00000621045.1,>ENST00000442149.1,>ENST00000498116.1,>ENST00000596017.1,>ENST00000442301.2,>ENST00000510322.2,>ENST00000495837.1,>ENST00000604325.1,ENSG00000143319.16,>ENST00000423899.1,>ENST00000512633.1,>ENST00000509306.1,>ENST00000435020.1,>ENST00000413224.1,>ENST00000398541.2,>ENST00000454576.1,>ENST00000432235.1,>ENST00000407795.1,>ENST00000425471.2,>ENST00000622177.1,>ENST00000457995.3,>ENST00000549019.1,>ENST00000463439.1,>ENST00000447470.1,>ENST00000612457.1,>ENST00000541242.1,>ENST00000564938.1,>ENST00000550756.1
>ENST00000471945.1,0.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,11.0,10.0,7.0,8.0,8.0,10.0,8.0,8.0,12.0,8.0,9.0
>ENST00000423835.1,11.0,0.0,11.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,13.0,8.0,10.0,11.0,11.0,9.0,10.0,10.0,13.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,13.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,12.0
>ENST00000476047.1,9.0,11.0,0.0,11.0,9.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,13.0,9.0,8.0,12.0,9.0,10.0,11.0,10.0,14.0,12.0,13.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,8.0,11.0
>ENST00000603741.1,9.0,10.0,11.0,0.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,9.0,9.0,10.0,8.0,9.0,14.0,9.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,11.0,8.0,8.0,8.0,10.0,8.0,8.0,6.0,9.0,10.0,9.0
>ENST00000605661.1,9.0,11.0,9.0,9.0,0.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,11.0,9.0,10.0,8.0,12.0,11.0,9.0,10.0,7.0,12.0,8.0,9.0
>ENST00000522485.1,9.0,9.0,11.0,8.0,9.0,0.0,9.0,10.0,9.0,9.0,9.0,12.0,10.0,8.0,8.0,9.0,10.0,8.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,11.0,11.0,10.0,10.0,8.0,9.0,8.0,11.0,9.0,8.0,11.0,8.0,10.0
>ENST00000404721.2,9.0,9.0,11.0,8.0,9.0,9.0,0.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,11.0,10.0,13.0,11.0,9.0,8.0,9.0,7.0,10.0,10.0,11.0,12.0,9.0,10.0,8.0,9.0,9.0,11.0,8.0,7.0,10.0,13.0,9.0
>ENST00000593394.1,8.0,11.0,11.0,8.0,10.0,10.0,9.0,0.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,11.0,8.0,10.0,12.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,9.0,10.0,8.0,11.0,9.0,12.0
>ENST00000451072.1,9.0,10.0,11.0,8.0,8.0,9.0,9.0,8.0,0.0,8.0,10.0,9.0,10.0,9.0,12.0,8.0,11.0,11.0,11.0,9.0,8.0,8.0,8.0,10.0,11.0,8.0,9.0,8.0,10.0,8.0,11.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0
>ENST00000611529.1,7.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,0.0,7.0,9.0,10.0,7.0,10.0,7.0,8.0,8.0,11.0,9.0,7.0,7.0,8.0,11.0,7.0,9.0,9.0,7.0,9.0,5.0,11.0,7.0,9.0,8.0,9.0,9.0,7.0,8.0
>ENST00000621045.1,9.0,13.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,0.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,11.0,8.0,9.0,8.0,11.0,9.0,11.0,8.0,11.0,12.0,8.0,8.0,8.0,9.0,11.0,7.0,7.0,10.0,8.0,11.0
>ENST00000442149.1,8.0,8.0,9.0,7.0,8.0,12.0,9.0,9.0,9.0,9.0,8.0,0.0,9.0,9.0,11.0,8.0,10.0,10.0,13.0,11.0,7.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,11.0,8.0,10.0,10.0,8.0,10.0,9.0,10.0
>ENST00000498116.1,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,15.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,11.0,8.0,11.0
