,>ENST00000413713.1,ENSG00000280761.1,>ENST00000421620.2,>ENST00000623078.1,>ENST00000457882.1,>ENST00000454998.1,>ENST00000533891.1,>ENST00000514578.1,>ENST00000424302.1,>ENST00000573796.2,>ENST00000553765.1,>ENST00000621179.4,>ENST00000550578.1,>ENST00000561158.1,>ENST00000623477.1,>ENST00000589193.2,>ENST00000434751.1,>ENST00000420308.1,>ENST00000402340.2,>ENST00000295493.3,>ENST00000574657.1,>ENST00000536944.2,>ENST00000604949.1,>ENST00000431868.1,>ENST00000444159.1,>ENST00000604500.1,>ENST00000404243.1,>ENST00000536166.1,>ENST00000577174.1,ENSG00000104903.4,>ENST00000467631.1,>ENST00000520410.1,>ENST00000468335.1,>ENST00000524136.6,>ENST00000582566.1,>ENST00000614101.1,>ENST00000415977.1,>ENST00000497098.2,>ENST00000428871.1,>ENST00000446472.3,>ENST00000417255.1,>ENST00000532044.1,>ENST00000418445.1,>ENST00000286193.2,>ENST00000477233.1,>ENST00000399027.3,>ENST00000584631.2,>ENST00000563485.2,>ENST00000483613.1,>ENST00000455014.1,>ENST00000592196.1
>ENST00000413713.1,0.0,8.0,10.0,9.0,11.0,9.0,11.0,9.0,8.0,10.0,9.0,10.0,11.0,9.0,13.0,9.0,12.0,8.0,10.0,9.0,10.0,12.0,8.0,8.0,11.0,8.0,9.0,9.0,9.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,12.0,10.0,11.0,11.0,9.0,12.0,10.0,10.0,10.0
ENSG00000280761.1,8.0,0.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,6.0,9.0,6.0,8.0,7.0,10.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,11.0,6.0,7.0,8.0,7.0,8.0,8.0,6.0,8.0,9.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,6.0,7.0,9.0,8.0,10.0,7.0
>ENST00000421620.2,10.0,11.0,0.0,10.0,9.0,9.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,15.0,9.0,8.0,10.0,12.0,9.0,11.0,10.0,8.0,9.0,12.0,7.0,10.0,9.0,9.0,12.0,9.0,9.0,8.0,9.0,11.0,10.0,8.0,7.0,11.0,11.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0
>ENST00000623078.1,9.0,9.0,10.0,0.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0,9.0,12.0,8.0,9.0,8.0,11.0,10.0,10.0,10.0,13.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,11.0,11.0,9.0,10.0,12.0,9.0,11.0,11.0,9.0,11.0,13.0,9.0,10.0,8.0,9.0,13.0,12.0,9.0,10.0
>ENST00000457882.1,11.0,8.0,9.0,9.0,0.0,10.0,9.0,10.0,10.0,8.0,9.0,11.0,12.0,8.0,10.0,8.0,9.0,8.0,11.0,11.0,10.0,10.0,10.0,8.0,9.0,9.0,8.0,7.0,11.0,14.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,11.0,8.0,8.0,9.0,10.0,10.0,12.0,9.0,8.0,9.0,9.0,7.0,9.0
>ENST00000454998.1,9.0,8.0,9.0,9.0,10.0,0.0,9.0,9.0,8.0,9.0,11.0,10.0,8.0,8.0,9.0,7.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,6.0,8.0,9.0,8.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,7.0,10.0
>ENST00000533891.1,11.0,8.0,10.0,10.0,9.0,9.0,0.0,8.0,9.0,9.0,13.0,9.0,9.0,11.0,11.0,9.0,9.0,8.0,12.0,11.0,10.0,11.0,8.0,7.0,10.0,9.0,10.0,10.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,12.0,9.0,9.0,11.0,11.0,9.0,10.0,8.0,9.0,13.0,10.0,8.0,9.0
>ENST00000514578.1,9.0,8.0,8.0,10.0,10.0,9.0,8.0,0.0,9.0,18.0,9.0,9.0,10.0,8.0,11.0,7.0,9.0,8.0,12.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,12.0,11.0,8.0,11.0
>ENST00000424302.1,8.0,8.0,11.0,9.0,10.0,8.0,9.0,9.0,0.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,8.0,10.0,10.0,9.0,10.0,11.0,8.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,7.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0
>ENST00000573796.2,10.0,6.0,10.0,11.0,8.0,9.0,9.0,18.0,8.0,0.0,9.0,12.0,10.0,8.0,12.0,8.0,12.0,8.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,7.0,9.0,9.0,9.0,12.0,10.0,10.0,10.0,11.0,8.0,11.0,9.0,8.0,10.0,9.0,9.0,12.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0
