,>ENST00000523491.1,>ENST00000450005.1,>ENST00000438396.1,>ENST00000416702.1,>ENST00000492641.1,>ENST00000451481.1,>ENST00000426943.4,>ENST00000498792.1,>ENST00000426373.1,>ENST00000390674.2,>ENST00000453252.1,>ENST00000423876.2,>ENST00000440828.1,>ENST00000554586.1,>ENST00000396818.2,>ENST00000443064.2,>ENST00000605859.1,>ENST00000523909.1,>ENST00000479709.1,>ENST00000605729.1,>ENST00000437794.1,>ENST00000520812.1,>ENST00000575018.1,>ENST00000520250.2,>ENST00000446138.1,>ENST00000429744.2,ENSG00000276040.4,>ENST00000557173.1,>ENST00000404494.2,>ENST00000555285.1,>ENST00000566443.1,>ENST00000431142.1,>ENST00000537101.1,>ENST00000472671.1,>ENST00000509661.1,>ENST00000600544.1,>ENST00000433233.1,>ENST00000421439.1,>ENST00000603371.1,>ENST00000578177.2,>ENST00000522096.1,>ENST00000469685.3,>ENST00000403060.2,>ENST00000403133.1,>ENST00000600438.1,>ENST00000437611.1,>ENST00000216407.4,>ENST00000428996.1,>ENST00000506935.1,>ENST00000455362.1,>ENST00000439244.1,>ENST00000414936.1,>ENST00000612111.1,>ENST00000420996.2,>ENST00000479088.1,>ENST00000461464.1,>ENST00000579262.1,>ENST00000421072.1,>ENST00000568646.1,>ENST00000597336.1,>ENST00000617918.1
>ENST00000523491.1,0.0,9.0,10.0,9.0,8.0,9.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,12.0,9.0,8.0,10.0,9.0,9.0,14.0,10.0,8.0,9.0,10.0,9.0,12.0,7.0,10.0,10.0,13.0,9.0,11.0,8.0,10.0,10.0,11.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0
>ENST00000450005.1,9.0,0.0,8.0,9.0,7.0,9.0,10.0,8.0,11.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,11.0,7.0,8.0,11.0,8.0,8.0,10.0,9.0,9.0,8.0,7.0,8.0,10.0,8.0,8.0,9.0,6.0,9.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,10.0,7.0,8.0,11.0,6.0
>ENST00000438396.1,10.0,8.0,0.0,10.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,11.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,7.0,9.0,16.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,11.0,14.0,10.0,11.0,10.0,10.0,7.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,12.0,9.0
>ENST00000416702.1,9.0,9.0,10.0,0.0,11.0,12.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,8.0,9.0,9.0,10.0,9.0,12.0,8.0,11.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,13.0,10.0,11.0,11.0,9.0,10.0,13.0,9.0,9.0,9.0,11.0,11.0,12.0,11.0,11.0,9.0,10.0,8.0,11.0,9.0,10.0,12.0,9.0,10.0,12.0,10.0
>ENST00000492641.1,8.0,7.0,9.0,11.0,0.0,9.0,9.0,8.0,8.0,10.0,11.0,8.0,7.0,9.0,7.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,11.0,9.0,8.0,9.0,8.0,8.0,10.0,7.0,9.0,10.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,7.0,7.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,7.0
>ENST00000451481.1,9.0,9.0,9.0,12.0,9.0,0.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,11.0,9.0,8.0,11.0,9.0,9.0,7.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,7.0,9.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,10.0,12.0,7.0,7.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0
>ENST00000426943.4,11.0,10.0,9.0,12.0,9.0,9.0,0.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,11.0,11.0,12.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,12.0,9.0,10.0,11.0,11.0,8.0,8.0,9.0,10.0,10.0,12.0,13.0,11.0,10.0,11.0,12.0,10.0,12.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,12.0,9.0,9.0,9.0,12.0,8.0
>ENST00000498792.1,11.0,8.0,12.0,10.0,8.0,8.0,9.0,0.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,12.0,9.0,9.0,9.0,11.0,10.0,8.0,10.0,8.0,10.0,12.0,13.0,10.0,8.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,11.0,11.0,9.0,10.0,11.0,9.0,13.0,8.0,13.0,14.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,11.0,8.0
>ENST00000426373.1,10.0,11.0,9.0,10.0,8.0,8.0,9.0,9.0,0.0,10.0,10.0,9.0,7.0,9.0,11.0,8.0,8.0,9.0,7.0,10.0,11.0,8.0,8.0,9.0,7.0,10.0,11.0,9.0,9.0,8.0,11.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,7.0
>ENST00000390674.2,9.0,8.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,0.0,10.0,9.0,9.0,11.0,10.0,8.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,10.0,12.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,13.0,8.0,10.0,9.0,8.0,10.0,9.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,11.0,10.0,8.0
>ENST00000453252.1,10.0,8.0,9.0,11.0,11.0,8.0,9.0,10.0,10.0,10.0,0.0,10.0,10.0,9.0,10.0,9.0,8.0,11.0,7.0,9.0,13.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,12.0,12.0,10.0,10.0,11.0,8.0,8.0,8.0,12.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0
