,>ENST00000475555.1,>ENST00000533893.1,>ENST00000411468.1,>ENST00000497954.1,>ENST00000402902.1,>ENST00000397284.2,>ENST00000438864.1,>ENST00000514351.1,>ENST00000476497.1,>ENST00000425857.1,>ENST00000398959.2,>ENST00000505367.2,>ENST00000610784.1,>ENST00000419556.2,>ENST00000512357.1,>ENST00000504014.1,>ENST00000453230.1,>ENST00000615757.1,>ENST00000622924.2,>ENST00000458542.1,>ENST00000629029.1,>ENST00000498453.1,>ENST00000416115.1,>ENST00000441274.2,>ENST00000450463.1,>ENST00000603744.1,>ENST00000464555.1,>ENST00000404133.1,>ENST00000404698.1
>ENST00000475555.1,0.0,8.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,8.0,9.0,13.0,9.0,12.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0
>ENST00000533893.1,8.0,0.0,7.0,7.0,11.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,8.0,9.0,8.0,8.0
>ENST00000411468.1,10.0,7.0,0.0,10.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,12.0,8.0,10.0,11.0,10.0,8.0,8.0,11.0,12.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0
>ENST00000497954.1,9.0,7.0,10.0,0.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,12.0,7.0,7.0,13.0,9.0,10.0,10.0,10.0,243.0,9.0,10.0,10.0,9.0,10.0
>ENST00000402902.1,11.0,11.0,10.0,9.0,0.0,11.0,11.0,10.0,11.0,9.0,9.0,9.0,12.0,13.0,10.0,10.0,9.0,8.0,11.0,10.0,9.0,12.0,12.0,11.0,12.0,10.0,11.0,11.0,11.0
>ENST00000397284.2,9.0,9.0,11.0,10.0,11.0,0.0,10.0,10.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,11.0,8.0,10.0,7.0,8.0
>ENST00000438864.1,8.0,8.0,10.0,9.0,11.0,10.0,0.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,7.0,14.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,11.0
>ENST00000514351.1,9.0,9.0,10.0,9.0,10.0,10.0,9.0,0.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,7.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
>ENST00000476497.1,10.0,8.0,8.0,8.0,11.0,9.0,10.0,9.0,0.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,7.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0
>ENST00000425857.1,8.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0,8.0,12.0,10.0,11.0,9.0,9.0,8.0,7.0,10.0,7.0,11.0,9.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0
>ENST00000398959.2,10.0,9.0,10.0,9.0,9.0,11.0,8.0,10.0,10.0,8.0,0.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,14.0,11.0,9.0,10.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0
>ENST00000505367.2,10.0,7.0,12.0,9.0,9.0,8.0,8.0,8.0,10.0,12.0,10.0,0.0,11.0,10.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0
>ENST00000610784.1,9.0,9.0,8.0,9.0,12.0,8.0,9.0,8.0,8.0,10.0,10.0,11.0,0.0,9.0,10.0,9.0,7.0,7.0,12.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,7.0,10.0,8.0
>ENST00000419556.2,11.0,9.0,10.0,10.0,13.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,0.0,11.0,11.0,8.0,11.0,13.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0
>ENST00000512357.1,10.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,0.0,10.0,8.0,9.0,11.0,9.0,12.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0
>ENST00000504014.1,9.0,10.0,10.0,12.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,11.0,10.0,0.0,7.0,7.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0
>ENST00000453230.1,8.0,8.0,8.0,7.0,9.0,8.0,9.0,7.0,10.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,0.0,7.0,8.0,10.0,8.0,8.0,9.0,8.0,11.0,12.0,9.0,9.0,9.0
>ENST00000615757.1,9.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,10.0,10.0,7.0,11.0,9.0,7.0,7.0,0.0,9.0,10.0,9.0,8.0,12.0,7.0,8.0,7.0,7.0,9.0,7.0
>ENST00000622924.2,13.0,9.0,11.0,13.0,11.0,11.0,14.0,9.0,10.0,10.0,14.0,10.0,12.0,13.0,11.0,10.0,8.0,9.0,0.0,12.0,10.0,11.0,12.0,13.0,10.0,11.0,11.0,12.0,10.0
>ENST00000458542.1,9.0,9.0,12.0,9.0,10.0,9.0,10.0,11.0,10.0,7.0,11.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,12.0,0.0,9.0,10.0,10.0,8.0,11.0,10.0,8.0,11.0,9.0
