,>ENST00000490943.2,>ENST00000426743.1,>ENST00000534696.1,>ENST00000603727.1,>ENST00000436521.1,>ENST00000581937.1,ENSG00000274097.1,>ENST00000450781.1,>ENST00000619693.1,>ENST00000530808.1,>ENST00000456181.1,>ENST00000319051.3,>ENST00000603090.1,>ENST00000586415.1,>ENST00000510050.1,>ENST00000433250.2,>ENST00000441526.1,>ENST00000433887.1,>ENST00000425215.1,ENSG00000185650.9,>ENST00000416781.1
>ENST00000490943.2,0.0,9.0,8.0,11.0,8.0,11.0,7.0,10.0,7.0,9.0,7.0,9.0,7.0,10.0,8.0,9.0,9.0,9.0,10.0,12.0,9.0
>ENST00000426743.1,9.0,0.0,11.0,10.0,10.0,9.0,7.0,10.0,10.0,10.0,14.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0
>ENST00000534696.1,8.0,11.0,0.0,8.0,8.0,10.0,8.0,18.0,8.0,10.0,9.0,13.0,8.0,9.0,12.0,9.0,8.0,12.0,10.0,13.0,14.0
>ENST00000603727.1,11.0,10.0,8.0,0.0,10.0,11.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,13.0,9.0,11.0,13.0,11.0,11.0,9.0,9.0
>ENST00000436521.1,8.0,10.0,8.0,10.0,0.0,11.0,7.0,8.0,7.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,11.0,8.0
>ENST00000581937.1,11.0,9.0,10.0,11.0,11.0,0.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,11.0,10.0,12.0,10.0,11.0,10.0,12.0,10.0
ENSG00000274097.1,7.0,7.0,8.0,7.0,7.0,9.0,0.0,8.0,6.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,7.0,9.0,7.0,9.0,10.0
>ENST00000450781.1,10.0,10.0,18.0,8.0,8.0,9.0,8.0,0.0,8.0,10.0,8.0,11.0,8.0,9.0,9.0,8.0,8.0,12.0,9.0,13.0,10.0
>ENST00000619693.1,7.0,10.0,8.0,8.0,7.0,8.0,6.0,8.0,0.0,8.0,7.0,9.0,7.0,10.0,8.0,9.0,6.0,7.0,11.0,9.0,8.0
>ENST00000530808.1,9.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,8.0,0.0,12.0,11.0,9.0,8.0,8.0,9.0,10.0,11.0,10.0,11.0,11.0
>ENST00000456181.1,7.0,14.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,12.0,0.0,11.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0
>ENST00000319051.3,9.0,10.0,13.0,9.0,9.0,10.0,9.0,11.0,9.0,11.0,11.0,0.0,8.0,10.0,11.0,11.0,10.0,10.0,11.0,13.0,12.0
>ENST00000603090.1,7.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,7.0,9.0,9.0,8.0,0.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0
>ENST00000586415.1,10.0,11.0,9.0,13.0,9.0,11.0,8.0,9.0,10.0,8.0,8.0,10.0,10.0,0.0,8.0,9.0,9.0,9.0,9.0,13.0,14.0
>ENST00000510050.1,8.0,10.0,12.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,11.0,9.0,8.0,0.0,10.0,7.0,9.0,10.0,11.0,10.0
>ENST00000433250.2,9.0,11.0,9.0,11.0,8.0,12.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,0.0,9.0,10.0,11.0,12.0,10.0
>ENST00000441526.1,9.0,10.0,8.0,13.0,11.0,10.0,7.0,8.0,6.0,10.0,8.0,10.0,8.0,9.0,7.0,9.0,0.0,8.0,9.0,10.0,10.0
>ENST00000433887.1,9.0,10.0,12.0,11.0,8.0,11.0,9.0,12.0,7.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,0.0,10.0,12.0,10.0
>ENST00000425215.1,10.0,10.0,10.0,11.0,9.0,10.0,7.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,10.0,11.0,9.0,10.0,0.0,14.0,12.0
ENSG00000185650.9,12.0,11.0,13.0,9.0,11.0,12.0,9.0,13.0,9.0,11.0,10.0,13.0,10.0,13.0,11.0,12.0,10.0,12.0,14.0,0.0,11.0
>ENST00000416781.1,9.0,11.0,14.0,9.0,8.0,10.0,10.0,10.0,8.0,11.0,9.0,12.0,9.0,14.0,10.0,10.0,10.0,10.0,12.0,11.0,0.0
