,>ENST00000374336.5,>ENST00000519383.2,>ENST00000414608.1,>ENST00000453523.1,>ENST00000432563.1,>ENST00000448168.1,>ENST00000416838.1,>ENST00000401028.2,>ENST00000621192.1,>ENST00000435799.1,>ENST00000417732.1,>ENST00000470623.2,>ENST00000444110.1,>ENST00000553036.1,>ENST00000423987.2,>ENST00000430042.1,>ENST00000483696.1,>ENST00000582716.1,>ENST00000563242.2,>ENST00000553010.2,>ENST00000605013.1,>ENST00000439053.1,>ENST00000397467.2,ENSG00000222518.1,>ENST00000328558.3,>ENST00000433141.1,>ENST00000436405.1,>ENST00000443015.1,>ENST00000411909.1,>ENST00000614297.1,>ENST00000438281.1,>ENST00000533882.1,>ENST00000409926.2,>ENST00000604863.1,>ENST00000413888.1,>ENST00000400979.2,>ENST00000449206.1,>ENST00000401483.2,>ENST00000426104.1,>ENST00000445577.1,ENSG00000273685.1,>ENST00000557705.1,>ENST00000488408.1,>ENST00000452903.1,>ENST00000590507.1,>ENST00000395972.2,>ENST00000605634.1,>ENST00000445477.1,>ENST00000563771.1,>ENST00000425318.1
>ENST00000374336.5,0.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,9.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,8.0,11.0,11.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,11.0,8.0,10.0,14.0,11.0,13.0,11.0,9.0,11.0,11.0,9.0
>ENST00000519383.2,10.0,0.0,10.0,9.0,11.0,10.0,12.0,9.0,10.0,11.0,9.0,11.0,11.0,10.0,10.0,12.0,9.0,10.0,13.0,8.0,12.0,9.0,9.0,8.0,9.0,8.0,12.0,9.0,10.0,11.0,10.0,10.0,11.0,13.0,10.0,11.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,11.0,12.0,10.0,8.0,9.0,10.0,9.0
>ENST00000414608.1,11.0,10.0,0.0,9.0,14.0,9.0,10.0,10.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,11.0,11.0,9.0,7.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0,10.0,10.0,13.0,10.0,7.0,11.0,9.0,9.0
>ENST00000453523.1,11.0,9.0,9.0,0.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,8.0,7.0,7.0,8.0,11.0,8.0,8.0,8.0,7.0,7.0,10.0,8.0,8.0,8.0,9.0,12.0,8.0,9.0,9.0,10.0,8.0,10.0,7.0,109.0,6.0,12.0,8.0,8.0,9.0,10.0,7.0,7.0,8.0,9.0
>ENST00000432563.1,11.0,11.0,14.0,10.0,0.0,11.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0,9.0,12.0,13.0,11.0,11.0,12.0,14.0,12.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,11.0,12.0,13.0,11.0,10.0,13.0,12.0,14.0,10.0,13.0,9.0,10.0,9.0,11.0,13.0,11.0,10.0,11.0,9.0,12.0,9.0,10.0
>ENST00000448168.1,10.0,10.0,9.0,8.0,11.0,0.0,11.0,11.0,11.0,12.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,11.0,11.0,9.0,13.0,8.0,9.0,11.0,8.0,12.0,9.0,10.0,11.0,11.0,12.0,10.0,11.0,8.0,10.0,8.0,7.0,8.0,12.0,9.0,8.0,10.0,10.0,8.0,9.0,13.0,8.0
>ENST00000416838.1,11.0,12.0,10.0,9.0,12.0,11.0,0.0,10.0,9.0,9.0,12.0,9.0,10.0,10.0,10.0,12.0,10.0,8.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,11.0,14.0,11.0,12.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,12.0,10.0,11.0,11.0,11.0,8.0,9.0,11.0,14.0
>ENST00000401028.2,11.0,9.0,10.0,9.0,11.0,11.0,10.0,0.0,11.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,8.0,9.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0
>ENST00000621192.1,9.0,10.0,8.0,8.0,10.0,11.0,9.0,11.0,0.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,11.0,10.0,13.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0
>ENST00000435799.1,11.0,11.0,11.0,9.0,10.0,12.0,9.0,11.0,9.0,0.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,7.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,8.0,7.0,8.0,10.0,8.0
