,>ENST00000423228.1,>ENST00000611756.1,>ENST00000424386.2,>ENST00000606688.2,>ENST00000615170.1,>ENST00000395709.2,>ENST00000425964.1,>ENST00000455800.1,>ENST00000482002.1,>ENST00000631611.1,>ENST00000600724.1,>ENST00000396326.2,>ENST00000487895.1,>ENST00000439662.1,>ENST00000456781.1,>ENST00000417156.1,>ENST00000436385.2,>ENST00000579735.1,>ENST00000412785.1,>ENST00000548728.1,>ENST00000564020.1,>ENST00000412284.1,>ENST00000584299.1,>ENST00000605501.1,>ENST00000535849.1,>ENST00000555538.1,>ENST00000492222.1,>ENST00000439056.1,ENSG00000277084.1,ENSG00000212304.1,>ENST00000474107.1,>ENST00000453380.1,>ENST00000519039.1,>ENST00000463278.1,>ENST00000417823.1,>ENST00000450755.1,>ENST00000479116.2,>ENST00000446021.1,>ENST00000613515.1,>ENST00000434169.2,>ENST00000468434.1,>ENSTR0000431919.6,>ENST00000466686.1,>ENST00000462885.1,>ENST00000438989.1,>ENST00000418655.2,>ENST00000428824.4,>ENST00000419987.1,>ENST00000511007.1,>ENST00000457497.1,>ENST00000524456.1,>ENST00000556017.1,>ENST00000407841.2,>ENST00000399259.2,>ENST00000418290.1,>ENST00000442082.2,>ENST00000514074.1,>ENST00000421457.1,>ENST00000416832.1,>ENST00000570238.2
>ENST00000423228.1,0.0,8.0,10.0,8.0,7.0,8.0,7.0,11.0,9.0,9.0,11.0,9.0,9.0,7.0,8.0,8.0,7.0,11.0,11.0,7.0,13.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,7.0,9.0,10.0,8.0,8.0,8.0,11.0,9.0,10.0,8.0,8.0,10.0,7.0,8.0,8.0,10.0,12.0,10.0,8.0,11.0,10.0,8.0,10.0,10.0,9.0,13.0,10.0,9.0,10.0,7.0,9.0
>ENST00000611756.1,8.0,0.0,10.0,7.0,8.0,11.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,7.0,9.0,7.0,11.0,9.0,8.0,11.0,8.0,10.0,9.0,8.0,7.0,9.0,9.0,6.0,7.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,7.0,8.0,7.0,9.0,8.0,9.0,9.0,13.0,9.0,9.0,8.0,7.0,9.0,11.0,8.0,11.0,9.0,13.0,7.0,8.0,11.0,8.0
>ENST00000424386.2,10.0,10.0,0.0,8.0,7.0,11.0,8.0,13.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,10.0,11.0,10.0,8.0,7.0,7.0,8.0,12.0,7.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,7.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0
>ENST00000606688.2,8.0,7.0,8.0,0.0,7.0,7.0,6.0,9.0,7.0,9.0,9.0,8.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,8.0,9.0,8.0,10.0,7.0,8.0,7.0,7.0,10.0,7.0,7.0,7.0,9.0,7.0,8.0,11.0,10.0,8.0,9.0,7.0,7.0,8.0,7.0,8.0,9.0,8.0,10.0,8.0,8.0,7.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,9.0,6.0,9.0,9.0
>ENST00000615170.1,7.0,8.0,7.0,7.0,0.0,10.0,7.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,9.0,6.0,12.0,10.0,7.0,9.0,11.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,6.0,6.0,7.0,8.0,9.0,8.0,8.0,9.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,8.0,9.0,10.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,12.0,8.0,8.0,6.0,8.0,7.0
>ENST00000395709.2,8.0,11.0,11.0,7.0,10.0,0.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,10.0,8.0,13.0,11.0,9.0,11.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,9.0,11.0,8.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,9.0,11.0
>ENST00000425964.1,7.0,8.0,8.0,6.0,7.0,8.0,0.0,8.0,7.0,10.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,11.0,7.0,10.0,9.0,8.0,9.0,8.0,8.0,6.0,7.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0,10.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,10.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,6.0,7.0,9.0,7.0
>ENST00000455800.1,11.0,9.0,13.0,9.0,9.0,10.0,8.0,0.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,12.0,9.0,11.0,11.0,15.0,12.0,13.0,11.0,10.0,12.0,10.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,13.0,10.0,9.0,11.0,10.0,12.0,11.0,10.0,11.0,9.0,9.0,9.0
>ENST00000482002.1,9.0,8.0,9.0,7.0,8.0,9.0,7.0,10.0,0.0,11.0,8.0,11.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,7.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,12.0,11.0,10.0,8.0,8.0,10.0,11.0,12.0,14.0,11.0,9.0,10.0,10.0,8.0,11.0,9.0
>ENST00000631611.1,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,0.0,9.0,10.0,9.0,8.0,9.0,8.0,11.0,9.0,10.0,8.0,11.0,12.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,7.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,8.0,10.0,8.0,10.0,7.0,8.0,10.0,9.0,13.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,36.0,8.0,11.0,8.0,10.0,8.0
