,>ENST00000419075.1,>ENST00000582071.1,>ENST00000547831.1,>ENST00000515048.2,>ENST00000412182.1,>ENST00000456745.1,>ENST00000433617.1,>ENST00000515019.2,>ENST00000580930.1,>ENST00000411517.2,>ENST00000434172.2,ENSG00000226660.2,ENSG00000125378.15,>ENST00000398739.2,>ENST00000483735.1,>ENST00000582687.1,>ENST00000419267.1,>ENST00000460336.1,ENSG00000222582.1,>ENST00000603887.1,>ENST00000405916.2,>ENST00000587192.1,>ENST00000455355.5,>ENST00000441207.1,ENSG00000280615.1,>ENST00000435269.1,>ENST00000605695.1,>ENST00000439981.1,>ENST00000417586.1,>ENST00000570218.1,>ENST00000412007.1,>ENST00000508758.1,ENSG00000222664.1,>ENST00000472088.1,>ENST00000442619.3,>ENST00000603004.1,>ENST00000458020.1,>ENST00000496996.1,ENSG00000201782.1
>ENST00000419075.1,0.0,7.0,8.0,8.0,7.0,6.0,9.0,6.0,7.0,10.0,6.0,7.0,9.0,8.0,7.0,6.0,6.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,5.0,7.0,7.0,7.0,6.0,6.0,8.0,6.0,7.0,7.0,7.0,5.0,9.0,6.0,7.0
>ENST00000582071.1,7.0,0.0,10.0,10.0,13.0,8.0,10.0,8.0,7.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,8.0,10.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,10.0,9.0,8.0,8.0,11.0,9.0,8.0
>ENST00000547831.1,8.0,10.0,0.0,9.0,11.0,10.0,11.0,11.0,8.0,11.0,10.0,9.0,14.0,11.0,10.0,9.0,10.0,11.0,8.0,10.0,10.0,11.0,11.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
>ENST00000515048.2,8.0,10.0,9.0,0.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,13.0,12.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,13.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0
>ENST00000412182.1,7.0,13.0,11.0,9.0,0.0,8.0,10.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,8.0,12.0,9.0,10.0,7.0,9.0,13.0,11.0,11.0,8.0,8.0,9.0,10.0,10.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,11.0,12.0,10.0
>ENST00000456745.1,6.0,8.0,10.0,10.0,8.0,0.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,12.0,7.0,9.0,10.0,8.0,8.0,8.0,7.0,7.0,9.0,7.0,9.0,8.0,9.0,8.0,10.0
>ENST00000433617.1,9.0,10.0,11.0,9.0,10.0,10.0,0.0,9.0,9.0,8.0,9.0,9.0,12.0,10.0,7.0,9.0,8.0,11.0,8.0,9.0,10.0,11.0,12.0,11.0,9.0,9.0,11.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0
>ENST00000515019.2,6.0,8.0,11.0,9.0,10.0,8.0,9.0,0.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,13.0,8.0,10.0,11.0,14.0,7.0,11.0,9.0,10.0,9.0,6.0,9.0,7.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0
>ENST00000580930.1,7.0,7.0,8.0,10.0,8.0,9.0,9.0,8.0,0.0,8.0,7.0,10.0,10.0,9.0,7.0,8.0,10.0,9.0,7.0,8.0,9.0,11.0,10.0,10.0,8.0,8.0,7.0,9.0,9.0,7.0,6.0,8.0,8.0,8.0,11.0,7.0,9.0,9.0,9.0
>ENST00000411517.2,10.0,9.0,11.0,11.0,10.0,10.0,8.0,10.0,8.0,0.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,11.0,8.0,8.0,13.0,11.0,12.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0
>ENST00000434172.2,6.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,7.0,9.0,0.0,8.0,10.0,8.0,8.0,13.0,11.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,7.0,7.0,6.0,9.0,7.0,8.0,10.0,7.0,9.0,10.0,9.0
ENSG00000226660.2,7.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,0.0,12.0,9.0,12.0,10.0,9.0,8.0,7.0,11.0,9.0,10.0,11.0,8.0,7.0,9.0,9.0,9.0,10.0,7.0,7.0,8.0,8.0,10.0,11.0,9.0,9.0,8.0,8.0
ENSG00000125378.15,9.0,10.0,14.0,13.0,11.0,9.0,12.0,10.0,10.0,11.0,10.0,12.0,0.0,12.0,11.0,11.0,10.0,10.0,9.0,11.0,11.0,12.0,13.0,10.0,12.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,12.0,13.0,12.0,13.0,10.0,12.0
>ENST00000398739.2,8.0,9.0,11.0,12.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,12.0,0.0,9.0,11.0,9.0,8.0,8.0,11.0,11.0,11.0,13.0,9.0,7.0,12.0,9.0,10.0,10.0,8.0,7.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0
>ENST00000483735.1,7.0,9.0,10.0,10.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,12.0,11.0,9.0,0.0,8.0,11.0,9.0,9.0,7.0,9.0,8.0,10.0,8.0,7.0,7.0,11.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0
>ENST00000582687.1,6.0,10.0,9.0,10.0,12.0,8.0,9.0,8.0,8.0,9.0,13.0,10.0,11.0,11.0,8.0,0.0,10.0,11.0,7.0,10.0,10.0,9.0,12.0,8.0,9.0,8.0,9.0,12.0,13.0,6.0,7.0,9.0,8.0,11.0,12.0,10.0,9.0,8.0,8.0
>ENST00000419267.1,6.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,0.0,11.0,7.0,10.0,9.0,8.0,11.0,8.0,6.0,10.0,8.0,9.0,6.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,10.0,7.0,8.0
>ENST00000460336.1,8.0,9.0,11.0,11.0,10.0,8.0,11.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,11.0,11.0,0.0,7.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,8.0,8.0
ENSG00000222582.1,5.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,9.0,7.0,10.0,8.0,10.0,11.0,9.0,7.0,6.0,6.0,7.0,8.0,8.0,6.0,8.0,9.0,6.0
