,>ENST00000425758.1,>ENST00000603667.1,>ENST00000585564.1,>ENST00000438325.2,>ENST00000607821.1,>ENST00000605401.1,>ENST00000433780.1,>ENST00000404458.1,>ENST00000423261.1,>ENST00000598425.1,>ENST00000304105.2,>ENST00000530327.2,>ENST00000619978.1,>ENST00000447479.2,>ENST00000400856.2,>ENST00000436419.1,>ENST00000447051.2,>ENST00000467439.1,>ENST00000317045.6,>ENST00000520501.1,>ENST00000396845.3,>ENST00000449274.1,>ENST00000452932.2,>ENST00000416316.1,>ENST00000403051.2,>ENST00000603941.1,>ENST00000603957.1,>ENST00000582128.1,>ENST00000604457.1,>ENST00000605264.1,>ENST00000423183.1,>ENST00000406065.2,>ENST00000509326.2,>ENST00000423464.1,>ENST00000443069.2,>ENST00000419078.1,>ENST00000505925.1,ENSG00000222778.1,>ENST00000415189.1,>ENST00000392399.3,>ENST00000561772.3,>ENST00000603130.1,>ENST00000551967.1,>ENST00000616023.1,>ENST00000451011.2,ENSG00000222431.1,>ENST00000561247.1,>ENST00000523134.1,>ENST00000424481.1,>ENST00000565542.1,>ENST00000433137.1,>ENST00000506043.1,>ENST00000412453.2,>ENST00000564015.1,>ENST00000503839.1,>ENST00000418879.1,>ENST00000495392.1,>ENST00000243152.5,>ENST00000542108.1,>ENST00000434096.1,>ENST00000400275.2,>ENST00000428512.1,>ENST00000611115.1,>ENST00000560273.2,>ENST00000603842.1,>ENST00000635145.1,>ENST00000449637.1,>ENST00000415651.1,>ENST00000560331.2,>ENST00000441378.1,>ENST00000447766.1
>ENST00000425758.1,0.0,8.0,9.0,9.0,7.0,7.0,9.0,7.0,9.0,7.0,10.0,8.0,8.0,8.0,7.0,10.0,8.0,9.0,9.0,7.0,8.0,7.0,9.0,9.0,6.0,7.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,10.0,9.0,6.0,10.0,6.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,7.0,10.0,9.0,10.0,9.0,8.0,43.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,12.0,9.0,9.0,8.0,10.0
>ENST00000603667.1,8.0,0.0,9.0,9.0,6.0,7.0,10.0,8.0,7.0,8.0,8.0,8.0,11.0,7.0,10.0,9.0,11.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,7.0,9.0,7.0,10.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,7.0,9.0,11.0,8.0,7.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,12.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,8.0,7.0,10.0
>ENST00000585564.1,9.0,9.0,0.0,13.0,9.0,9.0,9.0,11.0,11.0,8.0,17.0,10.0,11.0,11.0,10.0,15.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,11.0,7.0,10.0,8.0,9.0,8.0,8.0,10.0,12.0,10.0,10.0,9.0,9.0,10.0,7.0,11.0,10.0,10.0,8.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,12.0,8.0,10.0,11.0,10.0,11.0,9.0,9.0,18.0,9.0,9.0
>ENST00000438325.2,9.0,9.0,13.0,0.0,8.0,7.0,12.0,11.0,9.0,9.0,10.0,9.0,12.0,10.0,8.0,20.0,10.0,10.0,12.0,9.0,12.0,10.0,9.0,11.0,8.0,9.0,8.0,10.0,9.0,11.0,11.0,10.0,10.0,11.0,10.0,9.0,11.0,8.0,10.0,10.0,13.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,12.0,11.0,9.0,11.0,11.0,11.0,9.0,10.0,11.0,8.0,13.0,8.0,9.0
>ENST00000607821.1,7.0,6.0,9.0,8.0,0.0,7.0,7.0,8.0,9.0,9.0,10.0,8.0,8.0,6.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,7.0,7.0,9.0,8.0,8.0,7.0,9.0,6.0,7.0,8.0,6.0,10.0,9.0,8.0,8.0,9.0,6.0,9.0,7.0,11.0,7.0,8.0,10.0,9.0,5.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,7.0,11.0,9.0,7.0,8.0,8.0,10.0
>ENST00000605401.1,7.0,7.0,9.0,7.0,7.0,0.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,8.0,7.0,6.0,9.0,6.0,8.0,6.0,7.0,7.0,9.0,7.0,6.0,7.0,11.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,9.0
>ENST00000433780.1,9.0,10.0,9.0,12.0,7.0,7.0,0.0,8.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,11.0,10.0,10.0,11.0,9.0,8.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,7.0,11.0,9.0,8.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0,8.0,9.0,8.0,11.0,10.0,12.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,8.0,11.0
>ENST00000404458.1,7.0,8.0,11.0,11.0,8.0,7.0,8.0,0.0,8.0,8.0,8.0,9.0,11.0,10.0,8.0,14.0,8.0,9.0,8.0,9.0,13.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,7.0,8.0,11.0,8.0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,9.0,10.0,7.0,7.0,10.0,9.0,8.0,9.0,10.0,11.0,7.0,7.0,9.0,9.0,7.0,7.0,12.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,12.0,8.0,8.0
>ENST00000423261.1,9.0,7.0,11.0,9.0,9.0,6.0,9.0,8.0,0.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,7.0,9.0,7.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,14.0,7.0,8.0,9.0,9.0,7.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,10.0,10.0,11.0,9.0,9.0,12.0,8.0,9.0,9.0,8.0,9.0,7.0,10.0
>ENST00000598425.1,7.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,7.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,6.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,13.0,8.0,7.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0,9.0
