,>ENST00000470927.2,>ENST00000573044.1,>ENST00000408001.1,>ENST00000497800.1,>ENST00000605468.1,>ENST00000597698.1,>ENST00000514820.1,>ENST00000428251.1,>ENST00000599655.1,>ENST00000585790.1,>ENST00000511599.1,>ENST00000456482.2,>ENST00000525564.1,>ENST00000604233.1,>ENST00000431135.2,>ENST00000613847.1,>ENST00000420325.1,>ENST00000424643.3,>ENST00000478069.1,>ENST00000620582.1,>ENST00000547616.2,>ENST00000511894.2,>ENST00000435191.1,>ENST00000577104.1,>ENST00000464237.2,>ENST00000419363.1,>ENST00000539323.1,ENSG00000277900.1,>ENST00000550415.2,>ENST00000405405.2,>ENST00000582279.1,>ENST00000425092.1,>ENST00000562112.5,ENSG00000244236.3,>ENST00000262716.6,>ENST00000511053.2,>ENST00000545768.1,>ENST00000487348.1,>ENST00000455940.1,>ENST00000447134.1,>ENST00000396414.4,>ENST00000468126.1,>ENST00000605379.1,>ENST00000476002.1,>ENST00000450668.1,>ENST00000411843.1,>ENST00000528260.1,>ENST00000533382.2,>ENST00000618967.1,>ENST00000440621.1,ENSG00000221204.1,>ENST00000440211.1
>ENST00000470927.2,0.0,9.0,9.0,11.0,9.0,10.0,8.0,11.0,10.0,8.0,11.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,11.0,8.0,8.0,9.0,10.0,11.0,11.0,10.0,8.0,9.0,11.0,11.0,9.0,7.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,8.0,10.0,8.0,10.0,7.0,10.0
>ENST00000573044.1,9.0,0.0,10.0,8.0,9.0,9.0,7.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,8.0,8.0,10.0,7.0,14.0,8.0,9.0,8.0,11.0,10.0,11.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,8.0,12.0,8.0,10.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,7.0,8.0
>ENST00000408001.1,9.0,10.0,0.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,11.0,9.0,10.0,7.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,12.0,9.0,9.0,8.0,8.0,10.0,9.0,11.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0
>ENST00000497800.1,11.0,8.0,8.0,0.0,10.0,9.0,8.0,9.0,12.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,12.0,8.0,8.0,7.0,9.0,10.0,10.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,8.0,12.0,7.0,8.0,9.0,10.0,10.0,8.0
>ENST00000605468.1,9.0,9.0,9.0,10.0,0.0,12.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,12.0,8.0,10.0,9.0,8.0,8.0,8.0,6.0,8.0,8.0,9.0,7.0,8.0
>ENST00000597698.1,10.0,9.0,10.0,9.0,12.0,0.0,11.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,10.0,12.0,10.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,10.0,9.0,12.0,8.0,11.0,11.0,10.0,8.0,11.0
>ENST00000514820.1,8.0,7.0,9.0,8.0,8.0,11.0,0.0,14.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,9.0,9.0,9.0,7.0,7.0,10.0,8.0,8.0,11.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,6.0,7.0
>ENST00000428251.1,11.0,10.0,9.0,9.0,9.0,11.0,14.0,0.0,9.0,8.0,9.0,9.0,13.0,10.0,9.0,9.0,11.0,11.0,9.0,11.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,8.0,13.0,10.0,9.0,15.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,9.0,12.0,10.0,10.0,8.0,12.0
>ENST00000599655.1,10.0,10.0,8.0,12.0,8.0,8.0,8.0,9.0,0.0,8.0,10.0,8.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,7.0,7.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,11.0,11.0,10.0,10.0,9.0,8.0,11.0,10.0,7.0,10.0
>ENST00000585790.1,8.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,0.0,10.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,8.0,13.0,9.0,7.0,9.0,8.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,7.0,9.0,7.0,8.0,8.0,8.0,9.0,7.0
