,>ENST00000581877.1,>ENST00000452667.2,>ENST00000413972.2,>ENST00000439728.1,>ENST00000505168.1,>ENST00000532682.2,>ENST00000430583.2,>ENST00000449255.1,>ENST00000427921.1,>ENST00000442640.1,>ENST00000406706.2,>ENST00000412635.1,>ENST00000417301.1,>ENST00000553305.1,>ENST00000429986.1,>ENST00000507884.2,ENSG00000252431.1,>ENST00000405810.2,>ENST00000604166.1,>ENST00000382740.3,>ENST00000489563.1,>ENST00000435405.1,>ENST00000451818.2,>ENST00000512908.2,>ENST00000437111.1,ENSG00000251960.1,ENSG00000243847.3,>ENST00000556165.2,>ENST00000479267.2,>ENST00000453019.1,>ENST00000438648.1,>ENST00000414059.2,>ENST00000513953.1,>ENST00000388966.4,ENSG00000221322.1
>ENST00000581877.1,0.0,10.0,9.0,9.0,9.0,11.0,12.0,11.0,11.0,9.0,9.0,8.0,10.0,8.0,11.0,7.0,9.0,9.0,12.0,8.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,10.0,7.0
>ENST00000452667.2,10.0,0.0,11.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,11.0,10.0,11.0,12.0,10.0,9.0,9.0,8.0,10.0,12.0,9.0,9.0,11.0,10.0,9.0
>ENST00000413972.2,9.0,11.0,0.0,7.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,8.0,10.0,8.0,7.0,6.0,8.0,11.0,9.0,9.0,8.0,11.0,10.0,11.0,6.0,8.0,8.0,9.0,9.0,7.0,8.0,13.0,9.0,8.0
>ENST00000439728.1,9.0,9.0,7.0,0.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,8.0,11.0,9.0,8.0,8.0,8.0,10.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0
>ENST00000505168.1,9.0,9.0,9.0,10.0,0.0,9.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,13.0,9.0,11.0,9.0,9.0,11.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,11.0,8.0
>ENST00000532682.2,11.0,9.0,9.0,10.0,9.0,0.0,9.0,9.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,11.0,8.0
>ENST00000430583.2,12.0,11.0,10.0,8.0,11.0,9.0,0.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,14.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0
>ENST00000449255.1,11.0,9.0,10.0,8.0,8.0,9.0,10.0,0.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,9.0,10.0,8.0,11.0,8.0,11.0,10.0,11.0,8.0,8.0,10.0,9.0,8.0,11.0,10.0,9.0,12.0,7.0
>ENST00000427921.1,11.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,0.0,9.0,9.0,8.0,9.0,8.0,8.0,6.0,8.0,10.0,9.0,9.0,10.0,9.0,12.0,11.0,11.0,9.0,7.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000442640.1,9.0,8.0,10.0,8.0,9.0,10.0,11.0,10.0,9.0,0.0,9.0,8.0,10.0,8.0,7.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,7.0,8.0,9.0,11.0,8.0,9.0,10.0,10.0,10.0,8.0
>ENST00000406706.2,9.0,9.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,0.0,8.0,9.0,9.0,11.0,8.0,7.0,8.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,7.0,9.0,10.0,9.0,7.0
>ENST00000412635.1,8.0,8.0,10.0,7.0,8.0,12.0,10.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,9.0,7.0,7.0,7.0,10.0,9.0,10.0,7.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,6.0
>ENST00000417301.1,10.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,0.0,11.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,8.0,12.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,8.0
>ENST00000553305.1,8.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,11.0,0.0,9.0,10.0,7.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,10.0,7.0,10.0,9.0,10.0,10.0,7.0,10.0,9.0,10.0,7.0
>ENST00000429986.1,11.0,9.0,8.0,7.0,9.0,10.0,11.0,8.0,8.0,7.0,11.0,9.0,9.0,9.0,0.0,8.0,8.0,11.0,10.0,10.0,8.0,7.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,11.0,8.0,8.0,10.0,9.0,9.0
>ENST00000507884.2,7.0,8.0,7.0,7.0,9.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,8.0,10.0,8.0,0.0,6.0,8.0,10.0,7.0,9.0,10.0,7.0,9.0,10.0,7.0,8.0,7.0,8.0,9.0,7.0,10.0,8.0,8.0,5.0
ENSG00000252431.1,9.0,8.0,6.0,7.0,8.0,8.0,10.0,7.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0,6.0,0.0,8.0,8.0,7.0,9.0,8.0,7.0,9.0,10.0,11.0,7.0,7.0,11.0,9.0,7.0,8.0,8.0,7.0,6.0
>ENST00000405810.2,9.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,7.0,9.0,10.0,11.0,8.0,8.0,0.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0
>ENST00000604166.1,12.0,10.0,11.0,8.0,13.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,8.0,10.0,0.0,9.0,10.0,8.0,10.0,10.0,11.0,8.0,9.0,11.0,9.0,11.0,12.0,10.0,12.0,9.0,7.0
>ENST00000382740.3,8.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,7.0,8.0,9.0,0.0,9.0,10.0,13.0,11.0,10.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,7.0
>ENST00000489563.1,9.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,0.0,10.0,9.0,11.0,11.0,10.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,6.0
>ENST00000435405.1,8.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,8.0,7.0,10.0,8.0,9.0,8.0,10.0,10.0,0.0,11.0,11.0,9.0,6.0,8.0,8.0,9.0,7.0,8.0,7.0,9.0,8.0,6.0
>ENST00000451818.2,9.0,11.0,11.0,11.0,9.0,9.0,9.0,11.0,12.0,10.0,9.0,9.0,12.0,10.0,8.0,7.0,7.0,9.0,10.0,13.0,9.0,11.0,0.0,12.0,11.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0
>ENST00000512908.2,11.0,12.0,10.0,9.0,11.0,12.0,14.0,10.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,0.0,10.0,8.0,9.0,10.0,10.0,12.0,9.0,11.0,13.0,11.0,9.0
>ENST00000437111.1,10.0,10.0,11.0,8.0,9.0,11.0,10.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,10.0,0.0,8.0,11.0,13.0,9.0,11.0,8.0,10.0,11.0,10.0,8.0
ENSG00000251960.1,9.0,9.0,6.0,8.0,8.0,10.0,8.0,8.0,9.0,7.0,9.0,7.0,9.0,7.0,7.0,7.0,11.0,7.0,8.0,8.0,10.0,6.0,8.0,8.0,8.0,0.0,6.0,9.0,9.0,9.0,6.0,6.0,8.0,8.0,6.0
ENSG00000243847.3,10.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,7.0,8.0,11.0,8.0,9.0,10.0,9.0,8.0,7.0,9.0,9.0,10.0,7.0,8.0,8.0,9.0,11.0,6.0,0.0,8.0,11.0,8.0,8.0,8.0,9.0,9.0,7.0
>ENST00000556165.2,9.0,8.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,9.0,11.0,9.0,8.0,8.0,8.0,10.0,13.0,9.0,8.0,0.0,8.0,11.0,10.0,8.0,8.0,8.0,5.0
>ENST00000479267.2,10.0,10.0,9.0,11.0,8.0,10.0,9.0,9.0,11.0,11.0,9.0,8.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,9.0,9.0,11.0,8.0,0.0,9.0,8.0,10.0,10.0,9.0,8.0
>ENST00000453019.1,11.0,12.0,9.0,8.0,10.0,10.0,11.0,8.0,9.0,8.0,11.0,9.0,8.0,10.0,11.0,9.0,9.0,10.0,11.0,9.0,9.0,7.0,9.0,12.0,11.0,9.0,8.0,11.0,9.0,0.0,10.0,10.0,11.0,9.0,8.0
