,>ENST00000451247.1,>ENST00000395613.2,>ENST00000617986.1,>ENST00000423953.1,>ENST00000523233.1,>ENST00000509046.2,>ENST00000451913.1,>ENST00000457237.1,>ENST00000434936.2,>ENST00000614412.1,>ENST00000435940.1,>ENST00000512403.2,>ENST00000454459.2,>ENST00000416788.2,>ENST00000431829.1,>ENST00000603806.1,>ENST00000510642.1,>ENST00000452266.1,>ENST00000463655.1,>ENST00000507624.1,>ENST00000414817.2,>ENST00000512187.1,>ENST00000413701.2,>ENST00000502510.1,>ENST00000489251.1,ENSG00000201476.1,>ENST00000563895.1,>ENST00000518269.1,>ENST00000518307.1,>ENST00000432914.1,>ENST00000424255.1,>ENST00000522557.1,>ENST00000402041.1,>ENST00000450968.1,>ENST00000480063.1,ENSG00000200058.1,>ENST00000508710.1,>ENST00000624595.1,>ENST00000416747.1,>ENST00000412746.1
>ENST00000451247.1,0.0,9.0,7.0,9.0,8.0,11.0,8.0,10.0,12.0,7.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,11.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,12.0,9.0,9.0,9.0,7.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0
>ENST00000395613.2,9.0,0.0,8.0,12.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,7.0,9.0,11.0,10.0,11.0,9.0,12.0,8.0,10.0,8.0,10.0,12.0,9.0,10.0,11.0
>ENST00000617986.1,7.0,8.0,0.0,11.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,9.0,10.0,7.0,8.0
>ENST00000423953.1,9.0,12.0,11.0,0.0,8.0,11.0,8.0,13.0,9.0,7.0,9.0,10.0,9.0,10.0,10.0,12.0,12.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,12.0,10.0,10.0,11.0,9.0,8.0,11.0,10.0,11.0,9.0
>ENST00000523233.1,8.0,11.0,8.0,8.0,0.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,11.0,12.0,11.0,10.0,10.0,10.0,9.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,15.0,9.0,11.0,13.0,7.0,10.0,9.0,9.0,10.0
>ENST00000509046.2,11.0,9.0,9.0,11.0,10.0,0.0,10.0,10.0,13.0,6.0,12.0,9.0,8.0,8.0,10.0,9.0,9.0,12.0,10.0,9.0,10.0,13.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0
>ENST00000451913.1,8.0,10.0,9.0,8.0,9.0,10.0,0.0,10.0,8.0,6.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,7.0,8.0,210.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,7.0,10.0,9.0,9.0,11.0
>ENST00000457237.1,10.0,10.0,9.0,13.0,9.0,10.0,10.0,0.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,11.0,12.0,11.0,8.0,8.0,11.0,9.0,11.0,13.0,10.0,7.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0
>ENST00000434936.2,12.0,9.0,8.0,9.0,9.0,13.0,8.0,9.0,0.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,10.0,33.0,9.0,10.0,17.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,15.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0
>ENST00000614412.1,7.0,8.0,7.0,7.0,8.0,6.0,6.0,8.0,8.0,0.0,7.0,6.0,8.0,6.0,9.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,9.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,10.0,7.0,7.0
