,>ENST00000398764.3,>ENST00000441182.1,>ENST00000504736.2,>ENST00000621945.1,>ENST00000604059.1,>ENST00000430498.1,ENSG00000223118.1,>ENST00000508151.1,>ENST00000425737.1,>ENST00000577737.1,>ENST00000414680.1,>ENST00000625020.1,ENSG00000128218.7,>ENST00000491371.1,>ENST00000513087.1,>ENST00000390529.1,>ENST00000526766.1,>ENST00000611308.1,>ENST00000415903.1,>ENST00000619004.1,>ENST00000595979.1,>ENST00000497974.1,>ENST00000511195.1,>ENST00000564897.5,>ENST00000557880.2,>ENST00000603845.1,>ENST00000502488.1,>ENST00000526625.2,>ENST00000479312.1,>ENST00000575608.1,>ENST00000439323.1,>ENST00000440805.1,>ENST00000434138.1,>ENST00000430808.1,>ENST00000553429.1
>ENST00000398764.3,0.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,11.0,10.0,8.0,9.0,7.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,11.0,10.0,8.0,9.0,14.0
>ENST00000441182.1,9.0,0.0,11.0,10.0,7.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,12.0,8.0,10.0,6.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,14.0,10.0,8.0,11.0,12.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0
>ENST00000504736.2,8.0,11.0,0.0,11.0,9.0,11.0,8.0,7.0,9.0,7.0,8.0,9.0,10.0,7.0,9.0,8.0,10.0,9.0,8.0,8.0,11.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0
>ENST00000621945.1,8.0,10.0,11.0,0.0,8.0,11.0,8.0,8.0,9.0,7.0,10.0,8.0,9.0,7.0,9.0,6.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,12.0,8.0,9.0,10.0,11.0,10.0,8.0,12.0,8.0,9.0,10.0,10.0
>ENST00000604059.1,9.0,7.0,9.0,8.0,0.0,10.0,10.0,8.0,10.0,7.0,8.0,8.0,8.0,7.0,7.0,5.0,12.0,9.0,7.0,10.0,9.0,9.0,7.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0
>ENST00000430498.1,9.0,9.0,11.0,11.0,10.0,0.0,9.0,9.0,10.0,11.0,9.0,12.0,12.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,11.0,11.0,8.0,11.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,9.0
ENSG00000223118.1,8.0,10.0,8.0,8.0,10.0,9.0,0.0,8.0,9.0,8.0,8.0,8.0,10.0,10.0,8.0,6.0,11.0,8.0,7.0,8.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,12.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0
>ENST00000508151.1,8.0,9.0,7.0,8.0,8.0,9.0,8.0,0.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,7.0,8.0,11.0,7.0,8.0,8.0,11.0,8.0,12.0,10.0,8.0,11.0,10.0,8.0,9.0,12.0,8.0,9.0,8.0,10.0
>ENST00000425737.1,8.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,7.0,12.0,8.0,10.0,7.0,10.0,6.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,17.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,8.0,11.0,19.0,10.0
>ENST00000577737.1,8.0,9.0,7.0,7.0,7.0,11.0,8.0,8.0,7.0,0.0,7.0,8.0,9.0,6.0,8.0,6.0,8.0,8.0,7.0,7.0,13.0,8.0,10.0,8.0,9.0,7.0,9.0,8.0,7.0,8.0,15.0,9.0,6.0,6.0,7.0
