,>ENST00000564266.1,>ENST00000588399.1,>ENST00000566025.1,>ENST00000424290.1,>ENST00000457292.1,>ENST00000593399.1,>ENST00000506452.1,>ENST00000422041.1,>ENST00000506203.2,>ENST00000582696.1,>ENST00000604816.1,>ENST00000552900.1,>ENST00000597032.1,>ENST00000554103.2,>ENST00000444553.5
>ENST00000564266.1,0.0,9.0,10.0,11.0,9.0,12.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,10.0,11.0
>ENST00000588399.1,9.0,0.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,10.0
>ENST00000566025.1,10.0,8.0,0.0,10.0,10.0,10.0,9.0,13.0,10.0,11.0,9.0,10.0,10.0,11.0,11.0
>ENST00000424290.1,11.0,8.0,10.0,0.0,8.0,9.0,10.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,12.0
>ENST00000457292.1,9.0,8.0,10.0,8.0,0.0,9.0,9.0,7.0,7.0,7.0,8.0,12.0,8.0,9.0,9.0
>ENST00000593399.1,12.0,9.0,10.0,9.0,9.0,0.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,13.0
>ENST00000506452.1,10.0,10.0,9.0,10.0,9.0,9.0,0.0,9.0,8.0,8.0,10.0,10.0,7.0,9.0,11.0
>ENST00000422041.1,8.0,8.0,13.0,8.0,7.0,8.0,9.0,0.0,7.0,8.0,7.0,9.0,8.0,9.0,9.0
>ENST00000506203.2,9.0,8.0,10.0,8.0,7.0,9.0,8.0,7.0,0.0,10.0,11.0,8.0,8.0,9.0,10.0
>ENST00000582696.1,9.0,6.0,11.0,11.0,7.0,11.0,8.0,8.0,10.0,0.0,8.0,9.0,9.0,12.0,11.0
>ENST00000604816.1,9.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,11.0,8.0,0.0,9.0,7.0,8.0,10.0
>ENST00000552900.1,10.0,8.0,10.0,9.0,12.0,9.0,10.0,9.0,8.0,9.0,9.0,0.0,8.0,10.0,10.0
>ENST00000597032.1,7.0,7.0,10.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,7.0,8.0,0.0,9.0,10.0
>ENST00000554103.2,10.0,7.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,8.0,10.0,9.0,0.0,12.0
>ENST00000444553.5,11.0,10.0,11.0,12.0,9.0,13.0,11.0,9.0,10.0,11.0,10.0,10.0,10.0,12.0,0.0
