,>ENST00000433481.1,>ENST00000460726.2,>ENST00000427761.1,>ENST00000431287.1,>ENST00000453646.1,>ENST00000635217.1,>ENST00000488409.1,>ENST00000425409.2,>ENST00000527050.1,>ENST00000493929.1,>ENST00000563973.1,>ENST00000453002.2,>ENST00000582820.1,>ENST00000452761.1,>ENST00000604344.1,>ENST00000429259.1,ENSG00000266310.2,>ENST00000453737.1,>ENST00000427536.2,>ENST00000421897.1,>ENST00000614270.1,>ENST00000480755.1,>ENST00000614548.1,>ENST00000503032.1,>ENST00000498788.1,>ENST00000402318.2,>ENST00000465411.1,>ENST00000405355.1,>ENST00000511084.1,>ENST00000553847.2,>ENST00000411556.2,>ENST00000448148.1,>ENST00000461663.1
>ENST00000433481.1,0.0,11.0,12.0,8.0,11.0,10.0,9.0,12.0,10.0,10.0,9.0,11.0,8.0,10.0,9.0,13.0,8.0,9.0,8.0,8.0,9.0,10.0,12.0,11.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0
>ENST00000460726.2,11.0,0.0,11.0,9.0,10.0,13.0,10.0,12.0,11.0,11.0,13.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,11.0,10.0,10.0,8.0,11.0,9.0,14.0,11.0,11.0,11.0
>ENST00000427761.1,12.0,11.0,0.0,11.0,12.0,9.0,11.0,9.0,9.0,11.0,9.0,12.0,12.0,13.0,15.0,12.0,9.0,8.0,10.0,8.0,7.0,9.0,11.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,13.0,9.0,10.0
>ENST00000431287.1,8.0,9.0,11.0,0.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,11.0,9.0,8.0,11.0,8.0,10.0,10.0,12.0,10.0,10.0,9.0
>ENST00000453646.1,11.0,10.0,12.0,9.0,0.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0
>ENST00000635217.1,10.0,13.0,9.0,10.0,10.0,0.0,9.0,49.0,10.0,10.0,9.0,10.0,8.0,12.0,10.0,11.0,8.0,9.0,8.0,10.0,8.0,10.0,12.0,10.0,10.0,11.0,9.0,9.0,12.0,9.0,10.0,10.0,10.0
>ENST00000488409.1,9.0,10.0,11.0,10.0,9.0,9.0,0.0,12.0,9.0,10.0,9.0,11.0,8.0,10.0,9.0,10.0,7.0,8.0,8.0,8.0,7.0,11.0,13.0,10.0,11.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0
>ENST00000425409.2,12.0,12.0,9.0,8.0,9.0,49.0,12.0,0.0,9.0,9.0,10.0,9.0,8.0,11.0,8.0,8.0,7.0,9.0,7.0,9.0,6.0,9.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,8.0,9.0,10.0,9.0
>ENST00000527050.1,10.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,0.0,9.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,9.0,8.0,7.0,8.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,8.0
>ENST00000493929.1,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,11.0,8.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0
>ENST00000563973.1,9.0,13.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,8.0,0.0,11.0,8.0,11.0,8.0,8.0,5.0,9.0,9.0,8.0,9.0,12.0,9.0,10.0,7.0,12.0,7.0,9.0,7.0,8.0,13.0,8.0,9.0
>ENST00000453002.2,11.0,10.0,12.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,0.0,8.0,13.0,10.0,9.0,7.0,10.0,8.0,11.0,7.0,9.0,11.0,9.0,8.0,11.0,7.0,9.0,10.0,8.0,9.0,10.0,8.0
>ENST00000582820.1,8.0,8.0,12.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,0.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,10.0,8.0,9.0,10.0,9.0,15.0,8.0,8.0,9.0,8.0,10.0,8.0,10.0
>ENST00000452761.1,10.0,10.0,13.0,9.0,10.0,12.0,10.0,11.0,9.0,11.0,11.0,13.0,8.0,0.0,10.0,9.0,7.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,12.0,8.0,9.0,8.0,9.0,10.0,11.0,10.0
>ENST00000604344.1,9.0,8.0,15.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,0.0,9.0,9.0,10.0,9.0,10.0,8.0,11.0,10.0,12.0,9.0,12.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0
>ENST00000429259.1,13.0,9.0,12.0,9.0,10.0,11.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,0.0,6.0,8.0,7.0,8.0,6.0,8.0,8.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0,7.0,10.0,7.0
ENSG00000266310.2,8.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,9.0,5.0,7.0,7.0,7.0,9.0,6.0,0.0,8.0,8.0,9.0,6.0,7.0,9.0,8.0,8.0,9.0,6.0,7.0,7.0,8.0,11.0,6.0,7.0
>ENST00000453737.1,9.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,8.0,8.0,0.0,8.0,9.0,7.0,8.0,11.0,11.0,9.0,11.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0
>ENST00000427536.2,8.0,11.0,10.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,0.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,8.0,13.0,8.0,9.0
>ENST00000421897.1,8.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,11.0,8.0,11.0,10.0,8.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,10.0,7.0,11.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0
>ENST00000614270.1,9.0,8.0,7.0,10.0,8.0,8.0,7.0,6.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,6.0,6.0,7.0,8.0,8.0,0.0,9.0,9.0,8.0,7.0,11.0,8.0,7.0,7.0,8.0,10.0,8.0,11.0
>ENST00000480755.1,10.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,9.0,8.0,9.0,11.0,8.0,7.0,8.0,8.0,9.0,9.0,0.0,10.0,11.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0
>ENST00000614548.1,12.0,10.0,11.0,11.0,10.0,12.0,13.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,0.0,13.0,10.0,13.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0
>ENST00000503032.1,11.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,12.0,10.0,8.0,11.0,9.0,10.0,8.0,11.0,13.0,0.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0
>ENST00000498788.1,10.0,10.0,9.0,8.0,9.0,10.0,11.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,7.0,9.0,10.0,9.0,0.0,9.0,9.0,8.0,13.0,9.0,9.0,8.0,10.0
>ENST00000402318.2,10.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,12.0,11.0,15.0,12.0,12.0,9.0,9.0,11.0,10.0,11.0,11.0,11.0,13.0,11.0,9.0,0.0,10.0,13.0,11.0,12.0,11.0,10.0,11.0
>ENST00000465411.1,8.0,8.0,9.0,8.0,11.0,9.0,8.0,7.0,10.0,10.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,0.0,7.0,8.0,8.0,9.0,9.0,8.0
>ENST00000405355.1,10.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,7.0,8.0,10.0,8.0,7.0,10.0,10.0,11.0,8.0,13.0,7.0,0.0,9.0,7.0,9.0,10.0,8.0
>ENST00000511084.1,8.0,9.0,9.0,10.0,10.0,12.0,9.0,8.0,8.0,11.0,7.0,10.0,9.0,8.0,10.0,8.0,7.0,8.0,10.0,7.0,7.0,9.0,9.0,10.0,13.0,11.0,8.0,9.0,0.0,11.0,10.0,9.0,9.0
>ENST00000553847.2,8.0,14.0,9.0,12.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,12.0,8.0,7.0,11.0,0.0,11.0,11.0,8.0
