,>ENST00000489560.1,ENSG00000176774.5,>ENST00000399739.2,ENSG00000207775.1,>ENST00000618264.1,>ENST00000438968.1,>ENST00000454525.1
>ENST00000489560.1,0.0,10.0,11.0,7.0,8.0,8.0,8.0
ENSG00000176774.5,10.0,0.0,10.0,8.0,9.0,10.0,10.0
>ENST00000399739.2,11.0,10.0,0.0,9.0,8.0,8.0,8.0
ENSG00000207775.1,7.0,8.0,9.0,0.0,6.0,6.0,7.0
>ENST00000618264.1,8.0,9.0,8.0,6.0,0.0,7.0,7.0
>ENST00000438968.1,8.0,10.0,8.0,6.0,7.0,0.0,10.0
>ENST00000454525.1,8.0,10.0,8.0,7.0,7.0,10.0,0.0
