,>ENST00000446251.1,>ENST00000566825.5,>ENST00000432596.2,>ENST00000502376.1,>ENST00000413837.1,>ENST00000614981.1,>ENST00000429771.1,>ENST00000431005.2,>ENST00000446065.1,>ENST00000428454.1,>ENST00000604134.1,>ENST00000416785.1,>ENST00000423669.3,>ENST00000454883.1,>ENST00000415978.2,>ENST00000421770.1,>ENST00000554937.1,>ENST00000417878.1,>ENST00000482594.2,>ENST00000512051.1,>ENST00000510731.1,ENSG00000200161.1
>ENST00000446251.1,0.0,10.0,9.0,10.0,9.0,11.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,15.0,9.0,9.0,8.0,11.0,9.0
>ENST00000566825.5,10.0,0.0,11.0,11.0,11.0,11.0,13.0,11.0,10.0,12.0,12.0,10.0,10.0,10.0,11.0,9.0,13.0,11.0,10.0,11.0,9.0,10.0
>ENST00000432596.2,9.0,11.0,0.0,9.0,10.0,8.0,9.0,9.0,11.0,10.0,8.0,190.0,10.0,9.0,10.0,8.0,11.0,12.0,9.0,9.0,11.0,9.0
>ENST00000502376.1,10.0,11.0,9.0,0.0,9.0,6.0,9.0,10.0,6.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,8.0,7.0,11.0,8.0
>ENST00000413837.1,9.0,11.0,10.0,9.0,0.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,9.0,11.0,11.0,10.0,9.0,10.0,11.0
>ENST00000614981.1,11.0,11.0,8.0,6.0,8.0,0.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0
>ENST00000429771.1,10.0,13.0,9.0,9.0,9.0,8.0,0.0,10.0,10.0,10.0,8.0,10.0,13.0,10.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,10.0
>ENST00000431005.2,8.0,11.0,9.0,10.0,9.0,8.0,10.0,0.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,7.0,9.0,17.0
>ENST00000446065.1,10.0,10.0,11.0,6.0,9.0,8.0,10.0,9.0,0.0,10.0,6.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,8.0,10.0,10.0,9.0
>ENST00000428454.1,10.0,12.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,0.0,10.0,11.0,11.0,11.0,12.0,10.0,11.0,13.0,10.0,9.0,11.0,8.0
>ENST00000604134.1,8.0,12.0,8.0,9.0,9.0,7.0,8.0,9.0,6.0,10.0,0.0,8.0,10.0,7.0,10.0,7.0,8.0,9.0,9.0,7.0,8.0,8.0
>ENST00000416785.1,9.0,10.0,190.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,8.0,0.0,10.0,10.0,10.0,8.0,10.0,12.0,9.0,10.0,11.0,9.0
>ENST00000423669.3,9.0,10.0,10.0,10.0,9.0,9.0,13.0,10.0,9.0,11.0,10.0,10.0,0.0,11.0,11.0,8.0,10.0,11.0,9.0,11.0,17.0,8.0
>ENST00000454883.1,9.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,7.0,10.0,11.0,0.0,9.0,8.0,12.0,10.0,10.0,10.0,10.0,9.0
>ENST00000415978.2,10.0,11.0,10.0,10.0,12.0,8.0,10.0,9.0,10.0,12.0,10.0,10.0,11.0,9.0,0.0,10.0,10.0,12.0,10.0,10.0,9.0,9.0
>ENST00000421770.1,8.0,9.0,8.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,7.0,8.0,8.0,8.0,10.0,0.0,10.0,10.0,8.0,10.0,9.0,7.0
>ENST00000554937.1,15.0,13.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,11.0,8.0,10.0,10.0,12.0,10.0,10.0,0.0,12.0,10.0,11.0,13.0,9.0
>ENST00000417878.1,9.0,11.0,12.0,9.0,11.0,8.0,12.0,10.0,11.0,13.0,9.0,12.0,11.0,10.0,12.0,10.0,12.0,0.0,10.0,12.0,9.0,10.0
>ENST00000482594.2,9.0,10.0,9.0,8.0,10.0,7.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,0.0,10.0,9.0,10.0
>ENST00000512051.1,8.0,11.0,9.0,7.0,9.0,8.0,10.0,7.0,10.0,9.0,7.0,10.0,11.0,10.0,10.0,10.0,11.0,12.0,10.0,0.0,8.0,9.0
>ENST00000510731.1,11.0,9.0,11.0,11.0,10.0,8.0,10.0,9.0,10.0,11.0,8.0,11.0,17.0,10.0,9.0,9.0,13.0,9.0,9.0,8.0,0.0,9.0
ENSG00000200161.1,9.0,10.0,9.0,8.0,11.0,9.0,10.0,17.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,0.0
