,>ENST00000505767.1,>ENST00000451975.2,>ENST00000603178.1,>ENST00000442667.2,>ENST00000447965.2,>ENST00000467693.1,>ENST00000528891.1,>ENST00000547505.2,>ENST00000358001.4,>ENST00000406535.1,>ENST00000434745.2,>ENST00000455245.1,>ENST00000418544.1,>ENST00000449233.1,>ENST00000457791.2,>ENST00000551907.1,>ENST00000613964.2,>ENST00000442774.1,>ENST00000433300.1,>ENST00000423458.1,>ENST00000449535.2,>ENST00000445848.2,>ENST00000493219.2,>ENST00000449374.1,>ENST00000464297.1,>ENST00000518246.1,>ENST00000421119.1,>ENST00000451185.1,>ENST00000496394.1,>ENST00000619841.1,>ENST00000615488.1,>ENST00000613259.1,>ENST00000591175.1,>ENST00000435230.1,>ENST00000528321.1,>ENST00000454719.1,>ENST00000521183.1,>ENST00000422849.1,>ENST00000396004.2,>ENST00000425504.1,>ENST00000522496.1,ENSG00000252798.1,>ENST00000426407.2,>ENST00000414168.1
>ENST00000505767.1,0.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,12.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,12.0,10.0,11.0,10.0,11.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,13.0,13.0,11.0,8.0,10.0,9.0
>ENST00000451975.2,10.0,0.0,9.0,10.0,10.0,12.0,9.0,10.0,22.0,13.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,11.0,9.0,10.0,9.0,10.0,9.0,7.0,8.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
>ENST00000603178.1,9.0,9.0,0.0,8.0,7.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,10.0,9.0,9.0,8.0,11.0,8.0,5.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,7.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000442667.2,10.0,10.0,8.0,0.0,8.0,10.0,9.0,11.0,9.0,9.0,11.0,12.0,9.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,9.0,11.0,7.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,10.0,7.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
>ENST00000447965.2,9.0,10.0,7.0,8.0,0.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,7.0,9.0,9.0,7.0,7.0,9.0,8.0,11.0,8.0,10.0,8.0,10.0,6.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,10.0,8.0,8.0,10.0,12.0,9.0,9.0,8.0,12.0,9.0
>ENST00000467693.1,10.0,12.0,10.0,10.0,9.0,0.0,13.0,10.0,10.0,10.0,16.0,10.0,10.0,9.0,12.0,10.0,9.0,8.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,7.0,9.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,11.0,12.0,9.0,10.0,12.0
>ENST00000528891.1,9.0,9.0,9.0,9.0,10.0,13.0,0.0,11.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,10.0,9.0,9.0,11.0,10.0,10.0,8.0,6.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,12.0,13.0,10.0,9.0,9.0
>ENST00000547505.2,11.0,10.0,9.0,11.0,10.0,10.0,11.0,0.0,11.0,9.0,9.0,10.0,9.0,10.0,12.0,11.0,10.0,8.0,11.0,9.0,10.0,11.0,10.0,12.0,10.0,6.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,13.0,9.0,12.0,9.0,11.0,11.0,10.0,10.0,11.0
>ENST00000358001.4,9.0,22.0,9.0,9.0,10.0,10.0,10.0,11.0,0.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,7.0,7.0,9.0,11.0,10.0,12.0,11.0,12.0,9.0,9.0,8.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,10.0
>ENST00000406535.1,10.0,13.0,8.0,9.0,9.0,10.0,11.0,9.0,9.0,0.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,7.0,8.0,10.0,10.0,7.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,11.0,8.0,11.0,10.0,10.0,10.0,11.0
>ENST00000434745.2,12.0,12.0,10.0,11.0,9.0,16.0,9.0,9.0,10.0,9.0,0.0,12.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,13.0,9.0,12.0,10.0,9.0,9.0,9.0,9.0,10.0,13.0,10.0,12.0,11.0,9.0,13.0,13.0,11.0,10.0,10.0,12.0,12.0,12.0,11.0,9.0
>ENST00000455245.1,11.0,9.0,8.0,12.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,0.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,11.0
>ENST00000418544.1,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0,7.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,7.0,8.0,14.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0
>ENST00000449233.1,9.0,9.0,8.0,7.0,7.0,9.0,10.0,10.0,8.0,12.0,9.0,9.0,7.0,0.0,8.0,9.0,11.0,10.0,8.0,7.0,11.0,9.0,10.0,9.0,9.0,6.0,6.0,11.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,11.0,9.0,9.0,9.0,9.0
>ENST00000457791.2,8.0,10.0,9.0,9.0,9.0,12.0,9.0,12.0,10.0,9.0,10.0,10.0,9.0,8.0,0.0,9.0,8.0,10.0,7.0,11.0,8.0,8.0,9.0,8.0,9.0,5.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,9.0,11.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,11.0,8.0
>ENST00000551907.1,9.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,0.0,9.0,7.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,5.0,8.0,13.0,11.0,10.0,10.0,9.0,10.0,8.0,11.0,10.0,7.0,11.0,8.0,9.0,10.0,8.0,10.0,9.0
>ENST00000613964.2,9.0,9.0,7.0,8.0,7.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,8.0,9.0,0.0,7.0,8.0,9.0,9.0,10.0,9.0,8.0,7.0,6.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,8.0,9.0,8.0
>ENST00000442774.1,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,7.0,7.0,0.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,5.0,9.0,7.0,8.0,11.0,10.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,7.0,6.0,8.0,7.0
>ENST00000433300.1,10.0,8.0,8.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,11.0,8.0,8.0,7.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,10.0,8.0,8.0,6.0,7.0,9.0,10.0,8.0,10.0,11.0,8.0,8.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,7.0,10.0,9.0
>ENST00000423458.1,9.0,11.0,10.0,8.0,8.0,11.0,9.0,9.0,10.0,8.0,11.0,9.0,10.0,7.0,11.0,9.0,9.0,8.0,8.0,0.0,10.0,9.0,12.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,13.0,8.0,9.0,8.0
>ENST00000449535.2,12.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,13.0,10.0,9.0,11.0,8.0,9.0,9.0,7.0,9.0,10.0,0.0,9.0,11.0,9.0,8.0,9.0,8.0,12.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,9.0,11.0,10.0,11.0,61.0,10.0,8.0,12.0,9.0
>ENST00000445848.2,10.0,10.0,9.0,8.0,8.0,10.0,11.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,11.0,10.0,8.0,9.0,9.0,9.0,0.0,9.0,8.0,9.0,6.0,9.0,8.0,9.0,10.0,12.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,11.0
>ENST00000493219.2,11.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,12.0,11.0,9.0,0.0,9.0,13.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,12.0,9.0,11.0,9.0,11.0,9.0
>ENST00000449374.1,10.0,10.0,11.0,9.0,8.0,11.0,10.0,12.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,0.0,13.0,6.0,6.0,9.0,8.0,7.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,7.0,11.0,9.0,8.0,11.0,8.0
>ENST00000464297.1,11.0,9.0,8.0,11.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,9.0,13.0,13.0,0.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,13.0,7.0,8.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0
>ENST00000518246.1,10.0,7.0,5.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,9.0,7.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,9.0,6.0,9.0,6.0,6.0,0.0,7.0,6.0,7.0,8.0,5.0,5.0,8.0,6.0,7.0,10.0,6.0,8.0,6.0,7.0,7.0,6.0,7.0,5.0
>ENST00000421119.1,8.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,6.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,11.0,6.0,8.0,7.0,0.0,9.0,9.0,7.0,7.0,9.0,7.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0
>ENST00000451185.1,10.0,9.0,8.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,9.0,9.0,14.0,11.0,9.0,13.0,8.0,7.0,9.0,9.0,12.0,8.0,9.0,9.0,9.0,6.0,9.0,0.0,222.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0
>ENST00000496394.1,10.0,9.0,8.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,9.0,11.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,7.0,9.0,222.0,0.0,8.0,9.0,9.0,8.0,9.0,13.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0
>ENST00000619841.1,9.0,11.0,8.0,10.0,9.0,11.0,8.0,10.0,10.0,7.0,13.0,9.0,8.0,8.0,7.0,10.0,8.0,11.0,8.0,8.0,8.0,10.0,10.0,7.0,9.0,8.0,7.0,9.0,8.0,0.0,9.0,9.0,10.0,8.0,9.0,8.0,7.0,8.0,11.0,9.0,9.0,8.0,10.0,8.0
>ENST00000615488.1,10.0,8.0,10.0,10.0,7.0,10.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,9.0,12.0,10.0,8.0,9.0,5.0,7.0,8.0,9.0,9.0,0.0,8.0,11.0,10.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,7.0,9.0,8.0
>ENST00000613259.1,9.0,10.0,9.0,9.0,8.0,10.0,11.0,9.0,11.0,9.0,12.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,5.0,9.0,9.0,9.0,9.0,8.0,0.0,7.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0
