,>ENST00000443077.1,>ENST00000366455.3,>ENST00000440679.1,>ENST00000565703.1,>ENST00000518519.1,>ENST00000458209.1,>ENST00000449666.2,>ENST00000497612.3,>ENST00000414617.1,>ENST00000376856.2,>ENST00000565489.1,>ENST00000502715.1,>ENST00000430717.1,>ENST00000621154.1,>ENST00000420453.1,>ENST00000446233.1,>ENST00000554443.1,>ENST00000413293.1,>ENST00000419532.1,>ENST00000605245.1,>ENST00000434624.1,>ENST00000604744.1,>ENST00000435883.1,>ENST00000424919.1,>ENST00000414540.1,>ENST00000447046.1,>ENST00000394808.2,>ENST00000403835.2,>ENST00000514075.2,>ENST00000414298.1,>ENST00000586090.1,>ENST00000417973.1,>ENST00000510572.1,>ENST00000450122.2,>ENST00000395679.3,>ENST00000509173.1
>ENST00000443077.1,0.0,10.0,9.0,9.0,8.0,10.0,10.0,11.0,9.0,7.0,8.0,8.0,14.0,9.0,9.0,9.0,10.0,12.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,12.0,9.0,10.0
>ENST00000366455.3,10.0,0.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,12.0,9.0,10.0,12.0,11.0,9.0,10.0,11.0,9.0,13.0,9.0,10.0,11.0,12.0,10.0,10.0,10.0,9.0,9.0
>ENST00000440679.1,9.0,9.0,0.0,11.0,8.0,11.0,9.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,11.0,10.0,11.0,10.0,11.0,9.0,10.0,8.0,10.0,11.0,12.0,10.0,9.0,11.0,12.0,11.0,10.0,10.0,9.0
>ENST00000565703.1,9.0,9.0,11.0,0.0,8.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,8.0,10.0,11.0,13.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0
>ENST00000518519.1,8.0,11.0,8.0,8.0,0.0,11.0,7.0,8.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,11.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0
>ENST00000458209.1,10.0,11.0,11.0,11.0,11.0,0.0,10.0,10.0,13.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,12.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0
>ENST00000449666.2,10.0,9.0,9.0,11.0,7.0,10.0,0.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,12.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,12.0,9.0,8.0,10.0,11.0,8.0,8.0
>ENST00000497612.3,11.0,10.0,11.0,9.0,8.0,10.0,11.0,0.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,8.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,10.0,11.0,9.0,11.0,8.0,10.0,10.0,9.0,9.0,10.0,11.0,8.0
>ENST00000414617.1,9.0,10.0,8.0,9.0,9.0,13.0,10.0,9.0,0.0,8.0,10.0,9.0,9.0,12.0,10.0,11.0,8.0,10.0,9.0,10.0,11.0,11.0,11.0,9.0,8.0,8.0,11.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0
>ENST00000376856.2,7.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,0.0,9.0,11.0,11.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,12.0,8.0,8.0,12.0,12.0,10.0,10.0,9.0,9.0
>ENST00000565489.1,8.0,10.0,10.0,9.0,7.0,9.0,9.0,10.0,10.0,9.0,0.0,9.0,11.0,10.0,10.0,10.0,8.0,11.0,8.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0
>ENST00000502715.1,8.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,0.0,9.0,11.0,9.0,10.0,8.0,10.0,8.0,8.0,10.0,11.0,10.0,8.0,9.0,8.0,12.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,8.0,8.0
>ENST00000430717.1,14.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,0.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,14.0,11.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,13.0,10.0,11.0,9.0,10.0
>ENST00000621154.1,9.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,12.0,8.0,10.0,11.0,10.0,0.0,9.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,11.0,12.0,10.0,11.0,10.0,9.0,11.0,10.0,11.0,9.0,11.0,11.0,11.0
>ENST00000420453.1,9.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,0.0,10.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,13.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0
>ENST00000446233.1,9.0,11.0,10.0,9.0,9.0,10.0,12.0,12.0,11.0,9.0,10.0,10.0,11.0,11.0,10.0,0.0,9.0,10.0,10.0,9.0,11.0,11.0,12.0,10.0,10.0,9.0,11.0,11.0,9.0,12.0,11.0,10.0,9.0,11.0,9.0,9.0
>ENST00000554443.1,10.0,9.0,8.0,12.0,7.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,0.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,10.0,8.0,10.0,9.0,8.0,7.0,10.0,9.0,7.0,9.0,8.0,7.0
