,>ENST00000554098.2,>ENST00000429302.1,>ENST00000605397.1,>ENST00000492051.1,>ENST00000474540.1,>ENST00000465542.2,>ENST00000420617.1,>ENST00000404620.2,>ENST00000331267.5,>ENST00000623000.1,>ENST00000400056.3,>ENST00000437934.1,>ENST00000417517.1,>ENST00000612354.1,>ENST00000530377.1,ENSG00000251919.1,>ENST00000488662.1,>ENST00000442180.1,>ENST00000457251.1,>ENST00000512851.5,>ENST00000454835.1,>ENST00000538909.1,>ENST00000596009.1,>ENST00000394628.2,>ENST00000427496.1,>ENST00000417868.1,>ENST00000401925.1,ENSG00000276936.1,>ENST00000523155.1,>ENST00000587322.1,>ENST00000486999.1,>ENST00000614301.1,>ENST00000503355.1,ENSG00000252420.1,>ENST00000580697.1,>ENST00000425840.3,>ENST00000506347.2,>ENST00000477363.1,>ENST00000551090.1,>ENST00000507437.1,>ENST00000457751.1,>ENST00000435925.2,>ENST00000415709.5,>ENST00000512162.1,>ENST00000402519.1,>ENST00000520445.1,ENSG00000239577.3,>ENST00000435914.1,>ENST00000452704.1,>ENST00000565265.1,>ENST00000447646.1,>ENST00000426660.1,>ENST00000490962.1,ENSG00000143545.8,>ENST00000403651.2,>ENST00000619332.1,>ENST00000426746.1,>ENST00000427242.1,>ENST00000258589.8
>ENST00000554098.2,0.0,11.0,11.0,7.0,10.0,8.0,10.0,10.0,9.0,7.0,9.0,10.0,10.0,8.0,8.0,7.0,9.0,10.0,11.0,10.0,11.0,9.0,12.0,11.0,10.0,10.0,7.0,7.0,11.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,8.0,11.0,10.0,9.0,8.0,10.0,12.0,7.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0
>ENST00000429302.1,11.0,0.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,12.0,7.0,9.0,7.0,10.0,8.0,10.0,10.0,9.0,9.0,11.0,11.0,9.0,13.0,9.0,7.0,9.0,7.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,11.0,11.0,9.0,9.0,10.0,7.0,9.0,11.0,9.0,11.0,10.0,8.0,10.0,10.0,12.0,11.0,11.0,9.0,11.0,9.0
>ENST00000605397.1,11.0,9.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,9.0,7.0,9.0,11.0,10.0,10.0,8.0,8.0,11.0,12.0,11.0,10.0,10.0,7.0,8.0,7.0,9.0,8.0,11.0,8.0,11.0,15.0,9.0,9.0,12.0,12.0,9.0,11.0,9.0,13.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,13.0,9.0,12.0,10.0,10.0,13.0,12.0,10.0
>ENST00000492051.1,7.0,8.0,9.0,0.0,8.0,9.0,8.0,8.0,11.0,10.0,10.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0,10.0,9.0,8.0,9.0,11.0,10.0,8.0,10.0,7.0,7.0,8.0,7.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0
>ENST00000474540.1,10.0,9.0,9.0,8.0,0.0,9.0,10.0,9.0,9.0,8.0,12.0,9.0,13.0,8.0,9.0,5.0,9.0,7.0,14.0,11.0,8.0,8.0,11.0,10.0,11.0,8.0,11.0,7.0,9.0,7.0,8.0,7.0,7.0,6.0,11.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0,12.0,9.0,9.0,8.0,14.0,11.0
>ENST00000465542.2,8.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,7.0,11.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,10.0,9.0,11.0,8.0,11.0,10.0,8.0,10.0,8.0,7.0,8.0,6.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,7.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,10.0
>ENST00000420617.1,10.0,9.0,10.0,8.0,10.0,9.0,0.0,9.0,9.0,9.0,12.0,8.0,10.0,8.0,8.0,7.0,11.0,9.0,10.0,9.0,9.0,10.0,13.0,13.0,10.0,10.0,8.0,7.0,8.0,7.0,8.0,11.0,9.0,9.0,10.0,8.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,12.0,8.0,9.0,13.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0
>ENST00000404620.2,10.0,8.0,9.0,8.0,9.0,9.0,9.0,0.0,9.0,10.0,11.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,10.0,8.0,12.0,8.0,7.0,13.0,7.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0,8.0,8.0,10.0
>ENST00000331267.5,9.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,0.0,8.0,11.0,8.0,12.0,8.0,9.0,6.0,9.0,12.0,9.0,9.0,10.0,9.0,14.0,10.0,8.0,12.0,7.0,6.0,8.0,7.0,10.0,8.0,9.0,7.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,8.0,9.0
>ENST00000623000.1,7.0,9.0,10.0,10.0,8.0,7.0,9.0,10.0,8.0,0.0,9.0,9.0,9.0,7.0,7.0,6.0,9.0,7.0,10.0,10.0,7.0,8.0,87.0,9.0,7.0,9.0,9.0,7.0,8.0,6.0,9.0,7.0,8.0,6.0,9.0,8.0,7.0,7.0,8.0,11.0,8.0,9.0,9.0,8.0,7.0,7.0,9.0,9.0,7.0,8.0,10.0,10.0,8.0,100.0,7.0,11.0,7.0,8.0,9.0
