,>ENST00000453115.1,>ENST00000605540.1,>ENST00000556055.1,>ENST00000422830.1,>ENST00000519172.2,>ENST00000492832.2,>ENST00000431186.2,ENSG00000206073.10,>ENST00000525465.1,>ENST00000509421.1,>ENST00000518383.1,>ENST00000434246.1,>ENST00000498395.1,>ENST00000589464.1,>ENST00000604447.1,ENSG00000207871.2,ENSG00000222692.1,ENSG00000212479.2,ENSG00000221457.2,>ENST00000528576.1,>ENST00000435535.1,>ENST00000355745.3,>ENST00000567026.1,>ENST00000603124.1,>ENST00000453110.1,>ENST00000412744.1,>ENST00000493920.1,ENSG00000238797.1
>ENST00000453115.1,0.0,9.0,7.0,8.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,7.0
>ENST00000605540.1,9.0,0.0,8.0,8.0,8.0,9.0,7.0,10.0,9.0,11.0,8.0,7.0,10.0,7.0,10.0,7.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,7.0,10.0,8.0,8.0,6.0
>ENST00000556055.1,7.0,8.0,0.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,7.0,7.0,13.0,7.0,9.0,8.0,8.0,11.0,8.0,10.0,9.0,7.0,11.0,9.0,10.0,8.0
>ENST00000422830.1,8.0,8.0,10.0,0.0,9.0,10.0,11.0,13.0,11.0,11.0,11.0,9.0,11.0,9.0,13.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,8.0
>ENST00000519172.2,11.0,8.0,9.0,9.0,0.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,8.0,6.0,12.0,7.0,6.0,8.0,5.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,8.0,7.0
>ENST00000492832.2,11.0,9.0,9.0,10.0,9.0,0.0,8.0,13.0,11.0,12.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,10.0,10.0,11.0,10.0,7.0,10.0,9.0,9.0,8.0
>ENST00000431186.2,9.0,7.0,9.0,11.0,10.0,8.0,0.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,7.0,8.0,9.0,7.0,9.0,8.0,11.0,8.0,9.0,11.0,8.0,9.0,9.0
ENSG00000206073.10,11.0,10.0,10.0,13.0,11.0,13.0,11.0,0.0,12.0,14.0,11.0,12.0,12.0,9.0,11.0,10.0,10.0,10.0,8.0,11.0,11.0,13.0,12.0,9.0,12.0,11.0,11.0,10.0
>ENST00000525465.1,12.0,9.0,8.0,11.0,9.0,11.0,9.0,12.0,0.0,10.0,9.0,9.0,8.0,7.0,9.0,6.0,8.0,8.0,9.0,9.0,11.0,10.0,11.0,8.0,11.0,11.0,11.0,8.0
>ENST00000509421.1,10.0,11.0,8.0,11.0,10.0,12.0,10.0,14.0,10.0,0.0,9.0,9.0,9.0,7.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,9.0,8.0
>ENST00000518383.1,12.0,8.0,9.0,11.0,11.0,9.0,9.0,11.0,9.0,9.0,0.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,7.0,8.0,9.0,8.0,10.0,7.0,10.0,9.0,9.0,8.0
>ENST00000434246.1,8.0,7.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0,0.0,8.0,7.0,9.0,7.0,7.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,11.0,7.0,8.0,7.0
>ENST00000498395.1,9.0,10.0,7.0,11.0,8.0,9.0,10.0,12.0,8.0,9.0,9.0,8.0,0.0,7.0,8.0,8.0,7.0,8.0,7.0,11.0,9.0,8.0,10.0,6.0,8.0,8.0,8.0,9.0
>ENST00000589464.1,8.0,7.0,7.0,9.0,6.0,10.0,8.0,9.0,7.0,7.0,8.0,7.0,7.0,0.0,7.0,7.0,8.0,7.0,6.0,8.0,9.0,7.0,8.0,7.0,9.0,7.0,7.0,6.0
>ENST00000604447.1,8.0,10.0,13.0,13.0,12.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,7.0,0.0,7.0,8.0,8.0,6.0,9.0,9.0,10.0,8.0,7.0,10.0,11.0,8.0,9.0
ENSG00000207871.2,7.0,7.0,7.0,8.0,7.0,8.0,7.0,10.0,6.0,8.0,7.0,7.0,8.0,7.0,7.0,0.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,8.0,9.0,6.0
ENSG00000222692.1,7.0,8.0,9.0,8.0,6.0,8.0,8.0,10.0,8.0,10.0,8.0,7.0,7.0,8.0,8.0,7.0,0.0,9.0,26.0,7.0,8.0,8.0,8.0,6.0,7.0,7.0,10.0,5.0
ENSG00000212479.2,7.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,7.0,8.0,6.0,9.0,0.0,7.0,7.0,7.0,11.0,9.0,6.0,9.0,7.0,11.0,8.0
ENSG00000221457.2,7.0,7.0,8.0,8.0,5.0,8.0,7.0,8.0,9.0,10.0,7.0,7.0,7.0,6.0,6.0,7.0,26.0,7.0,0.0,9.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,6.0
>ENST00000528576.1,10.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,8.0,9.0,11.0,8.0,9.0,8.0,7.0,7.0,9.0,0.0,11.0,8.0,8.0,7.0,9.0,8.0,9.0,7.0
>ENST00000435535.1,10.0,10.0,8.0,9.0,8.0,10.0,8.0,11.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,7.0,8.0,11.0,0.0,9.0,9.0,7.0,10.0,10.0,9.0,7.0
>ENST00000355745.3,9.0,9.0,10.0,9.0,10.0,11.0,11.0,13.0,10.0,12.0,8.0,8.0,8.0,7.0,10.0,7.0,8.0,11.0,8.0,8.0,9.0,0.0,8.0,7.0,13.0,9.0,11.0,8.0
>ENST00000567026.1,8.0,8.0,9.0,11.0,8.0,10.0,8.0,12.0,11.0,10.0,10.0,8.0,10.0,8.0,8.0,7.0,8.0,9.0,7.0,8.0,9.0,8.0,0.0,8.0,9.0,8.0,9.0,7.0
>ENST00000603124.1,8.0,7.0,7.0,10.0,8.0,7.0,9.0,9.0,8.0,10.0,7.0,9.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,0.0,9.0,8.0,9.0,6.0
>ENST00000453110.1,10.0,10.0,11.0,11.0,10.0,10.0,11.0,12.0,11.0,12.0,10.0,11.0,8.0,9.0,10.0,7.0,7.0,9.0,7.0,9.0,10.0,13.0,9.0,9.0,0.0,9.0,12.0,7.0
>ENST00000412744.1,9.0,8.0,9.0,10.0,9.0,9.0,8.0,11.0,11.0,10.0,9.0,7.0,8.0,7.0,11.0,8.0,7.0,7.0,8.0,8.0,10.0,9.0,8.0,8.0,9.0,0.0,8.0,8.0
>ENST00000493920.1,9.0,8.0,10.0,9.0,8.0,9.0,9.0,11.0,11.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,10.0,11.0,7.0,9.0,9.0,11.0,9.0,9.0,12.0,8.0,0.0,7.0
ENSG00000238797.1,7.0,6.0,8.0,8.0,7.0,8.0,9.0,10.0,8.0,8.0,8.0,7.0,9.0,6.0,9.0,6.0,5.0,8.0,6.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,7.0,0.0
