,>ENST00000414760.2,>ENST00000633205.1,>ENST00000529260.1,ENSG00000211815.3,>ENST00000448562.1,>ENST00000633875.2,>ENST00000392417.2,>ENST00000554701.2,>ENST00000435632.1,>ENST00000529514.1,>ENST00000432119.1,>ENST00000339545.4,>ENST00000513513.1,>ENST00000585753.1,ENSG00000130222.10,>ENST00000471411.1,>ENST00000456046.1,>ENST00000453669.1,>ENST00000610944.1,>ENST00000442736.2,>ENST00000431058.1,>ENST00000599950.1,>ENST00000517460.1,>ENST00000411807.1,>ENST00000404962.1,>ENST00000567149.1,>ENST00000454121.1,>ENST00000416730.2,>ENST00000604390.1,>ENST00000510511.2,>ENST00000420950.1,>ENST00000571422.1,>ENST00000489409.1,>ENST00000424978.2,>ENST00000443639.2,>ENST00000623907.1,>ENST00000395058.3,>ENST00000578471.2,>ENST00000562640.1,>ENST00000511433.1,>ENST00000521201.1,>ENST00000428370.1,>ENST00000608157.1,>ENST00000436203.1,>ENST00000567054.1,>ENST00000405676.2,>ENST00000431570.1,>ENST00000526526.1,>ENST00000436819.1,>ENST00000424739.1,>ENST00000378256.3,>ENST00000450587.1,>ENST00000517657.1,>ENST00000557032.1,>ENST00000439282.1
>ENST00000414760.2,0.0,7.0,11.0,8.0,8.0,9.0,9.0,10.0,10.0,7.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,9.0,8.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0
>ENST00000633205.1,7.0,0.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,7.0,8.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,7.0,11.0,9.0,10.0,8.0,8.0,7.0,10.0,7.0,11.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,9.0
>ENST00000529260.1,11.0,9.0,0.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,12.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,9.0,7.0,13.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,12.0,8.0,10.0,12.0,10.0,8.0,10.0,8.0,8.0,8.0,9.0,11.0,10.0,8.0,7.0,9.0,8.0,11.0,9.0,8.0
ENSG00000211815.3,8.0,8.0,9.0,0.0,11.0,8.0,10.0,10.0,12.0,9.0,10.0,9.0,13.0,9.0,9.0,10.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,12.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0
>ENST00000448562.1,8.0,9.0,9.0,11.0,0.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,11.0,7.0,10.0,7.0,8.0,7.0,10.0,12.0,9.0,7.0,9.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0
>ENST00000633875.2,9.0,9.0,10.0,8.0,8.0,0.0,9.0,12.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,12.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0
>ENST00000392417.2,9.0,8.0,9.0,10.0,9.0,9.0,0.0,9.0,11.0,8.0,8.0,8.0,9.0,11.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0,11.0,12.0,7.0,10.0,8.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0
>ENST00000554701.2,10.0,9.0,9.0,10.0,10.0,12.0,9.0,0.0,11.0,11.0,9.0,7.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,12.0,8.0,10.0,8.0,11.0,8.0,10.0,10.0,10.0,13.0,10.0,10.0,9.0,8.0,10.0,11.0,11.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,8.0,8.0
>ENST00000435632.1,10.0,9.0,10.0,12.0,9.0,9.0,11.0,11.0,0.0,9.0,13.0,8.0,10.0,9.0,9.0,9.0,14.0,9.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,10.0,8.0,11.0,10.0,13.0,11.0,9.0,11.0,9.0,11.0
>ENST00000529514.1,7.0,9.0,8.0,9.0,9.0,8.0,8.0,11.0,9.0,0.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,7.0,10.0,7.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,10.0
>ENST00000432119.1,9.0,9.0,12.0,10.0,8.0,8.0,8.0,9.0,13.0,10.0,0.0,8.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,8.0,10.0,9.0,11.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,11.0,9.0,8.0,11.0,8.0,11.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0
>ENST00000339545.4,8.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0,8.0,7.0,8.0,9.0,11.0,7.0,9.0,9.0,8.0,12.0,9.0,7.0,11.0,7.0,8.0,9.0,7.0,8.0,7.0,11.0
>ENST00000513513.1,9.0,9.0,9.0,13.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,0.0,10.0,10.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,13.0,9.0,10.0,8.0,9.0,9.0,11.0,13.0,10.0,10.0,9.0,9.0,11.0,13.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0,10.0,9.0,11.0,10.0,11.0,8.0,9.0
>ENST00000585753.1,9.0,8.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,8.0,8.0,8.0,10.0,0.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,7.0,10.0,11.0,9.0,231.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,12.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0
ENSG00000130222.10,10.0,9.0,8.0,9.0,8.0,8.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,0.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,12.0,10.0,9.0,7.0,10.0,9.0,10.0,11.0,12.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,9.0,10.0,12.0,11.0,12.0,9.0,8.0,9.0
>ENST00000471411.1,11.0,9.0,9.0,10.0,7.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,8.0,0.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,11.0,8.0,10.0,9.0,11.0,9.0,8.0,10.0,11.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,11.0,7.0,10.0,9.0,10.0,9.0,11.0,11.0,7.0,9.0
>ENST00000456046.1,10.0,9.0,9.0,8.0,11.0,8.0,8.0,10.0,14.0,11.0,8.0,8.0,11.0,9.0,10.0,8.0,0.0,12.0,8.0,8.0,12.0,9.0,8.0,11.0,9.0,8.0,8.0,11.0,7.0,8.0,9.0,13.0,11.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,8.0,11.0,8.0,10.0,10.0,12.0,11.0,11.0,9.0,10.0,12.0,10.0,10.0,9.0,8.0
