,>ENST00000433661.1,>ENST00000581948.1,>ENST00000405526.1,>ENST00000427253.1,>ENST00000429424.1,>ENST00000544753.2,>ENST00000507880.1,>ENST00000576526.1,>ENST00000418396.1,>ENST00000519677.1,ENSG00000199773.1,>ENST00000509033.1,ENSG00000168454.11,>ENST00000513621.1,ENSG00000105550.8,>ENST00000616397.1,>ENST00000423021.2,ENSG00000212935.1,>ENST00000605657.1,>ENST00000441056.1,>ENST00000603349.1,>ENST00000508093.5,>ENST00000446387.1,>ENST00000489624.2,>ENST00000600287.1,>ENST00000457540.1,>ENST00000622820.1,>ENST00000470389.1,>ENST00000605759.1,>ENST00000430062.1,>ENST00000511164.1,ENSG00000280911.1,>ENST00000603857.1,>ENST00000509304.2,>ENST00000399472.2,>ENST00000432585.1,>ENST00000429083.1,>ENST00000586408.1,>ENST00000535801.1
>ENST00000433661.1,0.0,9.0,9.0,10.0,8.0,11.0,11.0,7.0,10.0,10.0,7.0,8.0,16.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0
>ENST00000581948.1,9.0,0.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,7.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,12.0,10.0,10.0,11.0,8.0,8.0,11.0,9.0,10.0,12.0,10.0,10.0,11.0,8.0,9.0,11.0,9.0,11.0,9.0,9.0,11.0
>ENST00000405526.1,9.0,11.0,0.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,11.0,10.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,11.0,10.0,11.0,11.0,8.0,8.0,8.0,10.0,12.0,9.0,11.0,10.0,11.0,12.0
>ENST00000427253.1,10.0,9.0,8.0,0.0,7.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,10.0,8.0,11.0,14.0,10.0,8.0,8.0,9.0,10.0,9.0,7.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,11.0,8.0,11.0,10.0,9.0,9.0,9.0,8.0
>ENST00000429424.1,8.0,9.0,8.0,7.0,0.0,10.0,10.0,7.0,9.0,9.0,8.0,9.0,12.0,8.0,9.0,9.0,10.0,13.0,9.0,9.0,8.0,10.0,6.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,10.0,9.0,9.0,8.0,8.0,9.0
>ENST00000544753.2,11.0,9.0,10.0,8.0,10.0,0.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,10.0,11.0,10.0,9.0,9.0,9.0,12.0,10.0,11.0,9.0,12.0,9.0
>ENST00000507880.1,11.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,12.0,11.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0
>ENST00000576526.1,7.0,9.0,10.0,8.0,7.0,9.0,9.0,0.0,9.0,8.0,8.0,8.0,11.0,8.0,12.0,9.0,9.0,10.0,9.0,10.0,7.0,9.0,7.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,11.0,8.0,9.0,9.0,8.0
>ENST00000418396.1,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,0.0,10.0,10.0,9.0,11.0,9.0,12.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0
>ENST00000519677.1,10.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,0.0,8.0,8.0,11.0,9.0,12.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,12.0,9.0,10.0,10.0,11.0,10.0,10.0,12.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0
