,>ENST00000405398.1,>ENST00000425713.1,>ENST00000576277.1,>ENST00000603019.1,>ENST00000436830.1,ENSG00000272015.1,>ENST00000611807.1,>ENST00000589072.1,>ENST00000411748.1,>ENST00000530227.1,>ENST00000429528.1,>ENST00000415351.1,>ENST00000463134.1,>ENST00000604840.1,>ENST00000593183.2,>ENST00000369171.3,>ENST00000604902.1,>ENST00000400940.3,>ENST00000445359.1,>ENST00000588562.1,>ENST00000590010.1,>ENST00000622692.1,>ENST00000595919.1
>ENST00000405398.1,0.0,9.0,10.0,8.0,12.0,7.0,11.0,7.0,7.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0
>ENST00000425713.1,9.0,0.0,10.0,8.0,11.0,8.0,10.0,6.0,9.0,9.0,10.0,12.0,11.0,9.0,10.0,12.0,10.0,9.0,11.0,9.0,11.0,11.0,8.0
>ENST00000576277.1,10.0,10.0,0.0,8.0,8.0,6.0,9.0,7.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0
>ENST00000603019.1,8.0,8.0,8.0,0.0,8.0,8.0,9.0,7.0,7.0,9.0,8.0,9.0,7.0,7.0,10.0,9.0,8.0,7.0,12.0,11.0,8.0,10.0,9.0
>ENST00000436830.1,12.0,11.0,8.0,8.0,0.0,7.0,10.0,7.0,6.0,9.0,11.0,9.0,9.0,10.0,9.0,12.0,13.0,10.0,9.0,10.0,8.0,9.0,7.0
ENSG00000272015.1,7.0,8.0,6.0,8.0,7.0,0.0,8.0,7.0,5.0,8.0,9.0,8.0,7.0,8.0,6.0,7.0,8.0,9.0,8.0,6.0,7.0,9.0,7.0
>ENST00000611807.1,11.0,10.0,9.0,9.0,10.0,8.0,0.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0
>ENST00000589072.1,7.0,6.0,7.0,7.0,7.0,7.0,9.0,0.0,6.0,10.0,6.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,9.0,7.0,10.0,8.0,6.0
>ENST00000411748.1,7.0,9.0,9.0,7.0,6.0,5.0,7.0,6.0,0.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0
>ENST00000530227.1,10.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,8.0,0.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0
>ENST00000429528.1,10.0,10.0,9.0,8.0,11.0,9.0,9.0,6.0,10.0,11.0,0.0,11.0,11.0,10.0,8.0,10.0,9.0,11.0,10.0,8.0,10.0,9.0,8.0
>ENST00000415351.1,9.0,12.0,10.0,9.0,9.0,8.0,11.0,7.0,8.0,9.0,11.0,0.0,9.0,14.0,9.0,11.0,11.0,10.0,12.0,9.0,10.0,10.0,9.0
>ENST00000463134.1,9.0,11.0,9.0,7.0,9.0,7.0,11.0,7.0,8.0,9.0,11.0,9.0,0.0,11.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,8.0
>ENST00000604840.1,9.0,9.0,8.0,7.0,10.0,8.0,9.0,8.0,8.0,9.0,10.0,14.0,11.0,0.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0
>ENST00000593183.2,10.0,10.0,9.0,10.0,9.0,6.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,0.0,10.0,8.0,8.0,10.0,8.0,11.0,11.0,8.0
>ENST00000369171.3,10.0,12.0,9.0,9.0,12.0,7.0,10.0,7.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,0.0,9.0,10.0,9.0,10.0,10.0,11.0,8.0
>ENST00000604902.1,10.0,10.0,8.0,8.0,13.0,8.0,10.0,8.0,9.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,0.0,8.0,10.0,8.0,8.0,10.0,7.0
>ENST00000400940.3,9.0,9.0,7.0,7.0,10.0,9.0,9.0,7.0,8.0,10.0,11.0,10.0,11.0,10.0,8.0,10.0,8.0,0.0,11.0,9.0,9.0,10.0,9.0
>ENST00000445359.1,10.0,11.0,9.0,12.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,10.0,11.0,0.0,11.0,9.0,9.0,11.0
>ENST00000588562.1,8.0,9.0,9.0,11.0,10.0,6.0,10.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,11.0,0.0,10.0,9.0,10.0
>ENST00000590010.1,10.0,11.0,9.0,8.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,10.0,0.0,11.0,10.0
>ENST00000622692.1,9.0,11.0,8.0,10.0,9.0,9.0,10.0,8.0,7.0,11.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,11.0,0.0,11.0
>ENST00000595919.1,8.0,8.0,8.0,9.0,7.0,7.0,9.0,6.0,7.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,11.0,10.0,10.0,11.0,0.0
