,ENSG00000202205.1,>ENST00000436136.1,>ENST00000432771.2,>ENST00000556425.2,>ENST00000598702.1,>ENST00000478778.1,>ENST00000450009.1,>ENST00000433469.1,>ENST00000611682.1,>ENST00000415794.1,>ENST00000503331.1,>ENST00000549046.1,>ENST00000560646.2,ENSG00000013392.7,>ENST00000579042.2,>ENST00000418873.3,>ENST00000432580.1,>ENST00000402702.2,>ENST00000509595.2
ENSG00000202205.1,0.0,7.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,11.0,6.0,8.0,9.0,5.0,8.0,8.0,7.0,9.0
>ENST00000436136.1,7.0,0.0,8.0,13.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,7.0,10.0,13.0,10.0,9.0,10.0,9.0,10.0
>ENST00000432771.2,7.0,8.0,0.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,9.0,7.0,10.0,10.0,7.0,9.0,10.0,10.0,8.0
>ENST00000556425.2,9.0,13.0,10.0,0.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,11.0,9.0,11.0,9.0,12.0,11.0
>ENST00000598702.1,8.0,10.0,11.0,10.0,0.0,8.0,8.0,14.0,9.0,11.0,11.0,7.0,11.0,10.0,7.0,9.0,8.0,10.0,8.0
>ENST00000478778.1,8.0,10.0,10.0,9.0,8.0,0.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0
>ENST00000450009.1,7.0,11.0,8.0,9.0,8.0,9.0,0.0,8.0,11.0,11.0,9.0,8.0,11.0,10.0,7.0,7.0,9.0,11.0,8.0
>ENST00000433469.1,8.0,11.0,9.0,10.0,14.0,9.0,8.0,0.0,11.0,11.0,12.0,8.0,11.0,12.0,8.0,9.0,9.0,9.0,9.0
>ENST00000611682.1,8.0,10.0,10.0,9.0,9.0,10.0,11.0,11.0,0.0,11.0,11.0,8.0,11.0,13.0,8.0,8.0,9.0,10.0,10.0
>ENST00000415794.1,9.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,0.0,12.0,9.0,10.0,12.0,10.0,9.0,13.0,10.0,9.0
>ENST00000503331.1,11.0,10.0,9.0,9.0,11.0,10.0,9.0,12.0,11.0,12.0,0.0,8.0,11.0,12.0,8.0,10.0,10.0,11.0,8.0
>ENST00000549046.1,6.0,7.0,7.0,10.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,0.0,10.0,11.0,7.0,9.0,9.0,10.0,8.0
>ENST00000560646.2,8.0,10.0,10.0,12.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,0.0,14.0,16.0,9.0,11.0,9.0,12.0
ENSG00000013392.7,9.0,13.0,10.0,11.0,10.0,10.0,10.0,12.0,13.0,12.0,12.0,11.0,14.0,0.0,37.0,12.0,13.0,11.0,11.0
>ENST00000579042.2,5.0,10.0,7.0,9.0,7.0,9.0,7.0,8.0,8.0,10.0,8.0,7.0,16.0,37.0,0.0,7.0,9.0,7.0,8.0
>ENST00000418873.3,8.0,9.0,9.0,11.0,9.0,8.0,7.0,9.0,8.0,9.0,10.0,9.0,9.0,12.0,7.0,0.0,9.0,9.0,9.0
>ENST00000432580.1,8.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,13.0,10.0,9.0,11.0,13.0,9.0,9.0,0.0,10.0,9.0
>ENST00000402702.2,7.0,9.0,10.0,12.0,10.0,8.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,7.0,9.0,10.0,0.0,7.0
>ENST00000509595.2,9.0,10.0,8.0,11.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0,8.0,12.0,11.0,8.0,9.0,9.0,7.0,0.0
