,>ENST00000446112.1,>ENST00000449965.1,>ENST00000581667.1,ENSG00000281222.1,>ENST00000402023.1,>ENST00000421245.2,>ENST00000414733.2,>ENST00000428733.1,>ENST00000508565.2,>ENST00000549647.1,>ENST00000433802.1,>ENST00000414531.2,>ENST00000441051.1,>ENST00000420331.2,>ENST00000484004.2,>ENST00000446956.1,>ENST00000423039.1,>ENST00000410028.3,>ENST00000492623.1,>ENST00000622029.1,>ENST00000445417.1,ENSG00000210841.1,>ENST00000568952.1,>ENST00000439330.1,>ENST00000612866.1,>ENST00000502605.1,>ENST00000418538.1,>ENST00000401853.1,>ENST00000481241.1,>ENST00000481770.1,>ENST00000417747.1,>ENST00000415988.1,>ENST00000412003.1,>ENST00000486874.1,>ENST00000605851.1,>ENST00000449217.2,>ENST00000438334.1,>ENST00000451219.1,>ENST00000556041.1,>ENST00000566331.1,ENSG00000221179.1,>ENST00000554958.1
>ENST00000446112.1,0.0,9.0,11.0,9.0,11.0,11.0,8.0,9.0,10.0,10.0,10.0,13.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,12.0,9.0,10.0,9.0,9.0,10.0,8.0,12.0,12.0,10.0,9.0,13.0,10.0,11.0,10.0,10.0,12.0,8.0,10.0
>ENST00000449965.1,9.0,0.0,11.0,9.0,9.0,11.0,9.0,7.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,12.0,12.0,8.0,9.0,12.0,10.0,11.0,10.0,12.0,10.0,10.0,12.0,9.0,8.0,10.0,9.0,10.0,10.0,13.0,8.0,10.0,8.0,10.0
>ENST00000581667.1,11.0,11.0,0.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,17.0,9.0,8.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,7.0,9.0
ENSG00000281222.1,9.0,9.0,9.0,0.0,8.0,9.0,7.0,6.0,7.0,6.0,8.0,9.0,9.0,6.0,6.0,8.0,7.0,9.0,9.0,7.0,8.0,6.0,8.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,9.0,6.0,9.0,22.0,9.0
>ENST00000402023.1,11.0,9.0,9.0,8.0,0.0,10.0,7.0,11.0,8.0,8.0,9.0,10.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,7.0,10.0,7.0,13.0,9.0,15.0,8.0,11.0,8.0,9.0,11.0,9.0,10.0,9.0,8.0,7.0,10.0
>ENST00000421245.2,11.0,11.0,8.0,9.0,10.0,0.0,7.0,9.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,8.0,7.0,10.0,10.0,9.0,9.0,12.0,9.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,10.0,8.0,11.0,10.0,11.0,7.0,10.0
>ENST00000414733.2,8.0,9.0,10.0,7.0,7.0,7.0,0.0,7.0,8.0,7.0,10.0,8.0,9.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,7.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,6.0,8.0
>ENST00000428733.1,9.0,7.0,9.0,6.0,11.0,9.0,7.0,0.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,13.0,9.0,10.0,7.0,7.0,10.0,7.0,8.0,7.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,7.0,7.0,6.0,9.0,10.0,9.0,7.0,7.0
>ENST00000508565.2,10.0,11.0,8.0,7.0,8.0,10.0,8.0,8.0,0.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,10.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,11.0,7.0,10.0
>ENST00000549647.1,10.0,10.0,9.0,6.0,8.0,11.0,7.0,9.0,9.0,0.0,9.0,9.0,9.0,7.0,8.0,10.0,9.0,8.0,12.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,12.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,6.0,10.0
