,>ENST00000439114.1,>ENST00000437410.2,>ENST00000448540.1,>ENST00000442161.1,>ENST00000567861.1,>ENST00000575258.1,>ENST00000456007.1,>ENST00000442552.7,>ENST00000619794.1,>ENST00000381143.4,>ENST00000415016.1,>ENST00000458300.1,>ENST00000412991.1,>ENST00000442399.1,>ENST00000448200.1,>ENST00000604298.1,>ENST00000634506.1,>ENST00000461787.1,>ENST00000617375.1,>ENST00000402365.1,>ENST00000604538.1,>ENST00000265882.5,>ENST00000587507.2,>ENST00000604341.1,>ENST00000421178.2,>ENST00000328207.6,>ENST00000391998.3,>ENST00000454440.6,>ENST00000465482.1,>ENST00000437729.1,>ENST00000405422.2,>ENST00000419538.1,>ENST00000612076.1,>ENST00000234610.5,>ENST00000416632.1,>ENST00000522089.1,>ENST00000553480.1,>ENST00000544832.1,>ENST00000465006.1,>ENST00000571142.1,>ENST00000453325.2,>ENST00000569668.1,>ENST00000413879.1,>ENST00000452246.1,>ENST00000547227.1,>ENST00000522733.1,>ENST00000439811.1
>ENST00000439114.1,0.0,8.0,9.0,11.0,8.0,11.0,8.0,10.0,9.0,8.0,9.0,9.0,11.0,10.0,8.0,8.0,10.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,14.0,9.0,10.0,9.0,11.0,8.0,8.0,7.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,11.0
>ENST00000437410.2,8.0,0.0,9.0,12.0,9.0,10.0,10.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,8.0,14.0,8.0,11.0,11.0,11.0,11.0,10.0,9.0,11.0,9.0,9.0,9.0,13.0,10.0,9.0,13.0,11.0,11.0,9.0,9.0,8.0,9.0,10.0
>ENST00000448540.1,9.0,9.0,0.0,9.0,8.0,9.0,8.0,11.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,7.0,6.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,11.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0
>ENST00000442161.1,11.0,12.0,9.0,0.0,8.0,9.0,9.0,14.0,9.0,11.0,10.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,11.0,11.0,11.0,12.0,9.0,8.0,10.0,15.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,12.0,11.0,11.0,12.0,9.0,11.0,13.0
>ENST00000567861.1,8.0,9.0,8.0,8.0,0.0,9.0,10.0,9.0,9.0,8.0,7.0,8.0,12.0,8.0,7.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,8.0,6.0,11.0,11.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,10.0,9.0,7.0,9.0,8.0,8.0,11.0,8.0,10.0,8.0,10.0
>ENST00000575258.1,11.0,10.0,9.0,9.0,9.0,0.0,13.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,12.0,9.0,13.0,10.0,11.0,7.0,9.0,10.0,10.0,11.0,9.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,12.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0
>ENST00000456007.1,8.0,10.0,8.0,9.0,10.0,13.0,0.0,9.0,10.0,9.0,9.0,9.0,11.0,11.0,6.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,6.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,11.0
>ENST00000442552.7,10.0,11.0,11.0,14.0,9.0,11.0,9.0,0.0,11.0,9.0,12.0,10.0,11.0,12.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0,8.0,9.0,10.0,11.0,11.0,13.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0,11.0,10.0,13.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,11.0
>ENST00000619794.1,9.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,0.0,8.0,8.0,9.0,8.0,11.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,7.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0
>ENST00000381143.4,8.0,10.0,8.0,11.0,8.0,10.0,9.0,9.0,8.0,0.0,9.0,10.0,9.0,9.0,7.0,9.0,16.0,10.0,8.0,9.0,9.0,9.0,8.0,6.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,11.0,11.0,11.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0
