,>ENST00000442570.2,>ENST00000441999.1,>ENST00000530968.1,>ENST00000400363.2,>ENST00000630834.1,>ENST00000418805.1,>ENST00000371707.3,>ENST00000578406.1,>ENST00000523391.1,>ENST00000448322.2,>ENST00000512424.1,>ENST00000611315.1,>ENST00000532655.1,>ENST00000437612.1,>ENST00000503764.1,>ENST00000448147.1,>ENST00000583997.1,ENSG00000126550.8,>ENST00000531961.1,>ENST00000564639.1,>ENST00000508225.1,>ENST00000603438.1,>ENST00000473096.1,>ENST00000512059.2,>ENST00000484130.1,>ENST00000423179.1,>ENST00000619218.1,>ENST00000486386.1,>ENST00000505789.1,>ENST00000616214.1,>ENST00000439142.1,>ENST00000418755.1,>ENST00000417893.1,>ENST00000457396.1,>ENST00000498134.1,>ENST00000618630.1,>ENST00000457388.1,>ENST00000523880.1,>ENST00000463573.2,>ENST00000570531.1,>ENST00000579644.1,>ENST00000431405.1
>ENST00000442570.2,0.0,9.0,10.0,11.0,10.0,11.0,12.0,10.0,9.0,10.0,9.0,10.0,13.0,9.0,11.0,9.0,10.0,20.0,10.0,10.0,12.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,14.0,9.0,10.0,10.0,20.0,10.0,10.0,9.0,14.0,10.0,11.0,10.0,11.0,12.0
>ENST00000441999.1,9.0,0.0,8.0,9.0,10.0,8.0,9.0,7.0,6.0,9.0,8.0,7.0,8.0,6.0,8.0,8.0,9.0,11.0,6.0,9.0,7.0,7.0,7.0,10.0,8.0,11.0,8.0,11.0,9.0,7.0,7.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,8.0,8.0
>ENST00000530968.1,10.0,8.0,0.0,9.0,9.0,10.0,9.0,7.0,8.0,13.0,8.0,10.0,10.0,8.0,8.0,7.0,10.0,13.0,18.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,8.0,10.0,12.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0
>ENST00000400363.2,11.0,9.0,9.0,0.0,11.0,9.0,9.0,12.0,10.0,10.0,8.0,11.0,10.0,9.0,10.0,8.0,11.0,11.0,9.0,11.0,11.0,10.0,11.0,11.0,11.0,14.0,8.0,10.0,10.0,9.0,11.0,10.0,11.0,9.0,8.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0
>ENST00000630834.1,10.0,10.0,9.0,11.0,0.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,7.0,11.0,12.0,11.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,13.0,9.0,8.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,12.0,10.0,10.0,8.0
>ENST00000418805.1,11.0,8.0,10.0,9.0,7.0,0.0,11.0,8.0,8.0,8.0,10.0,8.0,10.0,8.0,10.0,6.0,10.0,11.0,10.0,8.0,12.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0
>ENST00000371707.3,12.0,9.0,9.0,9.0,9.0,11.0,0.0,9.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,7.0,11.0,13.0,9.0,9.0,11.0,10.0,10.0,12.0,9.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,9.0,11.0
>ENST00000578406.1,10.0,7.0,7.0,12.0,8.0,8.0,9.0,0.0,7.0,12.0,8.0,7.0,10.0,10.0,8.0,7.0,10.0,9.0,10.0,8.0,7.0,8.0,8.0,9.0,9.0,11.0,7.0,7.0,11.0,7.0,7.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0
>ENST00000523391.1,9.0,6.0,8.0,10.0,9.0,8.0,10.0,7.0,0.0,10.0,6.0,8.0,10.0,9.0,9.0,7.0,9.0,12.0,10.0,10.0,7.0,9.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,6.0,9.0,8.0,7.0,8.0
>ENST00000448322.2,10.0,9.0,13.0,10.0,9.0,8.0,10.0,12.0,10.0,0.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,11.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,9.0
>ENST00000512424.1,9.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,6.0,9.0,0.0,9.0,8.0,8.0,7.0,6.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0
>ENST00000611315.1,10.0,7.0,10.0,11.0,10.0,8.0,8.0,7.0,8.0,10.0,9.0,0.0,7.0,10.0,8.0,8.0,11.0,14.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,12.0,8.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,10.0
>ENST00000532655.1,13.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,0.0,10.0,9.0,7.0,9.0,11.0,12.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,11.0,10.0,10.0,9.0,13.0,8.0,31.0,10.0,8.0,10.0
>ENST00000437612.1,9.0,6.0,8.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0,8.0,10.0,10.0,0.0,8.0,7.0,10.0,12.0,7.0,9.0,8.0,8.0,8.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0
