,>ENST00000377662.6,>ENST00000527837.1,>ENST00000408928.2,>ENST00000612648.1,>ENST00000570107.2,>ENST00000580031.1,>ENST00000559810.1
>ENST00000377662.6,0.0,9.0,9.0,11.0,10.0,10.0,12.0
>ENST00000527837.1,9.0,0.0,10.0,9.0,8.0,9.0,8.0
>ENST00000408928.2,9.0,10.0,0.0,10.0,8.0,8.0,9.0
>ENST00000612648.1,11.0,9.0,10.0,0.0,10.0,12.0,11.0
>ENST00000570107.2,10.0,8.0,8.0,10.0,0.0,10.0,8.0
>ENST00000580031.1,10.0,9.0,8.0,12.0,10.0,0.0,9.0
>ENST00000559810.1,12.0,8.0,9.0,11.0,8.0,9.0,0.0
