,ENSG00000156976.14,>ENST00000446594.1,>ENST00000566714.1,>ENST00000433950.1,>ENST00000431663.1,>ENST00000443413.1,>ENST00000561168.2,>ENST00000455013.2,>ENST00000566803.2,>ENST00000413177.2,ENSG00000206929.1,>ENST00000604558.1,>ENST00000454004.1,>ENST00000306589.7,>ENST00000495531.1,>ENST00000612151.1,>ENST00000453640.1,>ENST00000431996.1,>ENST00000508166.5,>ENST00000556820.2,>ENST00000527596.1,>ENST00000452683.1,>ENST00000453262.2,>ENST00000518179.1,>ENST00000399532.2,>ENST00000429313.1,>ENST00000448062.1,>ENST00000534629.1,>ENST00000531560.1,>ENST00000428657.1,>ENST00000510162.1,>ENST00000429993.1,>ENST00000619838.1,>ENST00000439968.1,>ENST00000514549.2,>ENST00000457727.1,>ENST00000566112.2,>ENST00000458382.2,>ENST00000510116.1,>ENST00000624130.1,>ENST00000586597.1,>ENST00000397642.3,>ENST00000621617.1,>ENST00000503545.1,>ENST00000512602.1,>ENST00000449634.2,>ENST00000424559.2,>ENST00000416709.1,>ENST00000619095.1,>ENST00000434678.1,>ENST00000443775.1,>ENST00000506389.1,>ENST00000416450.1,>ENST00000603093.1
ENSG00000156976.14,0.0,10.0,10.0,12.0,11.0,12.0,14.0,11.0,11.0,12.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,14.0,10.0,11.0,11.0,10.0,11.0,11.0,12.0,10.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,10.0,13.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,13.0,9.0,13.0,11.0,13.0,11.0,10.0
>ENST00000446594.1,10.0,0.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,7.0,8.0,10.0,9.0,8.0,6.0,10.0,10.0,12.0,10.0,9.0,12.0,11.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,8.0,12.0,9.0,9.0,8.0,10.0,10.0,12.0,10.0,9.0,8.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0
>ENST00000566714.1,10.0,9.0,0.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,8.0,10.0,8.0,10.0,10.0,7.0,7.0,8.0,8.0,9.0,11.0,9.0,9.0,7.0,8.0,10.0,7.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,10.0
>ENST00000433950.1,12.0,9.0,8.0,0.0,9.0,8.0,8.0,9.0,11.0,10.0,6.0,8.0,8.0,7.0,11.0,7.0,8.0,11.0,11.0,9.0,10.0,9.0,7.0,7.0,11.0,9.0,9.0,13.0,7.0,9.0,10.0,12.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,11.0,12.0,9.0,11.0,8.0,10.0,9.0,8.0
>ENST00000431663.1,11.0,8.0,8.0,9.0,0.0,10.0,9.0,8.0,10.0,10.0,6.0,8.0,8.0,11.0,10.0,6.0,9.0,9.0,11.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0,9.0,9.0,12.0,8.0,8.0,7.0,8.0,9.0,10.0,8.0,10.0,10.0,8.0,10.0,12.0,8.0,9.0,8.0,10.0,9.0,8.0
>ENST00000443413.1,12.0,9.0,9.0,8.0,10.0,0.0,8.0,9.0,9.0,13.0,7.0,9.0,10.0,9.0,10.0,7.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,11.0,8.0,9.0,8.0,8.0,8.0,11.0,8.0,11.0,9.0,8.0,9.0,13.0,9.0,10.0,8.0,9.0,10.0,9.0
>ENST00000561168.2,14.0,10.0,7.0,8.0,9.0,8.0,0.0,8.0,10.0,8.0,7.0,8.0,10.0,10.0,11.0,7.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,12.0,11.0,9.0,10.0,8.0,10.0,8.0,8.0,7.0,10.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,6.0,10.0,10.0,7.0,9.0,9.0,9.0,8.0,8.0,11.0,10.0,9.0
>ENST00000455013.2,11.0,8.0,9.0,9.0,8.0,9.0,8.0,0.0,12.0,10.0,7.0,11.0,9.0,9.0,8.0,7.0,8.0,10.0,11.0,11.0,10.0,11.0,8.0,8.0,11.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0,10.0,9.0,10.0,10.0,7.0,11.0,9.0,10.0,8.0,13.0,8.0,9.0,8.0,10.0,10.0,10.0
>ENST00000566803.2,11.0,10.0,9.0,11.0,10.0,9.0,10.0,12.0,0.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,13.0,12.0,11.0,11.0,14.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,10.0,13.0,10.0,10.0,9.0,12.0,9.0,14.0,9.0,9.0,9.0,11.0,12.0,10.0
>ENST00000413177.2,12.0,9.0,9.0,10.0,10.0,13.0,8.0,10.0,10.0,0.0,9.0,8.0,10.0,10.0,10.0,8.0,11.0,11.0,12.0,9.0,11.0,11.0,11.0,9.0,10.0,11.0,9.0,10.0,13.0,12.0,11.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,11.0,13.0,12.0,8.0,13.0,10.0,10.0,10.0,13.0,9.0,9.0,9.0,11.0,11.0,10.0
ENSG00000206929.1,9.0,7.0,12.0,6.0,6.0,7.0,7.0,7.0,11.0,9.0,0.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,9.0,6.0,9.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,9.0,9.0,6.0,7.0,7.0,6.0,7.0,8.0,11.0,6.0,7.0,9.0,7.0,7.0,9.0,6.0,9.0,9.0,8.0,8.0,7.0
>ENST00000604558.1,10.0,8.0,9.0,8.0,8.0,9.0,8.0,11.0,9.0,8.0,8.0,0.0,11.0,9.0,9.0,8.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,11.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,11.0,10.0,10.0
>ENST00000454004.1,11.0,10.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,8.0,11.0,0.0,9.0,10.0,7.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,11.0,11.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0
>ENST00000306589.7,12.0,9.0,9.0,7.0,11.0,9.0,10.0,9.0,11.0,10.0,7.0,9.0,9.0,0.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,7.0,8.0,7.0,8.0,9.0,12.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,9.0,10.0,12.0,9.0
>ENST00000495531.1,11.0,8.0,8.0,11.0,10.0,10.0,11.0,8.0,9.0,10.0,7.0,9.0,10.0,9.0,0.0,9.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,8.0,330.0,10.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,7.0,10.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,12.0,8.0,268.0,9.0,11.0,9.0,9.0
