,>ENST00000407767.1,>ENST00000407586.1,>ENST00000447628.2,>ENST00000487446.1,>ENST00000465389.1,>ENST00000512971.2,ENSG00000141994.15,>ENST00000411430.1,>ENST00000518490.1,>ENST00000399538.2,>ENST00000566222.2,>ENST00000479812.1,>ENST00000447446.1,>ENST00000461022.1,>ENST00000435945.1,>ENST00000514574.1,>ENST00000402100.1,>ENST00000316506.2,>ENST00000603635.1,>ENST00000396362.3,>ENST00000413336.1,ENSG00000239168.1,>ENST00000515105.1,>ENST00000619677.1,>ENST00000408017.2,>ENST00000569984.1,>ENST00000340898.6,>ENST00000432787.1,>ENST00000448659.1,ENSG00000239082.1,ENSG00000123407.3,>ENST00000622868.1,>ENST00000517873.2,>ENST00000605566.1,>ENST00000445453.1,>ENST00000521868.1,>ENST00000453474.1,>ENST00000448639.1,>ENST00000506694.1
>ENST00000407767.1,0.0,9.0,9.0,12.0,8.0,8.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,10.0,8.0,8.0,8.0,7.0,10.0,6.0,10.0,8.0,12.0,9.0,12.0,7.0,9.0,8.0,9.0
>ENST00000407586.1,9.0,0.0,11.0,13.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,8.0,11.0,8.0,9.0,7.0,12.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0
>ENST00000447628.2,9.0,11.0,0.0,12.0,11.0,9.0,13.0,10.0,10.0,12.0,9.0,12.0,9.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,12.0,8.0,9.0,11.0,10.0,15.0,12.0,11.0,10.0,8.0,13.0,10.0,12.0,11.0,13.0,10.0,9.0,10.0,12.0
>ENST00000487446.1,12.0,13.0,12.0,0.0,9.0,10.0,12.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,7.0,8.0,10.0,9.0,9.0,13.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0
>ENST00000465389.1,8.0,10.0,11.0,9.0,0.0,9.0,10.0,9.0,9.0,11.0,7.0,9.0,8.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,8.0,6.0,9.0,8.0,12.0,11.0,7.0,8.0,8.0,10.0,9.0
>ENST00000512971.2,8.0,9.0,9.0,10.0,9.0,0.0,12.0,6.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,7.0,10.0,8.0,8.0,8.0,12.0,8.0,9.0,10.0,8.0,6.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,9.0
ENSG00000141994.15,10.0,11.0,13.0,12.0,10.0,12.0,0.0,12.0,11.0,14.0,10.0,11.0,10.0,11.0,12.0,11.0,10.0,11.0,14.0,13.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,15.0,9.0,19.0,10.0,11.0,11.0,10.0,9.0,10.0,12.0,9.0
>ENST00000411430.1,7.0,10.0,10.0,8.0,9.0,6.0,12.0,0.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,11.0,10.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0
>ENST00000518490.1,8.0,10.0,10.0,9.0,9.0,8.0,11.0,8.0,0.0,9.0,10.0,9.0,13.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,7.0,8.0,10.0,9.0,8.0,9.0,9.0,12.0,7.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,8.0
>ENST00000399538.2,9.0,9.0,12.0,10.0,11.0,9.0,14.0,10.0,9.0,0.0,10.0,10.0,10.0,10.0,11.0,12.0,9.0,10.0,10.0,9.0,9.0,6.0,10.0,12.0,10.0,8.0,9.0,10.0,14.0,10.0,12.0,9.0,11.0,9.0,8.0,10.0,10.0,9.0,8.0
>ENST00000566222.2,7.0,9.0,9.0,10.0,7.0,8.0,10.0,9.0,10.0,10.0,0.0,8.0,9.0,11.0,11.0,8.0,8.0,8.0,11.0,9.0,9.0,7.0,8.0,9.0,9.0,6.0,9.0,8.0,12.0,7.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,7.0,9.0
>ENST00000479812.1,8.0,9.0,12.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,0.0,9.0,9.0,10.0,11.0,11.0,10.0,8.0,9.0,10.0,6.0,9.0,10.0,193.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0,7.0,10.0,8.0
>ENST00000447446.1,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,13.0,10.0,9.0,9.0,0.0,10.0,13.0,12.0,8.0,11.0,8.0,9.0,10.0,11.0,10.0,8.0,10.0,8.0,10.0,8.0,10.0,8.0,11.0,8.0,12.0,10.0,10.0,8.0,11.0,9.0,9.0
>ENST00000461022.1,8.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,11.0,10.0,11.0,9.0,10.0,0.0,11.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,8.0,10.0,12.0,7.0,10.0,11.0,8.0,8.0,11.0,10.0,12.0,10.0,9.0,8.0,9.0,11.0,8.0
>ENST00000435945.1,10.0,11.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,11.0,11.0,10.0,13.0,11.0,0.0,12.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,12.0,10.0,11.0,12.0,12.0,9.0,10.0,10.0,10.0
>ENST00000514574.1,9.0,10.0,10.0,10.0,8.0,9.0,11.0,10.0,9.0,12.0,8.0,11.0,12.0,11.0,12.0,0.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,11.0,10.0,8.0,9.0,7.0,11.0,8.0,11.0,11.0,8.0,9.0,8.0,10.0,9.0
>ENST00000402100.1,9.0,10.0,11.0,8.0,11.0,7.0,10.0,8.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,11.0,0.0,9.0,8.0,7.0,8.0,6.0,9.0,8.0,11.0,9.0,8.0,10.0,8.0,8.0,11.0,8.0,12.0,10.0,10.0,9.0,9.0,11.0,9.0
>ENST00000316506.2,9.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,0.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,13.0,9.0,9.0,13.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,7.0
>ENST00000603635.1,9.0,9.0,10.0,10.0,8.0,9.0,14.0,9.0,9.0,10.0,11.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,0.0,8.0,11.0,7.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,6.0,10.0,8.0,9.0,10.0,12.0,10.0,9.0,8.0,10.0
>ENST00000396362.3,8.0,9.0,10.0,10.0,8.0,7.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,9.0,7.0,8.0,8.0,0.0,11.0,7.0,8.0,10.0,8.0,10.0,8.0,9.0,11.0,8.0,10.0,9.0,11.0,10.0,8.0,8.0,8.0,10.0,9.0
>ENST00000413336.1,8.0,10.0,12.0,10.0,8.0,10.0,10.0,7.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,11.0,11.0,0.0,6.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,11.0,9.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0
