,ENSG00000200120.1,>ENST00000570582.1,>ENST00000425348.1,>ENST00000417777.1,ENSG00000252233.1,>ENST00000434310.1,>ENST00000419639.1,>ENST00000614561.1,>ENST00000619124.1,>ENST00000578601.2,>ENST00000411964.2,>ENST00000423965.2,>ENST00000429734.1,>ENST00000604539.1,>ENST00000457924.2,>ENST00000512867.2,>ENST00000490423.2,>ENST00000446875.1,>ENST00000453323.1,>ENST00000557776.1,>ENST00000439523.1,>ENST00000496272.1,ENSG00000252100.2,>ENST00000446095.1,>ENST00000469928.1,ENSG00000221257.1,>ENST00000591378.1,ENSG00000251868.1,>ENST00000546596.1,>ENST00000572277.1,>ENST00000568192.1,>ENST00000509680.1,>ENST00000526967.1,>ENST00000522512.1,>ENST00000415277.2,>ENST00000404655.1,>ENST00000420011.1,>ENST00000439752.1,>ENST00000556153.3
ENSG00000200120.1,0.0,6.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,7.0,8.0,7.0,8.0,6.0,7.0,12.0,9.0,8.0,7.0,7.0,8.0,6.0,6.0,10.0,10.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,6.0,8.0,7.0,8.0,10.0,8.0,8.0
>ENST00000570582.1,6.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,10.0,8.0,5.0,9.0,9.0,5.0,11.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,10.0,7.0,9.0,10.0,9.0
>ENST00000425348.1,8.0,9.0,0.0,11.0,10.0,9.0,12.0,8.0,10.0,10.0,12.0,11.0,11.0,9.0,9.0,11.0,8.0,10.0,8.0,9.0,10.0,9.0,7.0,11.0,8.0,8.0,9.0,8.0,10.0,12.0,12.0,11.0,8.0,9.0,9.0,9.0,11.0,11.0,9.0
>ENST00000417777.1,7.0,9.0,11.0,0.0,10.0,10.0,13.0,10.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,12.0,13.0,13.0,8.0,11.0,13.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0
ENSG00000252233.1,7.0,9.0,10.0,10.0,0.0,9.0,10.0,7.0,8.0,8.0,11.0,8.0,10.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,9.0,10.0,9.0,8.0,7.0,9.0,10.0,10.0,8.0
>ENST00000434310.1,7.0,10.0,9.0,10.0,9.0,0.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,7.0,10.0,7.0,12.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0
>ENST00000419639.1,9.0,9.0,12.0,13.0,10.0,10.0,0.0,10.0,10.0,10.0,13.0,9.0,10.0,10.0,12.0,11.0,10.0,12.0,8.0,10.0,10.0,8.0,8.0,10.0,10.0,7.0,10.0,8.0,11.0,8.0,10.0,13.0,9.0,13.0,13.0,9.0,13.0,15.0,9.0
>ENST00000614561.1,8.0,9.0,8.0,10.0,7.0,8.0,10.0,0.0,9.0,7.0,7.0,8.0,8.0,7.0,10.0,10.0,8.0,10.0,7.0,8.0,8.0,8.0,6.0,9.0,7.0,6.0,7.0,5.0,9.0,7.0,9.0,9.0,7.0,7.0,10.0,8.0,9.0,9.0,11.0
>ENST00000619124.1,8.0,7.0,10.0,10.0,8.0,10.0,10.0,9.0,0.0,8.0,9.0,15.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,11.0,11.0,9.0,7.0,9.0,8.0,7.0,10.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0
>ENST00000578601.2,7.0,9.0,10.0,8.0,8.0,10.0,10.0,7.0,8.0,0.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,10.0,9.0,8.0,12.0,6.0,7.0,7.0,10.0,9.0,7.0,8.0,11.0,8.0,9.0,8.0,9.0
