,>ENST00000450223.1,>ENST00000489210.2,>ENST00000402383.3,>ENST00000413899.1,>ENST00000442535.1,>ENST00000478962.1,>ENST00000430663.2,>ENST00000422884.1,>ENST00000525539.5,>ENST00000513338.1,>ENST00000604083.1,>ENST00000590047.1,>ENST00000440453.1,ENSG00000200179.1,>ENST00000505258.1,>ENST00000589470.1,>ENST00000403255.1,>ENST00000428736.1,>ENST00000437546.1,>ENST00000438001.1,>ENST00000406019.1,>ENST00000512938.2,>ENST00000611556.1,>ENST00000418311.1,>ENST00000506046.1,>ENST00000508480.1,>ENST00000425108.1,>ENST00000512846.2,>ENST00000443152.1,>ENST00000557533.2,>ENST00000451043.6,>ENST00000407805.2,>ENST00000419546.1,>ENST00000453844.1,>ENST00000392730.2,>ENST00000474557.1,>ENST00000444680.3,>ENST00000612480.1,>ENST00000445179.1,>ENST00000556012.1,>ENST00000597885.1,>ENST00000560007.2,>ENST00000419780.1,>ENST00000415284.1,>ENST00000553028.1,>ENST00000420053.1
>ENST00000450223.1,0.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,8.0,10.0,10.0,8.0,9.0,9.0,10.0,8.0,7.0,8.0,10.0,10.0,8.0,12.0,7.0,8.0,9.0,9.0,10.0,9.0,12.0,8.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,11.0,7.0,8.0,8.0,10.0
>ENST00000489210.2,9.0,0.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,7.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,12.0,11.0,10.0,11.0,11.0,8.0,11.0,9.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0
>ENST00000402383.3,10.0,10.0,0.0,11.0,14.0,9.0,11.0,10.0,13.0,10.0,8.0,11.0,10.0,7.0,11.0,9.0,11.0,10.0,11.0,9.0,11.0,17.0,12.0,12.0,9.0,10.0,8.0,11.0,14.0,20.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0,13.0,11.0,11.0,9.0,11.0,9.0,9.0,9.0,11.0
>ENST00000413899.1,10.0,10.0,11.0,0.0,11.0,10.0,9.0,11.0,11.0,11.0,8.0,10.0,11.0,7.0,10.0,9.0,9.0,9.0,10.0,10.0,215.0,12.0,9.0,9.0,8.0,9.0,9.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0
>ENST00000442535.1,10.0,10.0,14.0,11.0,0.0,11.0,10.0,9.0,10.0,10.0,7.0,10.0,10.0,7.0,8.0,9.0,10.0,11.0,8.0,9.0,11.0,12.0,10.0,9.0,8.0,8.0,10.0,10.0,1213.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,14.0,9.0,10.0,12.0,10.0,10.0
>ENST00000478962.1,8.0,9.0,9.0,10.0,11.0,0.0,10.0,9.0,12.0,10.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,10.0,7.0,7.0,9.0,10.0,9.0,10.0,7.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,13.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0
>ENST00000430663.2,10.0,9.0,11.0,9.0,10.0,10.0,0.0,9.0,11.0,10.0,7.0,9.0,11.0,7.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,13.0,9.0,10.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,12.0,11.0,9.0,12.0,9.0,10.0,9.0,8.0,10.0
>ENST00000422884.1,10.0,10.0,10.0,11.0,9.0,9.0,9.0,0.0,12.0,10.0,14.0,13.0,9.0,8.0,11.0,11.0,10.0,9.0,10.0,10.0,11.0,12.0,9.0,9.0,10.0,11.0,12.0,10.0,9.0,11.0,13.0,12.0,10.0,9.0,11.0,10.0,11.0,14.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,12.0
>ENST00000525539.5,10.0,10.0,13.0,11.0,10.0,12.0,11.0,12.0,0.0,10.0,10.0,14.0,10.0,10.0,12.0,14.0,11.0,10.0,10.0,11.0,13.0,12.0,12.0,11.0,11.0,13.0,10.0,12.0,10.0,13.0,13.0,12.0,12.0,11.0,13.0,11.0,13.0,13.0,11.0,14.0,11.0,13.0,11.0,15.0,10.0,14.0
>ENST00000513338.1,11.0,12.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,0.0,9.0,10.0,12.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,12.0,10.0,9.0,12.0,10.0,10.0,12.0,10.0,11.0,12.0,9.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,13.0
>ENST00000604083.1,8.0,7.0,8.0,8.0,7.0,8.0,7.0,14.0,10.0,9.0,0.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0,7.0,11.0,7.0,8.0,7.0,7.0,6.0,9.0,7.0,10.0,10.0,7.0,8.0,8.0,8.0,7.0,9.0,10.0,9.0,8.0,9.0,9.0,6.0,9.0,7.0,8.0
>ENST00000590047.1,10.0,11.0,11.0,10.0,10.0,10.0,9.0,13.0,14.0,10.0,9.0,0.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,12.0,9.0,13.0,10.0,11.0,9.0,10.0,8.0,11.0,10.0,11.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,13.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,10.0
>ENST00000440453.1,10.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,12.0,8.0,9.0,0.0,7.0,10.0,10.0,11.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,302.0,11.0,9.0,10.0,12.0,9.0,13.0,10.0,11.0,8.0,9.0,9.0,10.0
ENSG00000200179.1,8.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,10.0,10.0,8.0,8.0,7.0,0.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,9.0,7.0,6.0,8.0,7.0,7.0,7.0,10.0,8.0,9.0,6.0,8.0,6.0,8.0,8.0,7.0,9.0,8.0,8.0,10.0,7.0,7.0,9.0
