,ENSG00000251954.1,>ENST00000406489.2,>ENST00000446897.1,>ENST00000453567.1,>ENST00000412192.1,>ENST00000610904.1,>ENST00000506434.1,>ENST00000461723.2,>ENST00000402994.2,>ENST00000439103.1
ENSG00000251954.1,0.0,6.0,8.0,9.0,6.0,8.0,7.0,9.0,8.0,6.0
>ENST00000406489.2,6.0,0.0,9.0,9.0,11.0,10.0,11.0,9.0,8.0,7.0
>ENST00000446897.1,8.0,9.0,0.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0
>ENST00000453567.1,9.0,9.0,12.0,0.0,10.0,10.0,9.0,8.0,9.0,8.0
>ENST00000412192.1,6.0,11.0,10.0,10.0,0.0,7.0,10.0,8.0,10.0,7.0
>ENST00000610904.1,8.0,10.0,10.0,10.0,7.0,0.0,10.0,9.0,8.0,7.0
>ENST00000506434.1,7.0,11.0,9.0,9.0,10.0,10.0,0.0,7.0,9.0,9.0
>ENST00000461723.2,9.0,9.0,9.0,8.0,8.0,9.0,7.0,0.0,8.0,9.0
>ENST00000402994.2,8.0,8.0,9.0,9.0,10.0,8.0,9.0,8.0,0.0,8.0
>ENST00000439103.1,6.0,7.0,9.0,8.0,7.0,7.0,9.0,9.0,8.0,0.0
