,>ENST00000613970.1,>ENST00000491725.1,>ENST00000397973.2,>ENST00000507074.1,>ENST00000448440.1,>ENST00000525033.1,>ENST00000438294.1,>ENST00000567219.1,>ENST00000406314.1,>ENST00000518524.1,>ENST00000475295.1,>ENST00000453860.1,>ENST00000449226.1,>ENST00000605398.1,>ENST00000426188.2,>ENST00000445748.1,>ENST00000582158.1,>ENST00000582468.1,>ENST00000504262.1,>ENST00000549593.1,>ENST00000428561.1,>ENST00000562636.1,>ENST00000514638.1
>ENST00000613970.1,0.0,10.0,8.0,10.0,13.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0
>ENST00000491725.1,10.0,0.0,10.0,8.0,9.0,11.0,12.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,11.0,9.0,10.0,12.0,7.0
>ENST00000397973.2,8.0,10.0,0.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,8.0
>ENST00000507074.1,10.0,8.0,9.0,0.0,9.0,10.0,11.0,7.0,9.0,10.0,7.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0
>ENST00000448440.1,13.0,9.0,10.0,9.0,0.0,11.0,12.0,10.0,11.0,12.0,9.0,10.0,11.0,9.0,8.0,8.0,11.0,8.0,11.0,10.0,10.0,9.0,10.0
>ENST00000525033.1,10.0,11.0,10.0,10.0,11.0,0.0,11.0,9.0,12.0,11.0,9.0,10.0,14.0,8.0,12.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0
>ENST00000438294.1,9.0,12.0,11.0,11.0,12.0,11.0,0.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,11.0,8.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0
>ENST00000567219.1,10.0,10.0,10.0,7.0,10.0,9.0,9.0,0.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0
>ENST00000406314.1,11.0,9.0,9.0,9.0,11.0,12.0,10.0,8.0,0.0,10.0,8.0,11.0,11.0,10.0,11.0,8.0,9.0,9.0,9.0,11.0,8.0,10.0,8.0
>ENST00000518524.1,9.0,11.0,8.0,10.0,12.0,11.0,11.0,9.0,10.0,0.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0
>ENST00000475295.1,9.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,9.0,11.0,10.0,7.0,7.0,8.0,9.0,10.0,9.0,9.0,11.0,11.0
>ENST00000453860.1,8.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,0.0,12.0,8.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0
>ENST00000449226.1,8.0,9.0,9.0,8.0,11.0,14.0,10.0,8.0,11.0,11.0,11.0,12.0,0.0,9.0,11.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,7.0
>ENST00000605398.1,11.0,10.0,9.0,10.0,9.0,8.0,11.0,8.0,10.0,9.0,10.0,8.0,9.0,0.0,8.0,8.0,11.0,9.0,9.0,9.0,8.0,10.0,7.0
>ENST00000426188.2,9.0,9.0,10.0,9.0,8.0,12.0,11.0,8.0,11.0,9.0,7.0,9.0,11.0,8.0,0.0,10.0,10.0,11.0,9.0,8.0,10.0,9.0,8.0
>ENST00000445748.1,9.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,0.0,11.0,7.0,10.0,8.0,11.0,9.0,6.0
>ENST00000582158.1,10.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,0.0,8.0,12.0,10.0,9.0,9.0,9.0
>ENST00000582468.1,9.0,8.0,8.0,8.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,11.0,7.0,8.0,0.0,10.0,9.0,9.0,11.0,8.0
>ENST00000504262.1,10.0,11.0,9.0,10.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,12.0,10.0,0.0,9.0,10.0,12.0,9.0
>ENST00000549593.1,11.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,0.0,8.0,13.0,8.0
>ENST00000428561.1,11.0,10.0,9.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0,9.0,10.0,8.0,0.0,10.0,8.0
>ENST00000562636.1,9.0,12.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,12.0,13.0,10.0,0.0,8.0
>ENST00000514638.1,9.0,7.0,8.0,8.0,10.0,9.0,10.0,7.0,8.0,10.0,11.0,8.0,7.0,7.0,8.0,6.0,9.0,8.0,9.0,8.0,8.0,8.0,0.0
