,>ENST00000432801.1,>ENST00000446451.2,ENSG00000201945.1,>ENST00000446011.1,>ENST00000442896.1,>ENST00000487061.1,>ENST00000442352.1
>ENST00000432801.1,0.0,10.0,9.0,7.0,11.0,10.0,10.0
>ENST00000446451.2,10.0,0.0,8.0,9.0,12.0,10.0,10.0
ENSG00000201945.1,9.0,8.0,0.0,7.0,8.0,9.0,8.0
>ENST00000446011.1,7.0,9.0,7.0,0.0,9.0,9.0,8.0
>ENST00000442896.1,11.0,12.0,8.0,9.0,0.0,10.0,11.0
>ENST00000487061.1,10.0,10.0,9.0,9.0,10.0,0.0,9.0
>ENST00000442352.1,10.0,10.0,8.0,8.0,11.0,9.0,0.0
