,>ENST00000403866.2,ENSG00000207161.1,>ENST00000568660.1,>ENST00000485633.1,>ENST00000594613.1,>ENST00000454916.1,>ENST00000517589.1,>ENST00000528472.1,>ENST00000392722.3,>ENST00000490739.1
>ENST00000403866.2,0.0,9.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0
ENSG00000207161.1,9.0,0.0,7.0,8.0,8.0,8.0,6.0,8.0,9.0,6.0
>ENST00000568660.1,8.0,7.0,0.0,11.0,11.0,10.0,10.0,8.0,11.0,8.0
>ENST00000485633.1,9.0,8.0,11.0,0.0,9.0,10.0,9.0,10.0,10.0,9.0
>ENST00000594613.1,9.0,8.0,11.0,9.0,0.0,10.0,10.0,9.0,9.0,9.0
>ENST00000454916.1,10.0,8.0,10.0,10.0,10.0,0.0,9.0,11.0,11.0,7.0
>ENST00000517589.1,10.0,6.0,10.0,9.0,10.0,9.0,0.0,10.0,9.0,8.0
>ENST00000528472.1,11.0,8.0,8.0,10.0,9.0,11.0,10.0,0.0,11.0,8.0
>ENST00000392722.3,10.0,9.0,11.0,10.0,9.0,11.0,9.0,11.0,0.0,8.0
>ENST00000490739.1,9.0,6.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,0.0
