,ENSG00000201591.1,>ENST00000529436.1,ENSG00000202422.1
ENSG00000201591.1,0.0,8.0,6.0
>ENST00000529436.1,8.0,0.0,9.0
ENSG00000202422.1,6.0,9.0,0.0
