,ENSG00000238959.1,>ENST00000519164.1,>ENST00000603755.1,>ENST00000430685.1,>ENST00000425115.1,>ENST00000478559.1,>ENST00000446637.1,>ENST00000611636.4,>ENST00000452970.1,>ENST00000427165.1,>ENST00000425381.1,>ENST00000412929.1,>ENST00000612102.1,ENSG00000274458.1,>ENST00000580780.1,>ENST00000561045.1,>ENST00000487382.1,>ENST00000415303.2,>ENST00000420179.1,>ENST00000590920.1,>ENST00000432204.1,>ENST00000406616.1,>ENST00000534284.1,>ENST00000605507.1,>ENST00000618821.1,>ENST00000518423.1,>ENST00000525084.1,>ENST00000366587.4
ENSG00000238959.1,0.0,7.0,8.0,9.0,10.0,11.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,5.0,9.0,7.0,8.0,7.0,8.0,7.0,7.0,9.0
>ENST00000519164.1,7.0,0.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,12.0,8.0,10.0,8.0,9.0,7.0,11.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,10.0
>ENST00000603755.1,8.0,9.0,0.0,9.0,11.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,14.0,9.0,11.0,9.0,9.0,8.0,13.0,8.0,10.0,10.0,10.0,8.0,10.0,8.0,8.0,11.0
>ENST00000430685.1,9.0,8.0,9.0,0.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,11.0,7.0,9.0,7.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,10.0,10.0
>ENST00000425115.1,10.0,10.0,11.0,9.0,0.0,11.0,11.0,12.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0
>ENST00000478559.1,11.0,9.0,10.0,10.0,11.0,0.0,10.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,12.0,9.0,12.0,10.0,10.0,10.0,9.0,10.0,12.0,12.0
>ENST00000446637.1,7.0,10.0,11.0,9.0,11.0,10.0,0.0,12.0,11.0,10.0,10.0,10.0,10.0,8.0,11.0,11.0,9.0,8.0,10.0,8.0,11.0,8.0,10.0,11.0,9.0,11.0,10.0,10.0
>ENST00000611636.4,7.0,9.0,10.0,10.0,12.0,11.0,12.0,0.0,10.0,11.0,8.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,13.0,12.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,12.0
>ENST00000452970.1,8.0,10.0,9.0,10.0,11.0,11.0,11.0,10.0,0.0,11.0,9.0,10.0,10.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,11.0,9.0,13.0,9.0,10.0,9.0,10.0,10.0
>ENST00000427165.1,7.0,10.0,8.0,8.0,10.0,11.0,10.0,11.0,11.0,0.0,10.0,9.0,12.0,8.0,14.0,11.0,11.0,8.0,10.0,9.0,12.0,10.0,9.0,11.0,10.0,11.0,11.0,11.0
