,>ENST00000523624.1,>ENST00000503990.2,>ENST00000419975.1,>ENST00000553912.1,>ENST00000603254.1,>ENST00000405812.2,>ENST00000395991.2,>ENST00000425270.1,>ENST00000415560.1,>ENST00000556806.1,>ENST00000449536.1,>ENST00000450070.1,>ENST00000603670.1,>ENST00000445057.1,>ENST00000554490.1,>ENST00000431775.1,>ENST00000426186.1,>ENST00000426110.1,>ENST00000618062.1,>ENST00000604322.1,>ENST00000534734.1,>ENST00000424233.1,>ENST00000604297.1,>ENST00000420063.2,>ENST00000481075.1,>ENST00000421271.5,>ENST00000447321.1,>ENST00000626483.1,>ENST00000556703.1,>ENST00000510589.1,>ENST00000562908.1,>ENST00000404326.1,>ENST00000605340.1,>ENST00000438252.1,>ENST00000514650.1,>ENST00000631979.1,>ENST00000428616.1,>ENST00000411629.1,>ENST00000605218.1,>ENST00000395664.2,>ENST00000551138.1,>ENST00000603825.1
>ENST00000523624.1,0.0,10.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,7.0,9.0,10.0,8.0,8.0,9.0,10.0,11.0,8.0,9.0,11.0,10.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,10.0,8.0,11.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,7.0,8.0,9.0
>ENST00000503990.2,10.0,0.0,10.0,10.0,8.0,12.0,9.0,12.0,11.0,8.0,10.0,10.0,10.0,9.0,13.0,10.0,10.0,10.0,14.0,9.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,12.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0
>ENST00000419975.1,9.0,10.0,0.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,11.0,10.0,8.0,9.0,10.0,9.0,11.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,12.0,9.0
>ENST00000553912.1,11.0,10.0,9.0,0.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,8.0,12.0,9.0,9.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,13.0,9.0,9.0,9.0,8.0,8.0,14.0,12.0,9.0,9.0,7.0,7.0
>ENST00000603254.1,9.0,8.0,10.0,9.0,0.0,8.0,8.0,10.0,9.0,8.0,12.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,7.0,11.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,7.0,8.0,8.0,10.0,7.0,9.0,7.0,10.0,9.0,7.0
>ENST00000405812.2,10.0,12.0,10.0,11.0,8.0,0.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,10.0,10.0,11.0,7.0,10.0,9.0,8.0,9.0,10.0
>ENST00000395991.2,11.0,9.0,10.0,9.0,8.0,9.0,0.0,9.0,9.0,8.0,10.0,13.0,10.0,13.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,9.0,11.0,8.0,11.0,8.0,10.0,9.0,7.0,11.0,9.0,10.0,7.0,9.0,11.0,9.0,9.0,9.0
>ENST00000425270.1,10.0,12.0,10.0,10.0,10.0,9.0,9.0,0.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0
>ENST00000415560.1,9.0,11.0,8.0,9.0,9.0,9.0,9.0,11.0,0.0,12.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,13.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,6.0,9.0,12.0,12.0,9.0,15.0,10.0,13.0,10.0,10.0
>ENST00000556806.1,7.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,12.0,0.0,9.0,7.0,8.0,9.0,8.0,9.0,10.0,7.0,8.0,7.0,8.0,9.0,11.0,8.0,8.0,7.0,7.0,9.0,9.0,8.0,10.0,8.0,6.0,7.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0
