,>ENST00000531766.1,ENSG00000201026.1,>ENST00000532126.1,>ENST00000436459.2,>ENST00000599858.1,>ENST00000440334.2,>ENST00000440699.1,ENSG00000183598.3,>ENST00000613113.4,>ENST00000603375.1,>ENST00000446445.1,>ENST00000622839.1,>ENST00000401481.2,>ENST00000432891.2,>ENST00000424905.1,>ENST00000604941.3,>ENST00000612362.1,>ENST00000449110.1,>ENST00000433842.1,>ENST00000446770.1,>ENST00000508367.2,>ENST00000477929.2,>ENST00000492855.1,>ENST00000488067.1,>ENST00000437890.1,>ENST00000457653.7,>ENST00000534608.1,>ENST00000433311.2,>ENST00000471647.1,>ENST00000461606.1,>ENST00000432315.1,>ENST00000451854.1,>ENST00000468834.1,>ENST00000412333.1,>ENST00000457642.1,>ENST00000567049.3,>ENST00000511723.2,>ENST00000435385.1,>ENST00000507617.1,>ENST00000482222.1,>ENST00000615578.1,>ENST00000527480.1,>ENST00000421941.1,ENSG00000206756.1,>ENST00000454886.1,>ENST00000402154.1,>ENST00000454959.1,>ENST00000591314.1,>ENST00000419438.1,>ENST00000530974.1,>ENST00000509390.1
>ENST00000531766.1,0.0,8.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,7.0,9.0,12.0,10.0,12.0,13.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,13.0,9.0,11.0,10.0,10.0
ENSG00000201026.1,8.0,0.0,8.0,8.0,9.0,7.0,8.0,7.0,10.0,8.0,7.0,8.0,7.0,6.0,9.0,6.0,6.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,12.0,8.0,7.0,7.0,8.0,8.0,9.0,10.0,8.0,6.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,7.0,9.0,6.0,9.0,8.0,9.0,5.0,9.0
>ENST00000532126.1,10.0,8.0,0.0,12.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0,12.0,10.0,10.0,10.0,8.0,12.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0
>ENST00000436459.2,11.0,8.0,12.0,0.0,12.0,10.0,9.0,14.0,12.0,10.0,10.0,8.0,9.0,11.0,10.0,12.0,9.0,9.0,11.0,8.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,11.0,11.0,11.0,9.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,12.0,10.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,10.0
>ENST00000599858.1,10.0,9.0,9.0,12.0,0.0,10.0,11.0,9.0,10.0,10.0,9.0,7.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,14.0,12.0,10.0,9.0,9.0,15.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,12.0,9.0,9.0,10.0,11.0,9.0,12.0,9.0,10.0,12.0,10.0,12.0,10.0,11.0,9.0,10.0,13.0,10.0
>ENST00000440334.2,11.0,7.0,9.0,10.0,10.0,0.0,9.0,10.0,11.0,9.0,10.0,8.0,7.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,11.0,10.0,9.0,11.0,7.0,9.0,9.0,8.0,10.0,8.0,11.0,9.0,8.0,11.0,10.0,11.0,9.0,11.0,9.0,9.0
>ENST00000440699.1,10.0,8.0,10.0,9.0,11.0,9.0,0.0,8.0,11.0,10.0,9.0,8.0,11.0,9.0,10.0,11.0,9.0,9.0,11.0,8.0,10.0,11.0,9.0,10.0,8.0,14.0,8.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,11.0,8.0,11.0,9.0,9.0,12.0,9.0,10.0,13.0,7.0,10.0,12.0,10.0,10.0,10.0,8.0,9.0
ENSG00000183598.3,9.0,7.0,8.0,14.0,9.0,10.0,8.0,0.0,9.0,10.0,10.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,12.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,13.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,12.0,8.0,12.0,9.0,6.0,11.0,11.0,10.0,7.0,8.0,7.0,8.0
>ENST00000613113.4,9.0,10.0,8.0,12.0,10.0,11.0,11.0,9.0,0.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,11.0,8.0,10.0,9.0,9.0,11.0,11.0,12.0,12.0,11.0,8.0,11.0,11.0,10.0,10.0,9.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
>ENST00000603375.1,10.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,0.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0
>ENST00000446445.1,9.0,7.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,0.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,11.0,10.0,12.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,10.0,9.0,6.0,8.0,9.0,10.0,11.0,10.0,8.0,10.0
>ENST00000622839.1,8.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,0.0,8.0,7.0,7.0,13.0,7.0,6.0,8.0,7.0,9.0,11.0,8.0,7.0,7.0,10.0,8.0,7.0,7.0,8.0,9.0,10.0,7.0,8.0,7.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,9.0,7.0,9.0,8.0,10.0,7.0,8.0,9.0,7.0
>ENST00000401481.2,8.0,7.0,8.0,9.0,9.0,7.0,11.0,8.0,9.0,10.0,9.0,8.0,0.0,8.0,11.0,8.0,6.0,7.0,9.0,7.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,8.0,11.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,8.0,11.0,9.0,10.0,9.0,7.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0
>ENST00000432891.2,9.0,6.0,9.0,11.0,10.0,9.0,9.0,7.0,10.0,9.0,8.0,7.0,8.0,0.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,7.0,7.0,10.0,9.0,9.0,10.0,10.0,7.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0
>ENST00000424905.1,10.0,9.0,10.0,10.0,9.0,9.0,10.0,7.0,9.0,10.0,8.0,7.0,11.0,8.0,0.0,10.0,8.0,7.0,9.0,11.0,11.0,9.0,8.0,12.0,8.0,12.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,11.0,7.0,8.0,8.0,38.0
>ENST00000604941.3,10.0,6.0,10.0,12.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,13.0,8.0,9.0,10.0,0.0,9.0,10.0,11.0,8.0,11.0,13.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,12.0,8.0,8.0,9.0,8.0,9.0,11.0,10.0,10.0,9.0,6.0,9.0,10.0,11.0,8.0,9.0,8.0,9.0
>ENST00000612362.1,7.0,6.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,7.0,6.0,9.0,8.0,9.0,0.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,8.0,9.0,7.0,11.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,10.0,7.0
>ENST00000449110.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,6.0,7.0,8.0,7.0,10.0,7.0,0.0,10.0,8.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0
>ENST00000433842.1,12.0,8.0,10.0,11.0,9.0,12.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,11.0,8.0,10.0,0.0,8.0,12.0,10.0,9.0,9.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,12.0,10.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0
>ENST00000446770.1,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,7.0,7.0,8.0,11.0,8.0,9.0,8.0,8.0,0.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,7.0,8.0,11.0,8.0,8.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0
>ENST00000508367.2,12.0,7.0,10.0,10.0,14.0,9.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,11.0,9.0,8.0,12.0,10.0,0.0,9.0,10.0,9.0,10.0,12.0,14.0,11.0,9.0,11.0,10.0,11.0,11.0,12.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,8.0,9.0
>ENST00000477929.2,13.0,8.0,10.0,11.0,12.0,10.0,11.0,10.0,10.0,9.0,12.0,11.0,10.0,10.0,9.0,13.0,9.0,8.0,10.0,9.0,9.0,0.0,9.0,10.0,9.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,8.0,10.0
>ENST00000492855.1,10.0,8.0,11.0,10.0,10.0,9.0,9.0,8.0,11.0,10.0,11.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,0.0,11.0,9.0,11.0,11.0,12.0,11.0,9.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,11.0,8.0,10.0,10.0,9.0
>ENST00000488067.1,9.0,7.0,9.0,10.0,9.0,8.0,10.0,12.0,8.0,9.0,10.0,7.0,8.0,8.0,12.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,0.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,8.0,7.0,9.0,9.0,11.0,8.0,8.0,8.0,8.0
>ENST00000437890.1,9.0,7.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,11.0,11.0,7.0,8.0,10.0,8.0,8.0,8.0,11.0,11.0,8.0,10.0,9.0,9.0,9.0,0.0,11.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0
