,ENSG00000181693.7,>ENST00000444107.1,>ENST00000604330.1,>ENST00000519992.1,>ENST00000527532.1,>ENST00000616168.1,>ENST00000428821.1,>ENST00000603675.1,>ENST00000521828.1,>ENST00000531434.1,>ENST00000559033.1,>ENST00000546228.1,>ENST00000413921.1,>ENST00000605434.1,>ENST00000561757.2,>ENST00000597568.2,>ENST00000519573.1,>ENST00000551532.1,>ENST00000622243.1,>ENST00000425209.1,>ENST00000432567.1,>ENST00000504852.2,>ENST00000484016.1,>ENST00000454064.1,>ENST00000603120.1,>ENST00000452488.1,>ENST00000603531.1,>ENST00000414888.1,>ENST00000557548.1
ENSG00000181693.7,0.0,10.0,8.0,8.0,12.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0
>ENST00000444107.1,10.0,0.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,13.0,8.0,10.0,11.0,11.0,9.0,10.0,9.0,11.0,10.0,15.0,10.0,10.0,9.0
>ENST00000604330.1,8.0,10.0,0.0,7.0,7.0,9.0,10.0,9.0,8.0,7.0,9.0,10.0,9.0,15.0,8.0,12.0,7.0,10.0,7.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,7.0,9.0,7.0
>ENST00000519992.1,8.0,9.0,7.0,0.0,7.0,10.0,10.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0,8.0,7.0,7.0,10.0,7.0,10.0,11.0,11.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0
>ENST00000527532.1,12.0,8.0,7.0,7.0,0.0,8.0,9.0,7.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,6.0,10.0,8.0,10.0,9.0,10.0,9.0,7.0,11.0,9.0,9.0,11.0,8.0
>ENST00000616168.1,11.0,9.0,9.0,10.0,8.0,0.0,11.0,11.0,11.0,8.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0
>ENST00000428821.1,10.0,9.0,10.0,10.0,9.0,11.0,0.0,11.0,10.0,9.0,10.0,10.0,12.0,10.0,8.0,14.0,11.0,12.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,9.0,8.0
>ENST00000603675.1,10.0,10.0,9.0,8.0,7.0,11.0,11.0,0.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,13.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0
>ENST00000521828.1,10.0,9.0,8.0,8.0,10.0,11.0,10.0,9.0,0.0,8.0,10.0,8.0,9.0,11.0,8.0,9.0,8.0,12.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,7.0,10.0,8.0
>ENST00000531434.1,9.0,10.0,7.0,9.0,8.0,8.0,9.0,10.0,8.0,0.0,8.0,8.0,9.0,8.0,9.0,10.0,7.0,9.0,7.0,7.0,10.0,10.0,9.0,7.0,8.0,9.0,10.0,10.0,8.0
>ENST00000559033.1,9.0,12.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,0.0,11.0,12.0,10.0,10.0,10.0,8.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,8.0,10.0,12.0,9.0,10.0
>ENST00000546228.1,10.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,11.0,0.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0
>ENST00000413921.1,12.0,10.0,9.0,10.0,9.0,11.0,12.0,10.0,9.0,9.0,12.0,10.0,0.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,8.0,10.0,14.0,9.0,9.0,10.0,10.0,12.0,12.0
>ENST00000605434.1,10.0,10.0,15.0,8.0,9.0,10.0,10.0,9.0,11.0,8.0,10.0,10.0,12.0,0.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,13.0,11.0,11.0,11.0,11.0,9.0,12.0,10.0
>ENST00000561757.2,9.0,10.0,8.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,10.0,9.0,11.0,9.0,0.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,7.0,11.0,9.0,9.0,9.0,10.0
>ENST00000597568.2,10.0,13.0,12.0,7.0,10.0,8.0,14.0,13.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,0.0,9.0,9.0,10.0,10.0,11.0,12.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0
>ENST00000519573.1,9.0,8.0,7.0,7.0,6.0,9.0,11.0,10.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,9.0,0.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0
>ENST00000551532.1,10.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,12.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,0.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0
>ENST00000622243.1,9.0,11.0,7.0,7.0,8.0,10.0,11.0,9.0,9.0,7.0,9.0,9.0,11.0,10.0,8.0,10.0,8.0,9.0,0.0,10.0,10.0,10.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0
>ENST00000425209.1,10.0,11.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,7.0,11.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,0.0,10.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,9.0
>ENST00000432567.1,10.0,9.0,8.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,0.0,13.0,10.0,9.0,10.0,8.0,10.0,8.0,10.0
>ENST00000504852.2,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,10.0,12.0,9.0,11.0,10.0,11.0,13.0,0.0,10.0,9.0,10.0,10.0,10.0,11.0,12.0
>ENST00000484016.1,11.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,14.0,11.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0,10.0,0.0,8.0,11.0,9.0,9.0,11.0,9.0
>ENST00000454064.1,9.0,11.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,11.0,7.0,10.0,8.0,11.0,7.0,11.0,9.0,9.0,8.0,0.0,8.0,9.0,8.0,8.0,8.0
>ENST00000603120.1,10.0,10.0,8.0,10.0,11.0,9.0,10.0,10.0,11.0,8.0,8.0,8.0,9.0,11.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,8.0,0.0,9.0,10.0,9.0,9.0
>ENST00000452488.1,9.0,15.0,9.0,9.0,9.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,0.0,7.0,12.0,10.0
>ENST00000603531.1,10.0,10.0,7.0,10.0,9.0,9.0,12.0,8.0,7.0,10.0,12.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,7.0,0.0,9.0,8.0
>ENST00000414888.1,10.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,12.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,11.0,11.0,8.0,9.0,12.0,9.0,0.0,9.0
