,ENSG00000007038.10,>ENST00000506382.1,>ENST00000429873.1,>ENST00000437295.1,>ENST00000414951.2,>ENST00000416196.1,>ENST00000478335.1,>ENST00000262499.5,ENSG00000252288.1,>ENST00000621430.1,>ENST00000557561.2,ENSG00000201443.1,>ENST00000405336.1,>ENST00000418670.1,>ENST00000427567.1,>ENST00000455434.1,>ENST00000590792.1,ENSG00000252464.1,>ENST00000577902.5,>ENST00000575007.1
ENSG00000007038.10,0.0,10.0,11.0,11.0,11.0,11.0,12.0,11.0,10.0,10.0,14.0,10.0,13.0,12.0,13.0,10.0,11.0,11.0,12.0,12.0
>ENST00000506382.1,10.0,0.0,7.0,8.0,7.0,7.0,11.0,8.0,7.0,9.0,10.0,7.0,7.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0
>ENST00000429873.1,11.0,7.0,0.0,9.0,9.0,8.0,9.0,11.0,7.0,7.0,8.0,6.0,10.0,9.0,8.0,7.0,8.0,7.0,11.0,9.0
>ENST00000437295.1,11.0,8.0,9.0,0.0,10.0,9.0,9.0,10.0,8.0,11.0,11.0,8.0,9.0,11.0,8.0,9.0,11.0,8.0,12.0,9.0
>ENST00000414951.2,11.0,7.0,9.0,10.0,0.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0
>ENST00000416196.1,11.0,7.0,8.0,9.0,7.0,0.0,7.0,7.0,7.0,8.0,8.0,5.0,7.0,10.0,8.0,8.0,7.0,6.0,11.0,7.0
>ENST00000478335.1,12.0,11.0,9.0,9.0,9.0,7.0,0.0,8.0,8.0,9.0,10.0,8.0,13.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0
>ENST00000262499.5,11.0,8.0,11.0,10.0,8.0,7.0,8.0,0.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,6.0,12.0,8.0
ENSG00000252288.1,10.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,0.0,7.0,7.0,27.0,6.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0
>ENST00000621430.1,10.0,9.0,7.0,11.0,8.0,8.0,9.0,8.0,7.0,0.0,10.0,8.0,8.0,9.0,11.0,8.0,8.0,9.0,9.0,8.0
>ENST00000557561.2,14.0,10.0,8.0,11.0,9.0,8.0,10.0,8.0,7.0,10.0,0.0,8.0,8.0,12.0,8.0,9.0,8.0,10.0,10.0,11.0
ENSG00000201443.1,10.0,7.0,6.0,8.0,8.0,5.0,8.0,8.0,27.0,8.0,8.0,0.0,8.0,10.0,6.0,7.0,8.0,6.0,7.0,8.0
>ENST00000405336.1,13.0,7.0,10.0,9.0,9.0,7.0,13.0,8.0,6.0,8.0,8.0,8.0,0.0,12.0,7.0,10.0,8.0,10.0,10.0,9.0
>ENST00000418670.1,12.0,9.0,9.0,11.0,10.0,10.0,9.0,8.0,8.0,9.0,12.0,10.0,12.0,0.0,7.0,8.0,9.0,8.0,10.0,9.0
>ENST00000427567.1,13.0,7.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,11.0,8.0,6.0,7.0,7.0,0.0,8.0,7.0,7.0,11.0,7.0
>ENST00000455434.1,10.0,8.0,7.0,9.0,10.0,8.0,9.0,9.0,7.0,8.0,9.0,7.0,10.0,8.0,8.0,0.0,8.0,6.0,11.0,9.0
>ENST00000590792.1,11.0,8.0,8.0,11.0,9.0,7.0,10.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,0.0,9.0,11.0,9.0
ENSG00000252464.1,11.0,7.0,7.0,8.0,8.0,6.0,10.0,6.0,7.0,9.0,10.0,6.0,10.0,8.0,7.0,6.0,9.0,0.0,8.0,8.0
>ENST00000577902.5,12.0,9.0,11.0,12.0,11.0,11.0,10.0,12.0,9.0,9.0,10.0,7.0,10.0,10.0,11.0,11.0,11.0,8.0,0.0,10.0
>ENST00000575007.1,12.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,8.0,8.0,11.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0,0.0
