,>ENST00000559135.1,>ENST00000452458.1,>ENST00000474680.5,>ENST00000457473.1,>ENST00000589783.1,ENSG00000152086.8,>ENST00000558776.1,>ENST00000422184.1,>ENST00000423038.1,>ENST00000476786.1,>ENST00000441025.1,>ENST00000502642.1,>ENST00000416968.1,>ENST00000469983.2,>ENST00000605356.1,>ENST00000605137.1,>ENST00000437424.1,>ENST00000503819.1,>ENST00000610471.1,>ENST00000544148.1,>ENST00000610942.1,>ENST00000433910.1,>ENST00000468671.1,>ENST00000549824.1,>ENST00000411737.2,>ENST00000464192.1,>ENST00000514289.5,>ENST00000437876.1,>ENST00000515618.1,>ENST00000455206.1,>ENST00000604003.1
>ENST00000559135.1,0.0,8.0,12.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,7.0,11.0,12.0,9.0,10.0,10.0,9.0,13.0,11.0,10.0,9.0,9.0,9.0
>ENST00000452458.1,8.0,0.0,9.0,9.0,10.0,12.0,9.0,9.0,8.0,8.0,7.0,7.0,10.0,8.0,10.0,8.0,7.0,10.0,6.0,8.0,13.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,8.0,8.0
>ENST00000474680.5,12.0,9.0,0.0,10.0,11.0,12.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,13.0,9.0,10.0,10.0,11.0
>ENST00000457473.1,9.0,9.0,10.0,0.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,8.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,7.0,11.0,9.0,11.0,8.0,7.0,9.0
>ENST00000589783.1,9.0,10.0,11.0,9.0,0.0,13.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,16.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0
ENSG00000152086.8,11.0,12.0,12.0,10.0,13.0,0.0,10.0,10.0,12.0,11.0,9.0,10.0,12.0,12.0,12.0,11.0,9.0,11.0,10.0,11.0,9.0,12.0,13.0,15.0,10.0,13.0,12.0,10.0,10.0,10.0,11.0
>ENST00000558776.1,8.0,9.0,10.0,9.0,10.0,10.0,0.0,7.0,10.0,7.0,11.0,12.0,8.0,8.0,9.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,11.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0
>ENST00000422184.1,8.0,9.0,8.0,7.0,9.0,10.0,7.0,0.0,7.0,10.0,7.0,8.0,9.0,7.0,9.0,8.0,7.0,11.0,5.0,9.0,10.0,12.0,8.0,9.0,8.0,9.0,9.0,11.0,8.0,10.0,8.0
>ENST00000423038.1,9.0,8.0,10.0,8.0,9.0,12.0,10.0,7.0,0.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,11.0,7.0,9.0,8.0,10.0,9.0,10.0,8.0,12.0,9.0,8.0,8.0,9.0,9.0
>ENST00000476786.1,9.0,8.0,11.0,9.0,9.0,11.0,7.0,10.0,8.0,0.0,8.0,10.0,8.0,7.0,8.0,8.0,7.0,10.0,7.0,8.0,8.0,11.0,9.0,8.0,8.0,11.0,10.0,10.0,8.0,8.0,7.0
>ENST00000441025.1,9.0,7.0,10.0,7.0,10.0,9.0,11.0,7.0,8.0,8.0,0.0,7.0,7.0,10.0,8.0,8.0,6.0,8.0,6.0,8.0,9.0,8.0,8.0,8.0,7.0,10.0,9.0,8.0,10.0,9.0,7.0
>ENST00000502642.1,10.0,7.0,10.0,8.0,8.0,10.0,12.0,8.0,9.0,10.0,7.0,0.0,11.0,8.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0
