,>ENST00000429380.1,>ENST00000498198.2,>ENST00000522748.1,>ENST00000507284.2,>ENST00000454986.1,>ENST00000619504.1,>ENST00000557756.1,>ENST00000400027.3,>ENST00000414123.1,>ENST00000430646.1,>ENST00000548666.1,>ENST00000482189.1,>ENST00000393351.3,>ENST00000427601.1,>ENST00000347911.5,>ENST00000614827.1,>ENST00000442955.2,>ENST00000452524.1,ENSG00000207109.1,>ENST00000621765.1,>ENST00000565828.1,ENSG00000277793.1,>ENST00000545592.1,>ENST00000556211.1,>ENST00000604593.1,>ENST00000415804.2,>ENST00000395675.4,>ENST00000428233.1,>ENST00000507684.1,>ENST00000460492.1,>ENST00000545950.1,>ENST00000426679.1,>ENST00000358464.9,>ENST00000486612.1,>ENST00000417053.2,>ENST00000527351.1,>ENST00000454384.1,>ENST00000422772.1,>ENST00000413723.1,>ENST00000527448.1,>ENST00000622195.1,>ENST00000435868.1,>ENST00000514722.1,>ENST00000443295.1,>ENST00000613288.1,>ENST00000528297.1,>ENST00000447108.1,>ENST00000436229.2,>ENST00000443431.1
>ENST00000429380.1,0.0,8.0,10.0,13.0,10.0,10.0,9.0,8.0,8.0,8.0,11.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,7.0,8.0,10.0,7.0,9.0,11.0,10.0,8.0,7.0,8.0,8.0,10.0,8.0,11.0,9.0,8.0,12.0,7.0,8.0,8.0,10.0,7.0,9.0,8.0,9.0,8.0,7.0,8.0
>ENST00000498198.2,8.0,0.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,7.0,10.0,8.0,7.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,11.0,8.0,11.0,11.0,10.0,8.0,8.0,11.0,8.0,9.0,7.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0
>ENST00000522748.1,10.0,8.0,0.0,10.0,13.0,8.0,9.0,9.0,9.0,11.0,10.0,9.0,12.0,8.0,8.0,8.0,10.0,8.0,7.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0
>ENST00000507284.2,13.0,10.0,10.0,0.0,11.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,11.0,11.0,9.0,11.0,10.0,8.0,12.0,11.0,8.0,11.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0,8.0,11.0,11.0,12.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,12.0,9.0,10.0,11.0,10.0,9.0,9.0
>ENST00000454986.1,10.0,9.0,13.0,11.0,0.0,8.0,9.0,10.0,10.0,11.0,9.0,11.0,10.0,11.0,10.0,9.0,11.0,9.0,7.0,10.0,9.0,7.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,10.0,11.0
>ENST00000619504.1,10.0,9.0,8.0,9.0,8.0,0.0,10.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,11.0,10.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,7.0,10.0,10.0,10.0,8.0,7.0,8.0,9.0,10.0,8.0,7.0
>ENST00000557756.1,9.0,10.0,9.0,10.0,9.0,10.0,0.0,8.0,10.0,10.0,11.0,10.0,9.0,7.0,8.0,10.0,13.0,7.0,7.0,8.0,10.0,7.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,11.0
>ENST00000400027.3,8.0,8.0,9.0,10.0,10.0,8.0,8.0,0.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,12.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,12.0,9.0,23.0,8.0,11.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0
>ENST00000414123.1,8.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,0.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,12.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,11.0,8.0,9.0,8.0,11.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0
>ENST00000430646.1,8.0,9.0,11.0,11.0,11.0,9.0,10.0,10.0,10.0,0.0,8.0,9.0,8.0,7.0,8.0,9.0,10.0,8.0,7.0,9.0,8.0,6.0,9.0,9.0,7.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,11.0,10.0,9.0,8.0
