,>ENST00000482139.1,>ENST00000523778.1,>ENST00000503460.1,>ENST00000521862.1,>ENST00000433806.1,>ENST00000404210.4,>ENST00000484381.1,>ENST00000441241.1,>ENST00000512226.1,>ENST00000554984.2,>ENST00000320371.6,>ENST00000444809.1,>ENST00000452108.1,ENSG00000200431.1,>ENST00000339579.5,ENSG00000144362.11,>ENST00000521543.1,>ENST00000507445.2,>ENST00000434454.1,>ENST00000604799.1,>ENST00000519497.1,>ENST00000498809.1,>ENST00000603334.1,>ENST00000502804.2,>ENST00000571250.1,>ENST00000454281.1,>ENST00000534535.1,>ENST00000444170.1,>ENST00000525272.1,>ENST00000546909.2,ENSG00000274860.1,>ENST00000603391.1,>ENST00000616045.1,>ENST00000435236.2,>ENST00000557241.1,>ENST00000604350.1,ENSG00000223510.6,>ENST00000608051.1
>ENST00000482139.1,0.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,7.0,7.0,9.0,11.0,7.0,10.0,11.0,7.0,10.0,9.0,9.0,6.0,12.0,7.0,8.0,8.0,9.0,7.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0
>ENST00000523778.1,9.0,0.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0,10.0,11.0,11.0,8.0,11.0,13.0,11.0,12.0,11.0,9.0,11.0,13.0,11.0,8.0,11.0,9.0,11.0,13.0,11.0,9.0,10.0,10.0,10.0,11.0,11.0,8.0,11.0,10.0
>ENST00000503460.1,9.0,10.0,0.0,9.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,9.0,9.0,13.0,9.0,10.0,10.0,8.0,10.0,9.0
>ENST00000521862.1,9.0,11.0,9.0,0.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,7.0,8.0,12.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,8.0,12.0,7.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0
>ENST00000433806.1,10.0,10.0,9.0,10.0,0.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,10.0,13.0,8.0,13.0,11.0,8.0,11.0,9.0,10.0,6.0,9.0,8.0,11.0,12.0,10.0,7.0,9.0,8.0,10.0,10.0,11.0,8.0,9.0,10.0
>ENST00000404210.4,9.0,10.0,10.0,9.0,8.0,0.0,9.0,10.0,9.0,7.0,9.0,10.0,7.0,8.0,8.0,14.0,7.0,11.0,9.0,7.0,11.0,10.0,10.0,10.0,11.0,8.0,11.0,11.0,10.0,11.0,11.0,9.0,9.0,11.0,10.0,8.0,11.0,10.0
>ENST00000484381.1,8.0,11.0,9.0,9.0,9.0,9.0,0.0,8.0,7.0,8.0,10.0,10.0,9.0,7.0,9.0,12.0,8.0,9.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,9.0,11.0,8.0,10.0,7.0,8.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0
>ENST00000441241.1,10.0,11.0,11.0,9.0,9.0,10.0,8.0,0.0,11.0,11.0,8.0,10.0,8.0,9.0,8.0,12.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,12.0,8.0,12.0,12.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,7.0,9.0,9.0
>ENST00000512226.1,9.0,9.0,9.0,9.0,10.0,9.0,7.0,11.0,0.0,8.0,8.0,10.0,11.0,8.0,10.0,13.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,7.0,7.0,8.0,8.0,11.0,9.0,8.0,10.0,8.0
>ENST00000554984.2,8.0,9.0,11.0,8.0,8.0,7.0,8.0,11.0,8.0,0.0,9.0,9.0,8.0,7.0,7.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0
>ENST00000320371.6,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,0.0,11.0,9.0,8.0,8.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0
>ENST00000444809.1,9.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,0.0,9.0,7.0,12.0,11.0,8.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,8.0,13.0,10.0,9.0,9.0,12.0,11.0
>ENST00000452108.1,7.0,11.0,9.0,9.0,9.0,7.0,9.0,8.0,11.0,8.0,9.0,9.0,0.0,6.0,7.0,11.0,9.0,9.0,8.0,7.0,10.0,13.0,9.0,11.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,7.0,9.0,9.0
ENSG00000200431.1,7.0,8.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,8.0,7.0,6.0,0.0,7.0,10.0,7.0,8.0,8.0,8.0,10.0,9.0,10.0,7.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,10.0,9.0
>ENST00000339579.5,9.0,11.0,9.0,8.0,10.0,8.0,9.0,8.0,10.0,7.0,8.0,12.0,7.0,7.0,0.0,11.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,7.0,9.0,11.0,10.0,12.0,8.0,8.0
ENSG00000144362.11,11.0,13.0,11.0,12.0,13.0,14.0,12.0,12.0,13.0,10.0,11.0,11.0,11.0,10.0,11.0,0.0,11.0,11.0,10.0,11.0,13.0,10.0,12.0,10.0,11.0,9.0,12.0,13.0,12.0,10.0,102.0,12.0,12.0,12.0,10.0,13.0,12.0,23.0
>ENST00000521543.1,7.0,11.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,11.0,0.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,12.0,7.0,8.0,7.0,8.0,10.0,9.0,7.0,10.0,8.0
