,>ENST00000457911.1,>ENST00000342609.6,ENSG00000239625.3
>ENST00000457911.1,0.0,10.0,9.0
>ENST00000342609.6,10.0,0.0,10.0
ENSG00000239625.3,9.0,10.0,0.0
