,>ENST00000423374.2,>ENST00000603868.1,>ENST00000441884.1,>ENST00000428990.1,>ENST00000586535.1,>ENST00000401075.3,>ENST00000411777.1,>ENST00000417061.2,>ENST00000427668.1,>ENST00000440996.1,>ENST00000437021.1,>ENST00000465478.1,>ENST00000503630.1,>ENST00000472805.1,>ENST00000436725.1,>ENST00000590384.1,>ENST00000417964.2,ENSG00000241174.3,>ENST00000523028.5,>ENST00000519180.1,>ENST00000424795.2,ENSG00000266083.1,>ENST00000458731.1,>ENST00000447794.1,>ENST00000455360.2,>ENST00000441872.2,>ENST00000589141.1,>ENST00000513004.1,>ENST00000392855.2,>ENST00000604913.1,>ENST00000507498.2,>ENST00000604328.1,>ENST00000451224.1,>ENST00000596823.1,>ENST00000419476.2,>ENST00000403549.1,>ENST00000553667.1,ENSG00000200283.1,>ENST00000434991.1,>ENST00000417340.1,>ENST00000611767.1,>ENST00000407959.1,>ENST00000452686.2,>ENST00000445173.1,>ENST00000509020.2,>ENST00000586289.1,>ENST00000366273.3,>ENST00000457708.1
>ENST00000423374.2,0.0,9.0,8.0,8.0,8.0,10.0,7.0,13.0,10.0,8.0,8.0,7.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,7.0,10.0,9.0,8.0,11.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,12.0,7.0,8.0,8.0,9.0,8.0,10.0,8.0,11.0,9.0,8.0,8.0
>ENST00000603868.1,9.0,0.0,8.0,12.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,10.0,13.0,10.0,8.0,9.0,11.0,11.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,12.0,10.0,9.0,12.0,11.0,10.0,11.0,11.0,8.0,11.0,13.0,10.0,10.0,13.0,11.0,10.0,9.0,11.0,9.0
>ENST00000441884.1,8.0,8.0,0.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,13.0,9.0,9.0,6.0,8.0,12.0,7.0,8.0,6.0,8.0,7.0,8.0,6.0,7.0,10.0,10.0,11.0,7.0,9.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,8.0,10.0
>ENST00000428990.1,8.0,12.0,9.0,0.0,10.0,10.0,8.0,8.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,10.0,8.0,10.0,7.0,12.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,12.0,6.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0
>ENST00000586535.1,8.0,10.0,8.0,10.0,0.0,12.0,10.0,9.0,12.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,11.0,8.0,8.0,8.0,14.0,10.0,7.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000401075.3,10.0,10.0,8.0,10.0,12.0,0.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0,12.0,9.0,8.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,8.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,9.0
>ENST00000411777.1,7.0,9.0,7.0,8.0,10.0,9.0,0.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,7.0,10.0,9.0,8.0,7.0,12.0,9.0,7.0,9.0,7.0,9.0,7.0,10.0,8.0,7.0,10.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,7.0
>ENST00000417061.2,13.0,9.0,7.0,8.0,9.0,9.0,9.0,0.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,12.0,9.0,12.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,6.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,12.0
>ENST00000427668.1,10.0,11.0,8.0,10.0,12.0,11.0,8.0,9.0,0.0,11.0,10.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,8.0,10.0,12.0,13.0,10.0,8.0,10.0,10.0,14.0,8.0,10.0,10.0,13.0,10.0,10.0,11.0,8.0,11.0,10.0,11.0,11.0,11.0,13.0,10.0,10.0,11.0,13.0
>ENST00000440996.1,8.0,9.0,8.0,7.0,10.0,9.0,8.0,9.0,11.0,0.0,6.0,9.0,8.0,11.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,6.0,8.0,11.0,7.0,8.0,8.0,7.0,7.0,8.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,9.0,8.0,7.0,8.0
