,>ENST00000527402.1,>ENST00000435088.1,>ENST00000440433.1,>ENST00000564073.1,>ENST00000622730.1,>ENST00000526452.2,>ENST00000530367.5,>ENST00000467573.1,>ENST00000524415.1,ENSG00000212325.1,>ENST00000590415.1,>ENST00000615594.1,>ENST00000454624.1,ENSG00000221347.1,>ENST00000623044.1,>ENST00000412782.2,>ENST00000450317.1,>ENST00000603082.1,>ENST00000554199.1,>ENST00000498629.1,>ENST00000529557.1,>ENST00000404247.1,>ENST00000480072.1,>ENST00000414425.2,>ENST00000419698.1,>ENST00000449029.1,>ENST00000603958.1,>ENST00000454983.1,>ENST00000434820.1,>ENST00000604143.1,>ENST00000470049.2,>ENST00000444831.1,ENSG00000221536.1,>ENST00000560956.1,>ENST00000603683.1,>ENST00000448435.2,>ENST00000634818.1,>ENST00000605785.1,>ENST00000559466.1,>ENST00000508655.2
>ENST00000527402.1,0.0,8.0,9.0,12.0,8.0,27.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,7.0,8.0,10.0,9.0,8.0,9.0,10.0,11.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0
>ENST00000435088.1,8.0,0.0,9.0,9.0,8.0,10.0,9.0,8.0,11.0,7.0,8.0,8.0,8.0,7.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,6.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0
>ENST00000440433.1,9.0,9.0,0.0,11.0,10.0,10.0,13.0,11.0,13.0,8.0,10.0,8.0,9.0,9.0,10.0,11.0,9.0,7.0,10.0,8.0,11.0,10.0,10.0,12.0,11.0,24.0,10.0,9.0,10.0,9.0,10.0,9.0,7.0,10.0,11.0,9.0,11.0,11.0,12.0,12.0
>ENST00000564073.1,12.0,9.0,11.0,0.0,8.0,12.0,10.0,10.0,9.0,7.0,12.0,7.0,9.0,7.0,8.0,12.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0,12.0,14.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,11.0,10.0,9.0,8.0,11.0,10.0,11.0
>ENST00000622730.1,8.0,8.0,10.0,8.0,0.0,10.0,9.0,9.0,9.0,6.0,10.0,6.0,8.0,6.0,6.0,7.0,8.0,5.0,8.0,6.0,7.0,7.0,8.0,13.0,8.0,8.0,7.0,7.0,7.0,6.0,9.0,7.0,5.0,10.0,9.0,7.0,8.0,8.0,8.0,10.0
>ENST00000526452.2,27.0,10.0,10.0,12.0,10.0,0.0,10.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,10.0,13.0,10.0,10.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,7.0,11.0,7.0,10.0,8.0,10.0,11.0,11.0
>ENST00000530367.5,10.0,9.0,13.0,10.0,9.0,10.0,0.0,10.0,10.0,8.0,11.0,8.0,8.0,7.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,8.0,14.0,11.0,9.0,11.0,9.0,11.0,8.0,9.0,12.0,7.0,12.0,9.0,10.0,8.0,10.0,11.0,10.0
>ENST00000467573.1,9.0,8.0,11.0,10.0,9.0,11.0,10.0,0.0,8.0,8.0,8.0,7.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,10.0,8.0,8.0,13.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,13.0,10.0,8.0,10.0
>ENST00000524415.1,9.0,11.0,13.0,9.0,9.0,9.0,10.0,8.0,0.0,7.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,8.0,10.0,11.0,9.0,9.0,7.0,10.0,9.0,9.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0
ENSG00000212325.1,9.0,7.0,8.0,7.0,6.0,8.0,8.0,8.0,7.0,0.0,8.0,6.0,8.0,7.0,7.0,9.0,8.0,6.0,9.0,6.0,8.0,8.0,7.0,8.0,7.0,9.0,6.0,7.0,9.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,8.0,8.0,9.0
