,>ENST00000414726.1,>ENST00000519761.3,>ENST00000422486.1,ENSG00000014914.19,>ENST00000479221.1,>ENST00000534148.1,>ENST00000423543.1,>ENST00000444758.1,>ENST00000551910.1,>ENST00000438801.1,>ENST00000525732.2,>ENST00000432760.2,>ENST00000617623.1,>ENST00000604289.1,>ENST00000411999.1,>ENST00000438037.1,>ENST00000529793.1,ENSG00000186766.7
>ENST00000414726.1,0.0,8.0,11.0,10.0,11.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0
>ENST00000519761.3,8.0,0.0,9.0,10.0,9.0,10.0,11.0,12.0,7.0,10.0,9.0,12.0,9.0,11.0,11.0,9.0,9.0,10.0
>ENST00000422486.1,11.0,9.0,0.0,11.0,10.0,11.0,9.0,9.0,9.0,11.0,11.0,10.0,11.0,9.0,378.0,10.0,10.0,11.0
ENSG00000014914.19,10.0,10.0,11.0,0.0,12.0,11.0,11.0,11.0,10.0,12.0,12.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0
>ENST00000479221.1,11.0,9.0,10.0,12.0,0.0,9.0,9.0,10.0,7.0,15.0,10.0,11.0,8.0,8.0,11.0,9.0,9.0,11.0
>ENST00000534148.1,8.0,10.0,11.0,11.0,9.0,0.0,7.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0
>ENST00000423543.1,9.0,11.0,9.0,11.0,9.0,7.0,0.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,13.0
>ENST00000444758.1,9.0,12.0,9.0,11.0,10.0,9.0,11.0,0.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0
>ENST00000551910.1,8.0,7.0,9.0,10.0,7.0,9.0,8.0,9.0,0.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0
>ENST00000438801.1,8.0,10.0,11.0,12.0,15.0,8.0,10.0,10.0,9.0,0.0,10.0,9.0,9.0,8.0,10.0,13.0,9.0,11.0
>ENST00000525732.2,8.0,9.0,11.0,12.0,10.0,10.0,9.0,10.0,10.0,10.0,0.0,10.0,11.0,11.0,10.0,10.0,10.0,13.0
>ENST00000432760.2,10.0,12.0,10.0,12.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,0.0,11.0,11.0,11.0,8.0,10.0,10.0
>ENST00000617623.1,8.0,9.0,11.0,12.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,0.0,10.0,10.0,9.0,10.0,12.0
>ENST00000604289.1,8.0,11.0,9.0,11.0,8.0,8.0,10.0,10.0,9.0,8.0,11.0,11.0,10.0,0.0,10.0,10.0,11.0,9.0
>ENST00000411999.1,9.0,11.0,378.0,12.0,11.0,11.0,10.0,10.0,8.0,10.0,10.0,11.0,10.0,10.0,0.0,10.0,10.0,12.0
>ENST00000438037.1,10.0,9.0,10.0,11.0,9.0,10.0,8.0,10.0,9.0,13.0,10.0,8.0,9.0,10.0,10.0,0.0,10.0,11.0
>ENST00000529793.1,10.0,9.0,10.0,12.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,0.0,12.0
ENSG00000186766.7,10.0,10.0,11.0,12.0,11.0,10.0,13.0,12.0,9.0,11.0,13.0,10.0,12.0,9.0,12.0,11.0,12.0,0.0
