,>ENST00000455569.2,>ENST00000456501.1,>ENST00000574391.1,>ENST00000394682.2,>ENST00000401543.2,>ENST00000447049.1,>ENST00000477436.1,>ENST00000543613.1,>ENST00000407745.1,>ENST00000546565.1,>ENST00000618738.1,>ENST00000446972.1,>ENST00000591685.2,>ENST00000518581.1,>ENST00000487742.5,>ENST00000593736.5,>ENST00000518407.1,ENSG00000244091.1,>ENST00000402089.4,>ENST00000520120.1,>ENST00000455082.1,>ENST00000432948.1,>ENST00000620045.1,>ENST00000535964.1,>ENST00000437614.1,>ENST00000565888.1,>ENST00000511870.1,>ENST00000449310.1,>ENST00000404822.1,>ENST00000561866.1,>ENST00000423212.1,>ENST00000440850.5,>ENST00000449815.2,>ENST00000418882.2,>ENST00000553858.1,>ENST00000478577.1,>ENST00000603716.1,>ENST00000473923.1,>ENST00000465069.2,>ENST00000433042.1,>ENST00000454085.2,>ENST00000512363.2,>ENST00000545435.1,>ENST00000416765.1,>ENST00000407803.1,>ENST00000442741.1,>ENST00000452384.1,>ENST00000590609.1,>ENST00000343738.10,>ENST00000529722.1,>ENST00000604120.1,>ENST00000450430.1
>ENST00000455569.2,0.0,11.0,9.0,9.0,8.0,10.0,8.0,11.0,8.0,10.0,9.0,11.0,9.0,9.0,10.0,14.0,11.0,9.0,7.0,10.0,9.0,10.0,12.0,8.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,8.0,8.0,12.0,9.0,13.0,8.0,9.0,12.0,11.0,9.0,8.0,11.0,8.0,9.0,10.0,11.0,10.0,11.0
>ENST00000456501.1,11.0,0.0,11.0,7.0,7.0,8.0,8.0,10.0,8.0,13.0,10.0,11.0,12.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,8.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0
>ENST00000574391.1,9.0,11.0,0.0,6.0,9.0,8.0,11.0,10.0,7.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,11.0,7.0,9.0,9.0,8.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,7.0,12.0,8.0,9.0,10.0,8.0,7.0,10.0,10.0,10.0,8.0,10.0,11.0,8.0,8.0
>ENST00000394682.2,9.0,7.0,6.0,0.0,8.0,11.0,8.0,9.0,8.0,11.0,8.0,11.0,9.0,7.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,9.0,7.0,10.0,8.0,9.0,8.0,11.0,12.0,8.0,8.0
>ENST00000401543.2,8.0,7.0,9.0,8.0,0.0,8.0,6.0,7.0,8.0,9.0,9.0,8.0,9.0,7.0,10.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,11.0,8.0,8.0,10.0,8.0,7.0,7.0,9.0,9.0,10.0,8.0,7.0,7.0,8.0,9.0,10.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,8.0,10.0,8.0,8.0,8.0
>ENST00000447049.1,10.0,8.0,8.0,11.0,8.0,0.0,9.0,9.0,6.0,9.0,9.0,10.0,9.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,12.0,9.0,10.0,8.0,9.0,7.0,10.0,10.0,8.0,9.0,12.0,9.0,8.0,8.0,10.0,11.0,7.0,11.0
>ENST00000477436.1,8.0,8.0,11.0,8.0,6.0,9.0,0.0,9.0,7.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,7.0,10.0,8.0,7.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,7.0,8.0,8.0,11.0,9.0,8.0,10.0,9.0,11.0,9.0,12.0,7.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,11.0,9.0
>ENST00000543613.1,11.0,10.0,10.0,9.0,7.0,9.0,9.0,0.0,8.0,10.0,12.0,13.0,10.0,7.0,10.0,9.0,8.0,7.0,8.0,8.0,12.0,9.0,7.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,12.0,9.0,8.0,10.0,9.0,8.0,9.0,11.0,11.0,10.0,9.0,10.0
>ENST00000407745.1,8.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0,0.0,8.0,13.0,8.0,9.0,7.0,11.0,7.0,7.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,10.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,6.0,8.0,7.0,7.0,9.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0
>ENST00000546565.1,10.0,13.0,8.0,11.0,9.0,9.0,10.0,10.0,8.0,0.0,10.0,11.0,10.0,8.0,11.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,12.0,14.0,9.0,9.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,9.0,9.0
