,>ENST00000566120.1,>ENST00000529287.1,>ENST00000485777.1,>ENST00000435871.1,>ENST00000524828.1,>ENST00000479881.1,>ENST00000453852.2,>ENST00000454675.1,>ENST00000489539.1,>ENST00000469016.1,>ENST00000457507.1,>ENST00000474150.2,>ENST00000404707.2,>ENST00000550567.1,>ENST00000455248.1,>ENST00000604782.1,>ENST00000511549.1,>ENST00000548007.1,>ENST00000421137.2,>ENST00000520711.1,>ENST00000466683.2,>ENST00000494237.1,>ENST00000446798.1,>ENST00000588193.1,>ENST00000427513.2,>ENST00000402075.1,>ENST00000471089.5,>ENST00000402635.1,>ENST00000604449.1,>ENST00000538389.1,>ENST00000434711.1,>ENST00000530760.1,>ENST00000440683.1,>ENST00000436698.1,>ENST00000406098.2
>ENST00000566120.1,0.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,6.0,8.0,7.0,8.0,10.0,9.0,9.0,9.0,12.0,10.0,8.0,8.0,7.0
>ENST00000529287.1,8.0,0.0,10.0,10.0,10.0,9.0,7.0,7.0,9.0,7.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,10.0,8.0,8.0,11.0,8.0,7.0,7.0
>ENST00000485777.1,9.0,10.0,0.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0,14.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0
>ENST00000435871.1,9.0,10.0,9.0,0.0,11.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,11.0,10.0,9.0,13.0,11.0,10.0,11.0,9.0,8.0,8.0,7.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,6.0
>ENST00000524828.1,8.0,10.0,9.0,11.0,0.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0,11.0,9.0,11.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,12.0,8.0,9.0,12.0,8.0,9.0,9.0
>ENST00000479881.1,8.0,9.0,9.0,9.0,8.0,0.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,9.0
>ENST00000453852.2,8.0,7.0,9.0,9.0,10.0,9.0,0.0,7.0,9.0,7.0,8.0,8.0,9.0,11.0,12.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,57.0,9.0,8.0,7.0,8.0,11.0,9.0,7.0,9.0,9.0
>ENST00000454675.1,8.0,7.0,10.0,8.0,10.0,9.0,7.0,0.0,10.0,9.0,10.0,8.0,11.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,12.0,9.0,8.0,14.0,10.0,8.0,9.0
>ENST00000489539.1,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,9.0,10.0,9.0,11.0,11.0,15.0,11.0,9.0,12.0,10.0,11.0,10.0,10.0,13.0,10.0,10.0,12.0,11.0,9.0,12.0,9.0,10.0,13.0,11.0,9.0,10.0
>ENST00000469016.1,7.0,7.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,0.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,7.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0
>ENST00000457507.1,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,0.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,6.0,8.0,11.0,9.0,10.0,7.0
>ENST00000474150.2,7.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,0.0,10.0,9.0,8.0,10.0,7.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,7.0,7.0,10.0,7.0,7.0,9.0
>ENST00000404707.2,9.0,9.0,11.0,9.0,11.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,0.0,11.0,12.0,11.0,10.0,12.0,10.0,10.0,12.0,12.0,9.0,12.0,11.0,9.0,11.0,9.0,11.0,8.0,10.0,11.0,9.0,9.0,8.0
>ENST00000550567.1,8.0,11.0,10.0,10.0,9.0,8.0,11.0,9.0,11.0,8.0,9.0,9.0,11.0,0.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,13.0,9.0,10.0,7.0
