,>ENST00000605192.1,>ENST00000618111.1,>ENST00000556905.2,>ENST00000426405.1,>ENST00000525853.1,>ENST00000503270.2,>ENST00000484500.5,>ENST00000511202.1,>ENST00000553572.2,>ENST00000555315.1,>ENST00000622095.1,>ENST00000435277.1,>ENST00000465400.1,>ENST00000442517.2,>ENST00000528365.1,>ENST00000532859.1,>ENST00000584680.1,>ENST00000617713.1,>ENST00000310055.5,>ENST00000407870.1,>ENST00000423409.1,>ENST00000432915.1,>ENST00000605141.1,>ENST00000566896.1,ENSG00000182315.8,>ENST00000443360.1,>ENST00000426801.1,>ENST00000544968.1,>ENST00000439252.1,>ENST00000458669.1
>ENST00000605192.1,0.0,11.0,9.0,9.0,12.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,7.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,13.0
>ENST00000618111.1,11.0,0.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,13.0,10.0,10.0,10.0,13.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,12.0,10.0,10.0,14.0
>ENST00000556905.2,9.0,10.0,0.0,9.0,9.0,9.0,13.0,9.0,12.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0
>ENST00000426405.1,9.0,9.0,9.0,0.0,9.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0,12.0,8.0,8.0,10.0,9.0,8.0,11.0,8.0,9.0,8.0,8.0,10.0,14.0,395.0,10.0,9.0,10.0,10.0
>ENST00000525853.1,12.0,8.0,9.0,9.0,0.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,11.0,7.0,8.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,9.0,12.0,10.0,11.0,11.0,10.0,9.0,11.0
>ENST00000503270.2,8.0,9.0,9.0,10.0,10.0,0.0,9.0,12.0,12.0,12.0,9.0,8.0,11.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,12.0,8.0,10.0,10.0,11.0,12.0
>ENST00000484500.5,8.0,10.0,13.0,11.0,10.0,9.0,0.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,12.0,11.0,9.0,11.0,14.0
>ENST00000511202.1,10.0,10.0,9.0,9.0,9.0,12.0,10.0,0.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0
>ENST00000553572.2,10.0,9.0,12.0,11.0,11.0,12.0,10.0,10.0,0.0,11.0,9.0,10.0,12.0,10.0,10.0,12.0,11.0,10.0,11.0,12.0,9.0,10.0,12.0,12.0,13.0,11.0,11.0,9.0,11.0,13.0
>ENST00000555315.1,10.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,11.0,0.0,9.0,8.0,12.0,10.0,8.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,10.0,8.0,12.0,10.0,11.0,9.0,9.0,11.0
>ENST00000622095.1,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,0.0,8.0,11.0,8.0,8.0,8.0,8.0,10.0,8.0,7.0,6.0,10.0,8.0,8.0,10.0,8.0,10.0,10.0,8.0,11.0
>ENST00000435277.1,9.0,11.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,0.0,11.0,8.0,9.0,8.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,11.0,11.0,9.0,9.0,11.0
