,>ENST00000603241.1,>ENST00000503199.1,ENSG00000177710.5,>ENST00000557743.2,>ENST00000432492.1,>ENST00000606252.1,>ENST00000495139.1,>ENST00000453244.1,>ENST00000598351.2,>ENST00000457337.1,>ENST00000614090.1,>ENST00000421872.1,>ENST00000463301.1,>ENST00000382242.3,>ENST00000439389.1,>ENST00000514008.1,>ENST00000585729.1,>ENST00000425293.1,>ENST00000438139.1,>ENST00000566702.1,>ENST00000489168.1,>ENST00000513668.1,>ENST00000506170.1,>ENST00000403125.1,>ENST00000423396.1,>ENST00000413008.1,>ENST00000526365.1,>ENST00000426087.1,ENSG00000208000.1,>ENST00000534542.1,>ENST00000421044.1,>ENST00000354771.8,>ENST00000423067.1,>ENST00000603910.1,>ENST00000623672.1,ENSG00000221324.1,>ENST00000430731.1,>ENST00000493810.1,>ENST00000612533.1
>ENST00000603241.1,0.0,10.0,16.0,11.0,17.0,10.0,10.0,9.0,10.0,11.0,9.0,8.0,7.0,11.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,7.0,10.0,9.0,7.0,10.0,8.0,9.0
>ENST00000503199.1,10.0,0.0,10.0,11.0,12.0,11.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,11.0,11.0,8.0,10.0,11.0,12.0,10.0,9.0,11.0,9.0,10.0,10.0,11.0
ENSG00000177710.5,16.0,10.0,0.0,9.0,10.0,11.0,12.0,11.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,9.0,445.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,12.0,7.0,9.0,9.0,8.0
>ENST00000557743.2,11.0,11.0,9.0,0.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,12.0,10.0,11.0,8.0,10.0,11.0,10.0,9.0,8.0,11.0,9.0,11.0,10.0,10.0
>ENST00000432492.1,17.0,12.0,10.0,11.0,0.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0,9.0,11.0,12.0,11.0,11.0,10.0,11.0,12.0,10.0,8.0,10.0,13.0,10.0,10.0,8.0,11.0,7.0,10.0,10.0,11.0
>ENST00000606252.1,10.0,11.0,11.0,9.0,9.0,0.0,9.0,9.0,9.0,13.0,10.0,12.0,10.0,11.0,10.0,10.0,11.0,10.0,12.0,9.0,8.0,9.0,11.0,10.0,8.0,13.0,9.0,11.0,9.0,9.0,11.0,14.0,11.0,7.0,10.0,7.0,9.0,12.0,10.0
>ENST00000495139.1,10.0,11.0,12.0,9.0,10.0,9.0,0.0,11.0,11.0,10.0,8.0,9.0,10.0,9.0,11.0,7.0,11.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,10.0,9.0,12.0,10.0,8.0,9.0,7.0,8.0,11.0,8.0
>ENST00000453244.1,9.0,11.0,11.0,11.0,10.0,9.0,11.0,0.0,11.0,9.0,8.0,11.0,10.0,10.0,11.0,12.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,7.0,9.0,12.0,9.0,9.0,8.0,11.0,8.0,8.0,148.0,9.0
>ENST00000598351.2,10.0,9.0,10.0,9.0,11.0,9.0,11.0,11.0,0.0,9.0,9.0,10.0,8.0,10.0,13.0,9.0,10.0,8.0,11.0,10.0,8.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,7.0,11.0,11.0,10.0
>ENST00000457337.1,11.0,10.0,12.0,10.0,10.0,13.0,10.0,9.0,9.0,0.0,9.0,10.0,7.0,11.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,11.0,6.0,9.0,10.0,10.0
