,ENSG00000221882.2,ENSG00000203795.2,ENSG00000252983.1,ENSG00000238558.1,ENSG00000239553.3,ENSG00000176978.13,ENSG00000252782.1,ENSG00000252545.1,ENSG00000204610.12,ENSG00000155760.2,ENSG00000221300.1,ENSG00000202309.1,ENSG00000099330.8,ENSG00000100938.17,ENSG00000199827.1
ENSG00000221882.2,0.0,11.0,9.0,7.0,9.0,11.0,9.0,7.0,12.0,11.0,8.0,10.0,13.0,11.0,7.0
ENSG00000203795.2,11.0,0.0,8.0,8.0,10.0,10.0,8.0,9.0,15.0,10.0,9.0,9.0,12.0,14.0,8.0
ENSG00000252983.1,9.0,8.0,0.0,32.0,8.0,8.0,6.0,5.0,10.0,8.0,5.0,7.0,8.0,10.0,5.0
ENSG00000238558.1,7.0,8.0,32.0,0.0,6.0,8.0,5.0,5.0,9.0,8.0,5.0,7.0,8.0,10.0,5.0
ENSG00000239553.3,9.0,10.0,8.0,6.0,0.0,10.0,6.0,6.0,11.0,9.0,7.0,8.0,20.0,13.0,8.0
ENSG00000176978.13,11.0,10.0,8.0,8.0,10.0,0.0,8.0,9.0,13.0,17.0,10.0,10.0,21.0,12.0,9.0
ENSG00000252782.1,9.0,8.0,6.0,5.0,6.0,8.0,0.0,13.0,14.0,9.0,5.0,6.0,9.0,9.0,24.0
ENSG00000252545.1,7.0,9.0,5.0,5.0,6.0,9.0,13.0,0.0,11.0,8.0,5.0,6.0,9.0,12.0,22.0
ENSG00000204610.12,12.0,15.0,10.0,9.0,11.0,13.0,14.0,11.0,0.0,13.0,9.0,10.0,14.0,14.0,10.0
ENSG00000155760.2,11.0,10.0,8.0,8.0,9.0,17.0,9.0,8.0,13.0,0.0,9.0,8.0,11.0,13.0,8.0
ENSG00000221300.1,8.0,9.0,5.0,5.0,7.0,10.0,5.0,5.0,9.0,9.0,0.0,6.0,8.0,10.0,8.0
ENSG00000202309.1,10.0,9.0,7.0,7.0,8.0,10.0,6.0,6.0,10.0,8.0,6.0,0.0,12.0,9.0,6.0
ENSG00000099330.8,13.0,12.0,8.0,8.0,20.0,21.0,9.0,9.0,14.0,11.0,8.0,12.0,0.0,13.0,9.0
ENSG00000100938.17,11.0,14.0,10.0,10.0,13.0,12.0,9.0,12.0,14.0,13.0,10.0,9.0,13.0,0.0,9.0
ENSG00000199827.1,7.0,8.0,5.0,5.0,8.0,9.0,24.0,22.0,10.0,8.0,8.0,6.0,9.0,9.0,0.0
