,>ENST00000433329.1,>ENST00000616358.1,>ENST00000512176.1,>ENST00000491764.2,>ENST00000509945.2,ENSG00000199318.1,>ENST00000402302.2,>ENST00000612222.1,>ENST00000520744.1,>ENST00000424289.1,>ENST00000402323.2,>ENST00000478110.1,>ENST00000435784.2,>ENST00000446037.2,>ENST00000429312.1,>ENST00000483112.1,>ENST00000432629.1,>ENST00000538162.3,>ENST00000508643.1,>ENST00000423476.1,>ENST00000415219.2,>ENST00000424704.1,>ENST00000522984.2,>ENST00000427434.1,>ENST00000448018.1,>ENST00000634967.1,>ENST00000450606.1,>ENST00000551839.1,>ENST00000580812.1,>ENST00000406003.2,>ENST00000430648.1,>ENST00000436852.2,>ENST00000464563.1,>ENST00000605169.1,ENSG00000181752.3
>ENST00000433329.1,0.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0
>ENST00000616358.1,10.0,0.0,11.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,12.0,11.0,12.0,9.0,12.0,8.0,12.0,11.0,14.0,10.0,10.0,12.0,10.0,11.0,11.0,9.0,13.0,12.0
>ENST00000512176.1,9.0,11.0,0.0,12.0,10.0,8.0,8.0,10.0,9.0,9.0,11.0,11.0,12.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,11.0,10.0,12.0,10.0,9.0,9.0
>ENST00000491764.2,8.0,12.0,12.0,0.0,8.0,8.0,12.0,8.0,9.0,8.0,9.0,10.0,12.0,9.0,11.0,10.0,10.0,10.0,11.0,9.0,8.0,8.0,7.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0
>ENST00000509945.2,8.0,9.0,10.0,8.0,0.0,8.0,8.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0,8.0,12.0,8.0,9.0,10.0,12.0,11.0,9.0,8.0,9.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0
ENSG00000199318.1,8.0,9.0,8.0,8.0,8.0,0.0,9.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,11.0,10.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,10.0,7.0,9.0,7.0,8.0,11.0,8.0,8.0,8.0,8.0,8.0,9.0
>ENST00000402302.2,9.0,9.0,8.0,12.0,8.0,9.0,0.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,11.0,8.0,8.0,104.0,9.0,10.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0
>ENST00000612222.1,9.0,10.0,10.0,8.0,8.0,7.0,10.0,0.0,9.0,7.0,7.0,9.0,7.0,9.0,7.0,10.0,9.0,9.0,9.0,7.0,10.0,8.0,7.0,9.0,10.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0
>ENST00000520744.1,10.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,8.0,8.0,10.0,10.0,9.0,13.0,10.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0
>ENST00000424289.1,8.0,9.0,9.0,8.0,11.0,9.0,9.0,7.0,8.0,0.0,9.0,10.0,9.0,12.0,11.0,8.0,9.0,9.0,10.0,12.0,8.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,12.0,9.0,11.0,10.0
