,>ENST00000425948.2,>ENST00000413334.1,>ENST00000563702.1,>ENST00000434104.1,>ENST00000465138.1,>ENST00000449021.1,>ENST00000533152.2,>ENST00000448300.1,>ENST00000556889.1,>ENST00000504007.1,>ENST00000406783.1,>ENST00000403259.1,>ENST00000435487.1,>ENST00000444697.1,>ENST00000454702.2,>ENST00000436597.1,>ENST00000431098.1,>ENST00000504812.1,ENSG00000200877.1,>ENST00000603437.1,>ENST00000436135.1,>ENST00000423411.2,>ENST00000510008.1,>ENST00000413110.1,>ENST00000423352.2,>ENST00000393644.3
>ENST00000425948.2,0.0,8.0,9.0,8.0,9.0,11.0,9.0,7.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,11.0,8.0,8.0,11.0,9.0,11.0,9.0,9.0,10.0
>ENST00000413334.1,8.0,0.0,10.0,7.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,6.0,11.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,12.0,9.0,11.0,9.0,9.0,8.0
>ENST00000563702.1,9.0,10.0,0.0,10.0,8.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,12.0,9.0,10.0,11.0,8.0,10.0,12.0,10.0,11.0,8.0,10.0,9.0
>ENST00000434104.1,8.0,7.0,10.0,0.0,9.0,9.0,11.0,7.0,9.0,9.0,12.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0
>ENST00000465138.1,9.0,9.0,8.0,9.0,0.0,9.0,9.0,7.0,9.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,7.0,9.0,13.0,10.0,9.0,10.0,8.0,9.0
>ENST00000449021.1,11.0,8.0,10.0,9.0,9.0,0.0,9.0,8.0,8.0,10.0,12.0,7.0,12.0,11.0,10.0,8.0,10.0,11.0,8.0,9.0,13.0,12.0,10.0,9.0,9.0,9.0
>ENST00000533152.2,9.0,10.0,10.0,11.0,9.0,9.0,0.0,8.0,10.0,8.0,11.0,7.0,9.0,11.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0
>ENST00000448300.1,7.0,8.0,9.0,7.0,7.0,8.0,8.0,0.0,8.0,10.0,11.0,7.0,11.0,9.0,9.0,7.0,9.0,10.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,9.0
>ENST00000556889.1,10.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0,0.0,10.0,9.0,8.0,11.0,11.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,8.0,10.0
>ENST00000504007.1,8.0,9.0,8.0,9.0,7.0,10.0,8.0,10.0,10.0,0.0,9.0,8.0,10.0,11.0,9.0,11.0,9.0,13.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0
