,>ENST00000557243.2,>ENST00000421058.1,>ENST00000427031.1,ENSG00000202526.1,>ENST00000605838.1,>ENST00000463671.1,>ENST00000541727.1,>ENST00000419672.1,>ENST00000421443.1,>ENST00000423042.1,>ENST00000453713.1,>ENST00000437528.1,ENSG00000149809.14,>ENST00000369385.5,>ENST00000396808.2,>ENST00000446092.2,>ENST00000429974.1,>ENST00000451061.5,>ENST00000424648.1
>ENST00000557243.2,0.0,11.0,11.0,7.0,9.0,11.0,9.0,10.0,8.0,9.0,11.0,8.0,13.0,10.0,10.0,10.0,10.0,11.0,9.0
>ENST00000421058.1,11.0,0.0,8.0,8.0,10.0,7.0,8.0,14.0,12.0,10.0,10.0,9.0,12.0,10.0,9.0,10.0,10.0,12.0,11.0
>ENST00000427031.1,11.0,8.0,0.0,7.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0
ENSG00000202526.1,7.0,8.0,7.0,0.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,9.0,10.0,8.0,8.0,7.0,10.0,8.0,7.0
>ENST00000605838.1,9.0,10.0,10.0,7.0,0.0,7.0,9.0,8.0,12.0,10.0,10.0,7.0,10.0,8.0,8.0,9.0,9.0,10.0,7.0
>ENST00000463671.1,11.0,7.0,10.0,7.0,7.0,0.0,9.0,9.0,8.0,12.0,8.0,8.0,11.0,11.0,10.0,9.0,10.0,11.0,8.0
>ENST00000541727.1,9.0,8.0,9.0,8.0,9.0,9.0,0.0,11.0,9.0,11.0,9.0,10.0,13.0,10.0,10.0,9.0,10.0,11.0,9.0
>ENST00000419672.1,10.0,14.0,11.0,8.0,8.0,9.0,11.0,0.0,9.0,9.0,9.0,10.0,15.0,9.0,13.0,11.0,11.0,10.0,10.0
>ENST00000421443.1,8.0,12.0,9.0,7.0,12.0,8.0,9.0,9.0,0.0,10.0,9.0,7.0,11.0,9.0,9.0,10.0,10.0,11.0,8.0
>ENST00000423042.1,9.0,10.0,9.0,8.0,10.0,12.0,11.0,9.0,10.0,0.0,12.0,9.0,11.0,9.0,11.0,12.0,11.0,11.0,9.0
>ENST00000453713.1,11.0,10.0,10.0,7.0,10.0,8.0,9.0,9.0,9.0,12.0,0.0,7.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0
>ENST00000437528.1,8.0,9.0,9.0,9.0,7.0,8.0,10.0,10.0,7.0,9.0,7.0,0.0,12.0,8.0,8.0,8.0,13.0,12.0,7.0
ENSG00000149809.14,13.0,12.0,10.0,10.0,10.0,11.0,13.0,15.0,11.0,11.0,10.0,12.0,0.0,13.0,10.0,10.0,11.0,11.0,9.0
>ENST00000369385.5,10.0,10.0,10.0,8.0,8.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,13.0,0.0,9.0,9.0,9.0,11.0,9.0
>ENST00000396808.2,10.0,9.0,10.0,8.0,8.0,10.0,10.0,13.0,9.0,11.0,8.0,8.0,10.0,9.0,0.0,10.0,11.0,11.0,9.0
>ENST00000446092.2,10.0,10.0,10.0,7.0,9.0,9.0,9.0,11.0,10.0,12.0,9.0,8.0,10.0,9.0,10.0,0.0,11.0,10.0,9.0
>ENST00000429974.1,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,13.0,11.0,9.0,11.0,11.0,0.0,11.0,13.0
>ENST00000451061.5,11.0,12.0,9.0,8.0,10.0,11.0,11.0,10.0,11.0,11.0,9.0,12.0,11.0,11.0,11.0,10.0,11.0,0.0,9.0
>ENST00000424648.1,9.0,11.0,8.0,7.0,7.0,8.0,9.0,10.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,13.0,9.0,0.0
