,>ENST00000604551.1,>ENST00000509658.1,ENSG00000212122.3,>ENST00000451912.1,>ENST00000554450.1,>ENST00000435255.1,>ENST00000422727.2,>ENST00000580501.2,>ENST00000605023.1,>ENST00000427380.1,ENSG00000172188.4,>ENST00000506459.1,>ENST00000603846.1,>ENST00000558391.1,>ENST00000425829.1,>ENST00000605553.1,>ENST00000398116.2,>ENST00000604182.1,>ENST00000456572.2,>ENST00000551882.1,>ENST00000489757.1,>ENST00000558766.1,ENSG00000135469.13,>ENST00000451812.1,>ENST00000428039.1,>ENST00000450405.1
>ENST00000604551.1,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,8.0,11.0,9.0,13.0,9.0,10.0,12.0,9.0,10.0,9.0,11.0,8.0,10.0,15.0
>ENST00000509658.1,10.0,0.0,12.0,10.0,12.0,10.0,10.0,9.0,8.0,10.0,9.0,12.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,12.0,9.0,10.0,10.0
ENSG00000212122.3,10.0,12.0,0.0,11.0,10.0,13.0,12.0,8.0,11.0,10.0,11.0,11.0,10.0,12.0,11.0,9.0,12.0,10.0,11.0,9.0,11.0,11.0,12.0,10.0,11.0,10.0
>ENST00000451912.1,10.0,10.0,11.0,0.0,10.0,11.0,9.0,8.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,6.0,12.0,7.0,9.0,8.0
>ENST00000554450.1,10.0,12.0,10.0,10.0,0.0,9.0,9.0,9.0,8.0,13.0,10.0,10.0,8.0,14.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,10.0,10.0
>ENST00000435255.1,10.0,10.0,13.0,11.0,9.0,0.0,9.0,8.0,8.0,10.0,11.0,10.0,12.0,11.0,10.0,9.0,9.0,7.0,10.0,10.0,9.0,7.0,10.0,9.0,9.0,13.0
>ENST00000422727.2,10.0,10.0,12.0,9.0,9.0,9.0,0.0,9.0,8.0,8.0,11.0,9.0,8.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0
>ENST00000580501.2,10.0,9.0,8.0,8.0,9.0,8.0,9.0,0.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,7.0,10.0,9.0,11.0,10.0
>ENST00000605023.1,9.0,8.0,11.0,7.0,8.0,8.0,8.0,10.0,0.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,9.0,7.0,9.0,11.0
>ENST00000427380.1,11.0,10.0,10.0,10.0,13.0,10.0,8.0,9.0,8.0,0.0,13.0,8.0,7.0,10.0,13.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0,12.0,8.0,9.0,10.0
ENSG00000172188.4,10.0,9.0,11.0,9.0,10.0,11.0,11.0,9.0,9.0,13.0,0.0,10.0,8.0,10.0,15.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0
>ENST00000506459.1,9.0,12.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,0.0,9.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,11.0,10.0,11.0,10.0
>ENST00000603846.1,8.0,9.0,10.0,10.0,8.0,12.0,8.0,8.0,9.0,7.0,8.0,9.0,0.0,10.0,10.0,8.0,8.0,8.0,9.0,8.0,7.0,10.0,10.0,7.0,10.0,9.0
>ENST00000558391.1,11.0,11.0,12.0,10.0,14.0,11.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,0.0,13.0,10.0,10.0,10.0,12.0,10.0,8.0,9.0,11.0,11.0,10.0,9.0
>ENST00000425829.1,9.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,8.0,13.0,15.0,12.0,10.0,13.0,0.0,9.0,11.0,8.0,9.0,11.0,8.0,9.0,11.0,8.0,10.0,12.0
>ENST00000605553.1,13.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,8.0,10.0,9.0,0.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0
>ENST00000398116.2,9.0,10.0,12.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,8.0,10.0,11.0,9.0,0.0,8.0,8.0,9.0,12.0,8.0,9.0,8.0,10.0,9.0
>ENST00000604182.1,10.0,9.0,10.0,9.0,10.0,7.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,8.0,0.0,10.0,7.0,9.0,9.0,9.0,8.0,10.0,11.0
>ENST00000456572.2,12.0,8.0,11.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,12.0,9.0,8.0,8.0,10.0,0.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0
>ENST00000551882.1,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,11.0,9.0,9.0,7.0,9.0,0.0,10.0,8.0,9.0,7.0,9.0,10.0
