,>ENST00000401524.2,ENSG00000252115.1,>ENST00000403917.2,>ENST00000584430.1,>ENST00000617915.1,>ENST00000435821.1,>ENST00000460608.1,>ENST00000567701.1,>ENST00000446320.1,>ENST00000450311.1,ENSG00000186446.11,>ENST00000445923.1
>ENST00000401524.2,0.0,6.0,9.0,8.0,8.0,11.0,8.0,8.0,9.0,8.0,11.0,7.0
ENSG00000252115.1,6.0,0.0,9.0,9.0,8.0,8.0,7.0,7.0,10.0,9.0,11.0,6.0
>ENST00000403917.2,9.0,9.0,0.0,12.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,8.0
>ENST00000584430.1,8.0,9.0,12.0,0.0,10.0,9.0,11.0,11.0,9.0,9.0,11.0,8.0
>ENST00000617915.1,8.0,8.0,10.0,10.0,0.0,13.0,8.0,11.0,9.0,9.0,11.0,8.0
>ENST00000435821.1,11.0,8.0,10.0,9.0,13.0,0.0,10.0,11.0,9.0,9.0,11.0,8.0
>ENST00000460608.1,8.0,7.0,10.0,11.0,8.0,10.0,0.0,10.0,10.0,9.0,11.0,9.0
>ENST00000567701.1,8.0,7.0,11.0,11.0,11.0,11.0,10.0,0.0,11.0,12.0,10.0,8.0
>ENST00000446320.1,9.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,0.0,12.0,11.0,8.0
>ENST00000450311.1,8.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,12.0,0.0,11.0,8.0
ENSG00000186446.11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,0.0,10.0
>ENST00000445923.1,7.0,6.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,0.0
