,>ENST00000505946.2,>ENST00000611059.1,>ENST00000411606.1,>ENST00000503480.2,>ENST00000415070.1,>ENST00000605443.1,>ENST00000604299.1,>ENST00000603209.1,>ENST00000435192.2,>ENST00000567338.1,>ENST00000437739.1,>ENST00000604433.1,>ENST00000604681.1,>ENST00000569893.1,>ENST00000611168.1,>ENST00000600294.1,>ENST00000515413.2,>ENST00000525892.1,>ENST00000619065.1,>ENST00000520194.1,>ENST00000469610.2,>ENST00000505214.1
>ENST00000505946.2,0.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,8.0,12.0,10.0,8.0,10.0,10.0,11.0,8.0,9.0,8.0
>ENST00000611059.1,9.0,0.0,9.0,9.0,9.0,12.0,9.0,7.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,12.0,10.0,9.0,13.0,9.0,12.0,9.0
>ENST00000411606.1,9.0,9.0,0.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,11.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0
>ENST00000503480.2,10.0,9.0,9.0,0.0,9.0,9.0,11.0,8.0,9.0,11.0,14.0,11.0,10.0,9.0,9.0,8.0,12.0,10.0,10.0,8.0,10.0,9.0
>ENST00000415070.1,9.0,9.0,8.0,9.0,0.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,12.0,7.0,9.0,8.0
>ENST00000605443.1,9.0,12.0,9.0,9.0,7.0,0.0,9.0,11.0,10.0,13.0,10.0,12.0,9.0,9.0,9.0,8.0,11.0,12.0,11.0,9.0,12.0,9.0
>ENST00000604299.1,10.0,9.0,9.0,11.0,9.0,9.0,0.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,16.0,9.0,10.0,9.0
>ENST00000603209.1,9.0,7.0,8.0,8.0,8.0,11.0,8.0,0.0,10.0,9.0,9.0,9.0,7.0,8.0,9.0,7.0,9.0,8.0,10.0,7.0,10.0,8.0
>ENST00000435192.2,8.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,0.0,12.0,11.0,10.0,8.0,10.0,9.0,10.0,12.0,9.0,11.0,11.0,9.0,9.0
>ENST00000567338.1,10.0,11.0,10.0,11.0,9.0,13.0,10.0,9.0,12.0,0.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,12.0
>ENST00000437739.1,10.0,10.0,9.0,14.0,8.0,10.0,9.0,9.0,11.0,10.0,0.0,12.0,11.0,9.0,10.0,8.0,12.0,10.0,11.0,8.0,9.0,10.0
>ENST00000604433.1,11.0,10.0,10.0,11.0,8.0,12.0,10.0,9.0,10.0,10.0,12.0,0.0,11.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0
>ENST00000604681.1,8.0,9.0,8.0,10.0,8.0,9.0,9.0,7.0,8.0,9.0,11.0,11.0,0.0,8.0,10.0,8.0,12.0,8.0,10.0,8.0,9.0,10.0
>ENST00000569893.1,12.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,0.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0
>ENST00000611168.1,10.0,11.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,0.0,9.0,9.0,9.0,12.0,10.0,9.0,11.0
>ENST00000600294.1,8.0,12.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,0.0,10.0,8.0,10.0,9.0,10.0,8.0
>ENST00000515413.2,10.0,10.0,10.0,12.0,9.0,11.0,9.0,9.0,12.0,11.0,12.0,9.0,12.0,10.0,9.0,10.0,0.0,14.0,13.0,10.0,9.0,10.0
>ENST00000525892.1,10.0,9.0,10.0,10.0,8.0,12.0,9.0,8.0,9.0,11.0,10.0,10.0,8.0,10.0,9.0,8.0,14.0,0.0,10.0,9.0,9.0,10.0
>ENST00000619065.1,11.0,13.0,9.0,10.0,12.0,11.0,16.0,10.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,13.0,10.0,0.0,11.0,10.0,11.0
>ENST00000520194.1,8.0,9.0,8.0,8.0,7.0,9.0,9.0,7.0,11.0,11.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,0.0,15.0,9.0
>ENST00000469610.2,9.0,12.0,9.0,10.0,9.0,12.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,15.0,0.0,10.0
>ENST00000505214.1,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,12.0,10.0,11.0,10.0,10.0,11.0,8.0,10.0,10.0,11.0,9.0,10.0,0.0
