,>ENST00000547726.2,>ENST00000507850.1,>ENST00000625906.1,ENSG00000166965.12,>ENST00000377993.6,>ENST00000436625.1,>ENST00000595971.2,>ENST00000477347.1,>ENST00000452862.1,>ENST00000604342.1,>ENST00000604173.1,>ENST00000503662.1,>ENST00000455954.2,>ENST00000609216.1,>ENST00000518843.1,>ENST00000604368.1,>ENST00000430151.2,>ENST00000418934.2,>ENST00000400819.2,>ENST00000534196.1
>ENST00000547726.2,0.0,9.0,7.0,11.0,12.0,10.0,9.0,12.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0
>ENST00000507850.1,9.0,0.0,6.0,11.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,7.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,8.0
>ENST00000625906.1,7.0,6.0,0.0,15.0,8.0,7.0,8.0,9.0,7.0,7.0,9.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,6.0,8.0
ENSG00000166965.12,11.0,11.0,15.0,0.0,13.0,11.0,11.0,13.0,13.0,10.0,11.0,9.0,10.0,11.0,12.0,12.0,14.0,12.0,11.0,12.0
>ENST00000377993.6,12.0,10.0,8.0,13.0,0.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0
>ENST00000436625.1,10.0,10.0,7.0,11.0,11.0,0.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0
>ENST00000595971.2,9.0,9.0,8.0,11.0,9.0,10.0,0.0,15.0,10.0,10.0,9.0,9.0,13.0,8.0,11.0,10.0,13.0,11.0,9.0,10.0
>ENST00000477347.1,12.0,10.0,9.0,13.0,10.0,10.0,15.0,0.0,14.0,9.0,9.0,9.0,13.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0
>ENST00000452862.1,11.0,8.0,7.0,13.0,10.0,9.0,10.0,14.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
>ENST00000604342.1,10.0,10.0,7.0,10.0,9.0,11.0,10.0,9.0,9.0,0.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,11.0,11.0,12.0
>ENST00000604173.1,10.0,10.0,9.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,0.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0
>ENST00000503662.1,9.0,7.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,0.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0
>ENST00000455954.2,10.0,9.0,7.0,10.0,10.0,9.0,13.0,13.0,9.0,10.0,9.0,8.0,0.0,9.0,10.0,9.0,8.0,11.0,8.0,9.0
>ENST00000609216.1,10.0,7.0,8.0,11.0,10.0,9.0,8.0,11.0,9.0,8.0,7.0,8.0,9.0,0.0,9.0,8.0,10.0,9.0,8.0,10.0
>ENST00000518843.1,9.0,10.0,8.0,12.0,11.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,0.0,9.0,9.0,9.0,8.0,11.0
>ENST00000604368.1,10.0,9.0,7.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,0.0,9.0,9.0,8.0,9.0
>ENST00000430151.2,9.0,9.0,8.0,14.0,10.0,9.0,13.0,9.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,0.0,10.0,11.0,14.0
>ENST00000418934.2,10.0,9.0,7.0,12.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,0.0,9.0,10.0
>ENST00000400819.2,10.0,10.0,6.0,11.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,8.0,8.0,8.0,8.0,8.0,11.0,9.0,0.0,10.0
>ENST00000534196.1,9.0,8.0,8.0,12.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,9.0,10.0,11.0,9.0,14.0,10.0,10.0,0.0
